Date,Open,High,Low,Close,Volume,OpenInt
19931025,14.078,14.078,14.078,14.078,0,0
19931026,14.057,14.057,14.057,14.057,0,0
19931027,14.064,14.064,14.064,14.064,0,0
19931028,13.953,13.953,13.953,13.953,0,0
19931029,13.996,13.996,13.996,13.996,0,0
19931102,14.019,14.019,14.019,14.019,0,0
19931103,14.142,14.142,14.142,14.142,0,0
19931104,14.195,14.195,14.195,14.195,0,0
19931105,14.16,14.16,14.16,14.16,0,0
19931108,14.139,14.139,14.139,14.139,0,0
19931109,14.038,14.038,14.038,14.038,0,0
19931110,13.968,13.968,13.968,13.968,0,0
19931112,13.92,13.92,13.92,13.92,0,0
19931115,13.747,13.747,13.747,13.747,0,0
19931116,13.716,13.716,13.716,13.716,0,0
19931117,13.773,13.773,13.773,13.773,0,0
19931118,13.877,13.877,13.877,13.877,0,0
19931119,13.931,13.931,13.931,13.931,0,0
19931122,13.913,13.913,13.913,13.913,0,0
19931123,13.881,13.881,13.881,13.881,0,0
19931124,13.936,13.936,13.936,13.936,0,0
19931125,13.928,13.928,13.928,13.928,0,0
19931126,13.97,13.97,13.97,13.97,0,0
19931129,13.911,13.911,13.911,13.911,0,0
19931130,13.886,13.886,13.886,13.886,0,0
19931201,13.87,13.87,13.87,13.87,0,0
19931202,13.84,13.84,13.84,13.84,0,0
19931203,13.946,13.946,13.946,13.946,0,0
19931206,14.076,14.076,14.076,14.076,0,0
19931207,14.059,14.059,14.059,14.059,0,0
19931208,13.972,13.972,13.972,13.972,0,0
19931209,14.104,14.104,14.104,14.104,0,0
19931210,14.148,14.148,14.148,14.148,0,0
19931213,14.075,14.075,14.075,14.075,0,0
19931214,14.117,14.117,14.117,14.117,0,0
19931215,14.12,14.12,14.12,14.12,0,0
19931216,14.174,14.174,14.174,14.174,0,0
19931217,14.198,14.198,14.198,14.198,0,0
19931220,14.232,14.232,14.232,14.232,0,0
19931221,14.272,14.272,14.272,14.272,0,0
19931222,14.317,14.317,14.317,14.317,0,0
19931223,14.306,14.306,14.306,14.306,0,0
19931224,14.247,14.247,14.247,14.247,0,0
19931227,14.285,14.285,14.285,14.285,0,0
19931228,14.279,14.279,14.279,14.279,0,0
19931229,14.309,14.309,14.309,14.309,0,0
19931230,14.236,14.236,14.236,14.236,0,0
19931231,14.245,14.245,14.245,14.245,0,0
19940103,14.296,14.296,14.296,14.296,0,0
19940104,14.283,14.283,14.283,14.283,0,0
19940105,14.401,14.401,14.401,14.401,0,0
19940106,14.411,14.411,14.411,14.411,0,0
19940107,14.378,14.378,14.378,14.378,0,0
19940110,14.405,14.405,14.405,14.405,0,0
19940111,14.399,14.399,14.399,14.399,0,0
19940112,14.615,14.615,14.615,14.615,0,0
19940113,14.556,14.556,14.556,14.556,0,0
19940114,14.637,14.637,14.637,14.637,0,0
19940117,14.582,14.582,14.582,14.582,0,0
19940118,14.664,14.664,14.664,14.664,0,0
19940119,14.7,14.7,14.7,14.7,0,0
19940120,14.787,14.787,14.787,14.787,0,0
19940121,14.922,14.922,14.922,14.922,0,0
19940124,14.85,14.85,14.85,14.85,0,0
19940125,14.902,14.902,14.902,14.902,0,0
19940126,14.997,14.997,14.997,14.997,0,0
19940127,15.003,15.003,15.003,15.003,0,0
19940128,15.032,15.032,15.032,15.032,0,0
19940131,14.989,14.989,14.989,14.989,0,0
19940201,14.99,14.99,14.99,14.99,0,0
19940202,15.106,15.106,15.106,15.106,0,0
19940203,15.078,15.078,15.078,15.078,0,0
19940204,15.111,15.111,15.111,15.111,0,0
19940207,15.123,15.123,15.123,15.123,0,0
19940208,15.132,15.132,15.132,15.132,0,0
19940209,15.201,15.201,15.201,15.201,0,0
19940210,15.16,15.16,15.16,15.16,0,0
19940211,15.29,15.29,15.29,15.29,0,0
19940214,15.174,15.174,15.174,15.174,0,0
19940215,15.057,15.057,15.057,15.057,0,0
19940216,15.001,15.001,15.001,15.001,0,0
19940217,15.074,15.074,15.074,15.074,0,0
19940218,15.174,15.174,15.174,15.174,0,0
