Date,Open,High,Low,Close,Volume,OpenInt
19951023,53.12,53.12,53.12,53.12,0,0
19951024,53.073,53.073,53.073,53.073,0,0
19951025,53.081,53.081,53.081,53.081,0,0
19951026,53.026,53.026,53.026,53.026,0,0
19951027,52.995,52.995,52.995,52.995,0,0
19951030,53.163,53.163,53.163,53.163,0,0
19951031,53.17,53.17,53.17,53.17,0,0
19951102,53.064,53.064,53.064,53.064,0,0
19951103,53.048,53.048,53.048,53.048,0,0
19951106,52.983,52.983,52.983,52.983,0,0
19951107,52.975,52.975,52.975,52.975,0,0
19951108,52.943,52.943,52.943,52.943,0,0
19951109,52.84,52.84,52.84,52.84,0,0
19951110,52.788,52.788,52.788,52.788,0,0
19951113,52.702,52.702,52.702,52.702,0,0
19951114,52.76,52.76,52.76,52.76,0,0
19951115,52.731,52.731,52.731,52.731,0,0
19951116,52.736,52.736,52.736,52.736,0,0
19951117,52.712,52.712,52.712,52.712,0,0
19951120,52.738,52.738,52.738,52.738,0,0
19951121,52.564,52.564,52.564,52.564,0,0
19951122,52.572,52.572,52.572,52.572,0,0
19951123,52.543,52.543,52.543,52.543,0,0
19951124,52.483,52.483,52.483,52.483,0,0
19951127,52.478,52.478,52.478,52.478,0,0
19951128,52.46,52.46,52.46,52.46,0,0
19951129,52.451,52.451,52.451,52.451,0,0
19951130,52.422,52.422,52.422,52.422,0,0
19951201,52.465,52.465,52.465,52.465,0,0
19951204,52.584,52.584,52.584,52.584,0,0
19951205,52.326,52.326,52.326,52.326,0,0
19951206,52.352,52.352,52.352,52.352,0,0
19951207,52.296,52.296,52.296,52.296,0,0
19951208,52.117,52.117,52.117,52.117,0,0
19951211,52.274,52.274,52.274,52.274,0,0
19951212,52.309,52.309,52.309,52.309,0,0
19951213,52.278,52.278,52.278,52.278,0,0
19951214,52.177,52.177,52.177,52.177,0,0
19951215,52.14,52.14,52.14,52.14,0,0
19951218,52.137,52.137,52.137,52.137,0,0
19951219,52.189,52.189,52.189,52.189,0,0
19951220,52.301,52.301,52.301,52.301,0,0
19951221,52.301,52.301,52.301,52.301,0,0
19951222,52.399,52.399,52.399,52.399,0,0
19951227,51.705,51.705,51.705,51.705,0,0
19951228,51.535,51.535,51.535,51.535,0,0
19951229,51.463,51.463,51.463,51.463,0,0
19960102,51.411,51.411,51.411,51.411,0,0
19960103,51.348,51.348,51.348,51.348,0,0
19960104,51.228,51.228,51.228,51.228,0,0
19960105,50.508,50.508,50.508,50.508,0,0
19960108,50.252,50.252,50.252,50.252,0,0
19960109,50.057,50.057,50.057,50.057,0,0
19960110,50.204,50.204,50.204,50.204,0,0
19960111,50.25,50.25,50.25,50.25,0,0
19960112,50.134,50.134,50.134,50.134,0,0
19960115,50.017,50.017,50.017,50.017,0,0
19960116,50.037,50.037,50.037,50.037,0,0
19960117,50.221,50.221,50.221,50.221,0,0
19960118,50.043,50.043,50.043,50.043,0,0
19960119,49.963,49.963,49.963,49.963,0,0
19960122,49.871,49.871,49.871,49.871,0,0
19960123,50.04,50.04,50.04,50.04,0,0
19960124,49.875,49.875,49.875,49.875,0,0
19960125,49.603,49.603,49.603,49.603,0,0
19960126,49.568,49.568,49.568,49.568,0,0
19960129,49.534,49.534,49.534,49.534,0,0
19960130,49.365,49.365,49.365,49.365,0,0
19960131,49.345,49.345,49.345,49.345,0,0
19960201,49.261,49.261,49.261,49.261,0,0
19960202,49.486,49.486,49.486,49.486,0,0
19960205,49.383,49.383,49.383,49.383,0,0
19960206,49.397,49.397,49.397,49.397,0,0
19960207,49.412,49.412,49.412,49.412,0,0
19960208,49.31,49.31,49.31,49.31,0,0
19960209,49.206,49.206,49.206,49.206,0,0
19960212,49.117,49.117,49.117,49.117,0,0
19960213,49.063,49.063,49.063,49.063,0,0
19960214,49.029,49.029,49.029,49.029,0,0
