Date,Open,High,Low,Close,Volume,OpenInt
20100719,693.66,693.66,693.66,693.66,0,0
20100720,752.4,752.4,752.4,752.4,0,0
20100721,711.88,711.88,711.88,711.88,0,0
20100722,1123,1123,1123,1123,0,0
20100723,905.26,905.26,905.26,905.26,0,0
20100726,1010.84,1010.84,1010.84,1010.84,0,0
20100727,944.04,944.04,944.04,944.04,0,0
20100728,964.73,964.73,964.73,964.73,0,0
20100729,809.48,809.48,809.48,809.48,0,0
20100730,906.56,906.56,906.56,906.56,0,0
20100802,954.03,954.03,954.03,954.03,0,0
20100803,947.18,947.18,947.18,947.18,0,0
20100804,998.9,998.9,998.9,998.9,0,0
20100805,934.22,934.22,934.22,934.22,0,0
20100806,911.76,911.76,911.76,911.76,0,0
20100809,804,804,804,804,0,0
20100810,811.29,811.29,811.29,811.29,0,0
20100811,843.85,843.85,843.85,843.85,0,0
20100812,807.72,807.72,807.72,807.72,0,0
20100813,875.93,875.93,875.93,875.93,0,0
20100816,870,870,870,870,0,0
20100817,815.29,815.29,815.29,815.29,0,0
20100818,840.57,840.57,840.57,840.57,0,0
20100819,851.35,851.35,851.35,851.35,0,0
20100820,867.09,867.09,867.09,867.09,0,0
20100823,873.84,873.84,873.84,873.84,0,0
20100824,871.53,871.53,871.53,871.53,0,0
20100825,872.39,872.39,872.39,872.39,0,0
20100826,888.01,888.01,888.01,888.01,0,0
20100827,878.24,878.24,878.24,878.24,0,0
20100830,875.91,875.91,875.91,875.91,0,0
20100831,950.62,950.62,950.62,950.62,0,0
20100901,913.06,913.06,913.06,913.06,0,0
20100902,909.89,909.89,909.89,909.89,0,0
20100903,952.78,952.78,952.78,952.78,0,0
20100906,940.9,940.9,940.9,940.9,0,0
20100908,937.94,937.94,937.94,937.94,0,0
20100909,948.36,948.36,948.36,948.36,0,0
20100910,942.16,942.16,942.16,942.16,0,0
20100913,936.65,936.65,936.65,936.65,0,0
20100914,946.54,946.54,946.54,946.54,0,0
20100915,961.8,961.8,961.8,961.8,0,0
20100916,941.28,941.28,941.28,941.28,0,0
20100917,987.48,987.48,987.48,987.48,0,0
20100920,936.96,936.96,936.96,936.96,0,0
20100921,925.97,925.97,925.97,925.97,0,0
20100922,934.59,934.59,934.59,934.59,0,0
20100923,934.2,934.2,934.2,934.2,0,0
20100924,940.52,940.52,940.52,940.52,0,0
20100927,941.09,941.09,941.09,941.09,0,0
20100928,946.6,946.6,946.6,946.6,0,0
20100929,947.96,947.96,947.96,947.96,0,0
20100930,953.26,953.26,953.26,953.26,0,0
20101001,958.74,958.74,958.74,958.74,0,0
20101004,965.97,965.97,965.97,965.97,0,0
20101005,972.84,972.84,972.84,972.84,0,0
20101006,951.63,951.63,951.63,951.63,0,0
20101007,885.11,885.11,885.11,885.11,0,0
20101008,689.36,689.36,689.36,689.36,0,0
20101011,632.71,632.71,632.71,632.71,0,0
20101013,574.95,574.95,574.95,574.95,0,0
20101014,589.84,589.84,589.84,589.84,0,0
20101015,574.26,574.26,574.26,574.26,0,0
20101018,588.04,588.04,588.04,588.04,0,0
20101019,611.38,611.38,611.38,611.38,0,0
20101020,604.46,604.46,604.46,604.46,0,0
20101021,551.05,551.05,551.05,551.05,0,0
20101022,572.34,572.34,572.34,572.34,0,0
20101025,443.07,443.07,443.07,443.07,0,0
20101026,389.65,389.65,389.65,389.65,0,0
20101027,310.55,310.55,310.55,310.55,0,0
20101028,337.29,337.29,337.29,337.29,0,0
20101029,310.26,310.26,310.26,310.26,0,0
20101101,299.62,299.62,299.62,299.62,0,0
20101103,304.9,304.9,304.9,304.9,0,0
20101104,259.27,259.27,259.27,259.27,0,0
20101105,229.34,229.34,229.34,229.34,0,0
