Date,Open,High,Low,Close,Volume,OpenInt
20100719,0.00619,0.00619,0.00619,0.00619,0,0
20100720,0.00567,0.00567,0.00567,0.00567,0,0
20100721,0.00597,0.00597,0.00597,0.00597,0,0
20100722,0.00376,0.00376,0.00376,0.00376,0,0
20100723,0.00466,0.00466,0.00466,0.00466,0,0
20100726,0.00412,0.00412,0.00412,0.00412,0,0
20100727,0.00439,0.00439,0.00439,0.00439,0,0
20100728,0.00432,0.00432,0.00432,0.00432,0,0
20100729,0.00513,0.00513,0.00513,0.00513,0,0
20100730,0.00457,0.00457,0.00457,0.00457,0,0
20100802,0.00436,0.00436,0.00436,0.00436,0,0
20100803,0.00437,0.00437,0.00437,0.00437,0,0
20100804,0.00414,0.00414,0.00414,0.00414,0,0
20100805,0.00442,0.00442,0.00442,0.00442,0,0
20100806,0.00451,0.00451,0.00451,0.00451,0,0
20100809,0.0051,0.0051,0.0051,0.0051,0,0
20100810,0.00506,0.00506,0.00506,0.00506,0,0
20100811,0.00488,0.00488,0.00488,0.00488,0,0
20100812,0.0051,0.0051,0.0051,0.0051,0,0
20100813,0.00472,0.00472,0.00472,0.00472,0,0
20100816,0.00476,0.00476,0.00476,0.00476,0,0
20100817,0.00508,0.00508,0.00508,0.00508,0,0
20100818,0.00493,0.00493,0.00493,0.00493,0,0
20100819,0.00486,0.00486,0.00486,0.00486,0,0
20100820,0.00481,0.00481,0.00481,0.00481,0,0
20100823,0.00477,0.00477,0.00477,0.00477,0,0
20100824,0.00478,0.00478,0.00478,0.00478,0,0
20100825,0.00476,0.00476,0.00476,0.00476,0,0
20100826,0.00468,0.00468,0.00468,0.00468,0,0
20100827,0.00475,0.00475,0.00475,0.00475,0,0
20100830,0.00477,0.00477,0.00477,0.00477,0,0
20100831,0.00442,0.00442,0.00442,0.00442,0,0
20100901,0.00459,0.00459,0.00459,0.00459,0,0
20100902,0.00458,0.00458,0.00458,0.00458,0,0
20100903,0.00437,0.00437,0.00437,0.00437,0,0
20100906,0.00445,0.00445,0.00445,0.00445,0,0
20100907,0.00443,0.00443,0.00443,0.00443,0,0
20100908,0.00449,0.00449,0.00449,0.00449,0,0
20100909,0.0044,0.0044,0.0044,0.0044,0,0
20100910,0.00444,0.00444,0.00444,0.00444,0,0
20100913,0.00444,0.00444,0.00444,0.00444,0,0
20100914,0.00438,0.00438,0.00438,0.00438,0,0
20100915,0.00428,0.00428,0.00428,0.00428,0,0
