Date,Open,High,Low,Close,Volume,OpenInt
19931025,19.744,19.744,19.744,19.744,0,0
19931026,19.636,19.636,19.636,19.636,0,0
19931027,19.546,19.546,19.546,19.546,0,0
19931028,19.647,19.647,19.647,19.647,0,0
19931029,19.281,19.281,19.281,19.281,0,0
19931102,19.327,19.327,19.327,19.327,0,0
19931103,18.978,18.978,18.978,18.978,0,0
19931104,18.982,18.982,18.982,18.982,0,0
19931105,18.861,18.861,18.861,18.861,0,0
19931108,18.498,18.498,18.498,18.498,0,0
19931109,18.635,18.635,18.635,18.635,0,0
19931110,18.714,18.714,18.714,18.714,0,0
19931112,18.647,18.647,18.647,18.647,0,0
19931115,18.675,18.675,18.675,18.675,0,0
19931116,18.923,18.923,18.923,18.923,0,0
19931117,19.007,19.007,19.007,19.007,0,0
19931118,18.848,18.848,18.848,18.848,0,0
19931119,18.924,18.924,18.924,18.924,0,0
19931122,18.851,18.851,18.851,18.851,0,0
19931123,18.939,18.939,18.939,18.939,0,0
19931124,18.869,18.869,18.869,18.869,0,0
19931125,18.841,18.841,18.841,18.841,0,0
19931126,18.778,18.778,18.778,18.778,0,0
19931129,18.506,18.506,18.506,18.506,0,0
19931130,18.524,18.524,18.524,18.524,0,0
19931201,18.629,18.629,18.629,18.629,0,0
19931202,18.367,18.367,18.367,18.367,0,0
19931203,18.426,18.426,18.426,18.426,0,0
19931206,18.432,18.432,18.432,18.432,0,0
19931207,18.733,18.733,18.733,18.733,0,0
19931208,18.795,18.795,18.795,18.795,0,0
19931209,18.716,18.716,18.716,18.716,0,0
19931210,18.787,18.787,18.787,18.787,0,0
19931213,18.948,18.948,18.948,18.948,0,0
19931214,19.018,19.018,19.018,19.018,0,0
19931215,18.852,18.852,18.852,18.852,0,0
19931216,18.888,18.888,18.888,18.888,0,0
19931217,18.89,18.89,18.89,18.89,0,0
19931220,18.998,18.998,18.998,18.998,0,0
19931221,18.843,18.843,18.843,18.843,0,0
19931222,18.98,18.98,18.98,18.98,0,0
19931223,18.918,18.918,18.918,18.918,0,0
19931224,19.065,19.065,19.065,19.065,0,0
19931227,19.071,19.071,19.071,19.071,0,0
19931228,18.957,18.957,18.957,18.957,0,0
19931229,18.972,18.972,18.972,18.972,0,0
19931230,18.963,18.963,18.963,18.963,0,0
19931231,18.673,18.673,18.673,18.673,0,0
19940103,18.6,18.6,18.6,18.6,0,0
19940104,18.581,18.581,18.581,18.581,0,0
19940105,18.492,18.492,18.492,18.492,0,0
19940106,18.587,18.587,18.587,18.587,0,0
19940107,18.644,18.644,18.644,18.644,0,0
19940110,18.505,18.505,18.505,18.505,0,0
19940111,18.68,18.68,18.68,18.68,0,0
19940112,18.565,18.565,18.565,18.565,0,0
19940113,18.736,18.736,18.736,18.736,0,0
19940114,18.795,18.795,18.795,18.795,0,0
19940117,18.58,18.58,18.58,18.58,0,0
19940118,18.697,18.697,18.697,18.697,0,0
19940119,18.799,18.799,18.799,18.799,0,0
19940120,18.92,18.92,18.92,18.92,0,0
19940121,18.843,18.843,18.843,18.843,0,0
19940124,19.003,19.003,19.003,19.003,0,0
19940125,18.758,18.758,18.758,18.758,0,0
19940126,18.659,18.659,18.659,18.659,0,0
19940127,18.699,18.699,18.699,18.699,0,0
19940128,18.696,18.696,18.696,18.696,0,0
19940131,18.782,18.782,18.782,18.782,0,0
19940201,18.751,18.751,18.751,18.751,0,0
19940202,18.888,18.888,18.888,18.888,0,0
19940203,18.954,18.954,18.954,18.954,0,0
19940204,18.806,18.806,18.806,18.806,0,0
19940207,18.833,18.833,18.833,18.833,0,0
19940208,18.643,18.643,18.643,18.643,0,0
19940209,18.564,18.564,18.564,18.564,0,0
19940210,18.512,18.512,18.512,18.512,0,0
19940211,18.437,18.437,18.437,18.437,0,0
19940214,18.483,18.483,18.483,18.483,0,0
19940215,18.635,18.635,18.635,18.635,0,0
19940216,18.87,18.87,18.87,18.87,0,0
19940217,18.925,18.925,18.925,18.925,0,0
