Date,Open,High,Low,Close,Volume,OpenInt
19960806,0.11424,0.11424,0.11424,0.11424,0,0
19960807,0.11402,0.11402,0.11402,0.11402,0,0
19960808,0.11431,0.11431,0.11431,0.11431,0,0
19960809,0.11426,0.11426,0.11426,0.11426,0,0
19960812,0.11411,0.11411,0.11411,0.11411,0,0
19960813,0.11422,0.11422,0.11422,0.11422,0,0
19960814,0.11402,0.11402,0.11402,0.11402,0,0
19960816,0.11409,0.11409,0.11409,0.11409,0,0
19960819,0.11433,0.11433,0.11433,0.11433,0,0
19960820,0.11423,0.11423,0.11423,0.11423,0,0
19960821,0.11418,0.11418,0.11418,0.11418,0,0
19960822,0.11431,0.11431,0.11431,0.11431,0,0
19960823,0.11446,0.11446,0.11446,0.11446,0,0
19960826,0.11412,0.11412,0.11412,0.11412,0,0
19960827,0.11412,0.11412,0.11412,0.11412,0,0
19960828,0.1142,0.1142,0.1142,0.1142,0,0
19960829,0.11421,0.11421,0.11421,0.11421,0,0
19960830,0.11428,0.11428,0.11428,0.11428,0,0
19960902,0.11404,0.11404,0.11404,0.11404,0,0
19960903,0.11421,0.11421,0.11421,0.11421,0,0
19960904,0.11422,0.11422,0.11422,0.11422,0,0
19960905,0.11398,0.11398,0.11398,0.11398,0,0
19960906,0.11387,0.11387,0.11387,0.11387,0,0
19960909,0.11388,0.11388,0.11388,0.11388,0,0
19960910,0.11391,0.11391,0.11391,0.11391,0,0
19960911,0.11415,0.11415,0.11415,0.11415,0,0
19960912,0.11417,0.11417,0.11417,0.11417,0,0
19960913,0.11412,0.11412,0.11412,0.11412,0,0
19960916,0.11427,0.11427,0.11427,0.11427,0,0
19960917,0.11411,0.11411,0.11411,0.11411,0,0
19960918,0.11436,0.11436,0.11436,0.11436,0,0
19960919,0.11409,0.11409,0.11409,0.11409,0,0
19960920,0.11431,0.11431,0.11431,0.11431,0,0
19960923,0.11439,0.11439,0.11439,0.11439,0,0
19960924,0.11465,0.11465,0.11465,0.11465,0,0
19960925,0.11394,0.11394,0.11394,0.11394,0,0
19960926,0.11419,0.11419,0.11419,0.11419,0,0
19960927,0.11425,0.11425,0.11425,0.11425,0,0
19960930,0.11442,0.11442,0.11442,0.11442,0,0
19961001,0.11424,0.11424,0.11424,0.11424,0,0
19961002,0.11398,0.11398,0.11398,0.11398,0,0
19961003,0.11425,0.11425,0.11425,0.11425,0,0
19961004,0.11409,0.11409,0.11409,0.11409,0,0
19961007,0.11417,0.11417,0.11417,0.11417,0,0
19961008,0.11414,0.11414,0.11414,0.11414,0,0
19961009,0.11435,0.11435,0.11435,0.11435,0,0
19961010,0.11441,0.11441,0.11441,0.11441,0,0
19961011,0.11425,0.11425,0.11425,0.11425,0,0
19961014,0.11424,0.11424,0.11424,0.11424,0,0
19961015,0.11403,0.11403,0.11403,0.11403,0,0
19961016,0.1143,0.1143,0.1143,0.1143,0,0
19961017,0.1142,0.1142,0.1142,0.1142,0,0
19961018,0.11426,0.11426,0.11426,0.11426,0,0
19961021,0.11437,0.11437,0.11437,0.11437,0,0
19961022,0.1146,0.1146,0.1146,0.1146,0,0
19961023,0.11435,0.11435,0.11435,0.11435,0,0
19961024,0.11441,0.11441,0.11441,0.11441,0,0
19961025,0.11441,0.11441,0.11441,0.11441,0,0
19961028,0.11438,0.11438,0.11438,0.11438,0,0
19961029,0.11424,0.11424,0.11424,0.11424,0,0
19961030,0.11416,0.11416,0.11416,0.11416,0,0
19961031,0.11407,0.11407,0.11407,0.11407,0,0
19961104,0.11445,0.11445,0.11445,0.11445,0,0
19961105,0.11402,0.11402,0.11402,0.11402,0,0
19961106,0.11433,0.11433,0.11433,0.11433,0,0
19961107,0.11415,0.11415,0.11415,0.11415,0,0
19961108,0.11447,0.11447,0.11447,0.11447,0,0
19961112,0.11396,0.11396,0.11396,0.11396,0,0
19961113,0.11432,0.11432,0.11432,0.11432,0,0
19961114,0.11421,0.11421,0.11421,0.11421,0,0
19961115,0.11424,0.11424,0.11424,0.11424,0,0
19961118,0.11443,0.11443,0.11443,0.11443,0,0
19961119,0.11412,0.11412,0.11412,0.11412,0,0
19961120,0.11426,0.11426,0.11426,0.11426,0,0
19961121,0.11445,0.11445,0.11445,0.11445,0,0
19961122,0.1141,0.1141,0.1141,0.1141,0,0
19961125,0.11397,0.11397,0.11397,0.11397,0,0
19961126,0.11418,0.11418,0.11418,0.11418,0,0
19961127,0.11416,0.11416,0.11416,0.11416,0,0
19961128,0.11425,0.11425,0.11425,0.11425,0,0
19961129,0.11408,0.11408,0.11408,0.11408,0,0
19961202,0.11428,0.11428,0.11428,0.11428,0,0
19961203,0.11404,0.11404,0.11404,0.11404,0,0
19961204,0.11427,0.11427,0.11427,0.11427,0,0
19961205,0.1145,0.1145,0.1145,0.1145,0,0
19961206,0.1139,0.1139,0.1139,0.1139,0,0
19961209,0.11408,0.11408,0.11408,0.11408,0,0
19961210,0.11426,0.11426,0.11426,0.11426,0,0
19961211,0.11443,0.11443,0.11443,0.11443,0,0
19961212,0.11435,0.11435,0.11435,0.11435,0,0
19961213,0.11404,0.11404,0.11404,0.11404,0,0
19961216,0.11436,0.11436,0.11436,0.11436,0,0
19961217,0.11435,0.11435,0.11435,0.11435,0,0
19961218,0.11418,0.11418,0.11418,0.11418,0,0
19961219,0.11413,0.11413,0.11413,0.11413,0,0
19961220,0.11437,0.11437,0.11437,0.11437,0,0
19961223,0.11426,0.11426,0.11426,0.11426,0,0
19961224,0.11427,0.11427,0.11427,0.11427,0,0
19961230,0.11426,0.11426,0.11426,0.11426,0,0
19961231,0.11457,0.11457,0.11457,0.11457,0,0
19970102,0.1142,0.1142,0.1142,0.1142,0,0
19970103,0.11422,0.11422,0.11422,0.11422,0,0
19970106,0.11441,0.11441,0.11441,0.11441,0,0
19970107,0.11422,0.11422,0.11422,0.11422,0,0
19970108,0.11424,0.11424,0.11424,0.11424,0,0
19970109,0.11426,0.11426,0.11426,0.11426,0,0
19970110,0.11399,0.11399,0.11399,0.11399,0,0
19970113,0.11425,0.11425,0.11425,0.11425,0,0
19970114,0.11396,0.11396,0.11396,0.11396,0,0
19970115,0.1146,0.1146,0.1146,0.1146,0,0
19970116,0.11441,0.11441,0.11441,0.11441,0,0
19970117,0.11397,0.11397,0.11397,0.11397,0,0
19970120,0.11493,0.11493,0.11493,0.11493,0,0
19970121,0.11434,0.11434,0.11434,0.11434,0,0
19970122,0.11454,0.11454,0.11454,0.11454,0,0
19970123,0.11445,0.11445,0.11445,0.11445,0,0
19970124,0.11446,0.11446,0.11446,0.11446,0,0
19970127,0.1143,0.1143,0.1143,0.1143,0,0
19970128,0.11453,0.11453,0.11453,0.11453,0,0
19970129,0.11433,0.11433,0.11433,0.11433,0,0
19970130,0.11448,0.11448,0.11448,0.11448,0,0
19970131,0.11428,0.11428,0.11428,0.11428,0,0
19970203,0.11446,0.11446,0.11446,0.11446,0,0
19970204,0.11421,0.11421,0.11421,0.11421,0,0
19970205,0.11456,0.11456,0.11456,0.11456,0,0
