Date,Open,High,Low,Close,Volume,OpenInt
20100719,6329.65,6329.65,6329.65,6329.65,0,0
20100720,6813.32,6813.32,6813.32,6813.32,0,0
20100721,6397,6397,6397,6397,0,0
20100722,10156,10156,10156,10156,0,0
20100723,8175.94,8175.94,8175.94,8175.94,0,0
20100726,9240.35,9240.35,9240.35,9240.35,0,0
20100727,8650.99,8650.99,8650.99,8650.99,0,0
20100728,8953.91,8953.91,8953.91,8953.91,0,0
20100729,7557.22,7557.22,7557.22,7557.22,0,0
20100730,8402.66,8402.66,8402.66,8402.66,0,0
20100802,8912.8,8912.8,8912.8,8912.8,0,0
20100803,8903.96,8903.96,8903.96,8903.96,0,0
20100804,9369.2,9369.2,9369.2,9369.2,0,0
20100805,8738.02,8738.02,8738.02,8738.02,0,0
20100806,8573.56,8573.56,8573.56,8573.56,0,0
20100809,7542.91,7542.91,7542.91,7542.91,0,0
20100810,7590.71,7590.71,7590.71,7590.71,0,0
20100811,7757,7757,7757,7757,0,0
20100812,7416.42,7416.42,7416.42,7416.42,0,0
20100813,7990.06,7990.06,7990.06,7990.06,0,0
20100816,7900.58,7900.58,7900.58,7900.58,0,0
20100817,7428.65,7428.65,7428.65,7428.65,0,0
20100818,7651.17,7651.17,7651.17,7651.17,0,0
20100819,7740.84,7740.84,7740.84,7740.84,0,0
20100820,7815.55,7815.55,7815.55,7815.55,0,0
20100823,7873.59,7873.59,7873.59,7873.59,0,0
20100824,7849.15,7849.15,7849.15,7849.15,0,0
20100825,7854.35,7854.35,7854.35,7854.35,0,0
20100826,8002.59,8002.59,8002.59,8002.59,0,0
20100827,7939.1,7939.1,7939.1,7939.1,0,0
20100830,7861.93,7861.93,7861.93,7861.93,0,0
20100831,8556.29,8556.29,8556.29,8556.29,0,0
20100901,8247.85,8247.85,8247.85,8247.85,0,0
20100902,8184.6,8184.6,8184.6,8184.6,0,0
20100903,8581.89,8581.89,8581.89,8581.89,0,0
20100906,8467.89,8467.89,8467.89,8467.89,0,0
20100907,8451.6,8451.6,8451.6,8451.6,0,0
20100908,8342.48,8342.48,8342.48,8342.48,0,0
20100909,8408.06,8408.06,8408.06,8408.06,0,0
20100910,8344.22,8344.22,8344.22,8344.22,0,0
20100913,8397.79,8397.79,8397.79,8397.79,0,0
20100914,8561.64,8561.64,8561.64,8561.64,0,0
20100915,8745.08,8745.08,8745.08,8745.08,0,0
20100916,8550.8,8550.8,8550.8,8550.8,0,0
20100917,8973.5,8973.5,8973.5,8973.5,0,0
20100920,8555.69,8555.69,8555.69,8555.69,0,0
20100921,8501.27,8501.27,8501.27,8501.27,0,0
20100922,8752.72,8752.72,8752.72,8752.72,0,0
20100923,8716.34,8716.34,8716.34,8716.34,0,0
20100924,8803.86,8803.86,8803.86,8803.86,0,0
20100927,8815.14,8815.14,8815.14,8815.14,0,0
20100928,8928.08,8928.08,8928.08,8928.08,0,0
20100929,8967.96,8967.96,8967.96,8967.96,0,0
20100930,8960.35,8960.35,8960.35,8960.35,0,0
20101001,9080.15,9080.15,9080.15,9080.15,0,0
