Date,Open,High,Low,Close,Volume,OpenInt
19951023,5.2635,5.2635,5.2635,5.2635,0,0
19951024,5.3191,5.3191,5.3191,5.3191,0,0
19951025,5.263,5.263,5.263,5.263,0,0
19951026,5.2643,5.2643,5.2643,5.2643,0,0
19951027,5.2826,5.2826,5.2826,5.2826,0,0
19951030,5.2082,5.2082,5.2082,5.2082,0,0
19951031,5.1094,5.1094,5.1094,5.1094,0,0
19951102,5.1293,5.1293,5.1293,5.1293,0,0
19951103,5.1175,5.1175,5.1175,5.1175,0,0
19951106,5.1411,5.1411,5.1411,5.1411,0,0
19951107,5.1695,5.1695,5.1695,5.1695,0,0
19951108,5.1707,5.1707,5.1707,5.1707,0,0
19951109,5.142,5.142,5.142,5.142,0,0
19951110,5.1566,5.1566,5.1566,5.1566,0,0
19951113,5.1599,5.1599,5.1599,5.1599,0,0
19951114,5.1486,5.1486,5.1486,5.1486,0,0
19951115,5.2008,5.2008,5.2008,5.2008,0,0
19951116,5.1762,5.1762,5.1762,5.1762,0,0
19951117,5.1951,5.1951,5.1951,5.1951,0,0
19951120,5.1458,5.1458,5.1458,5.1458,0,0
19951121,5.1632,5.1632,5.1632,5.1632,0,0
19951122,5.174,5.174,5.174,5.174,0,0
19951123,5.1691,5.1691,5.1691,5.1691,0,0
19951124,5.166,5.166,5.166,5.166,0,0
19951127,5.1028,5.1028,5.1028,5.1028,0,0
19951128,5.1108,5.1108,5.1108,5.1108,0,0
19951129,5.1252,5.1252,5.1252,5.1252,0,0
19951130,5.1225,5.1225,5.1225,5.1225,0,0
19951201,5.1111,5.1111,5.1111,5.1111,0,0
19951204,5.1499,5.1499,5.1499,5.1499,0,0
19951205,5.1612,5.1612,5.1612,5.1612,0,0
19951206,5.1488,5.1488,5.1488,5.1488,0,0
19951207,5.1493,5.1493,5.1493,5.1493,0,0
19951208,5.1505,5.1505,5.1505,5.1505,0,0
19951211,5.1873,5.1873,5.1873,5.1873,0,0
19951212,5.188,5.188,5.188,5.188,0,0
19951213,5.1562,5.1562,5.1562,5.1562,0,0
19951214,5.1549,5.1549,5.1549,5.1549,0,0
19951215,5.1736,5.1736,5.1736,5.1736,0,0
19951218,5.1685,5.1685,5.1685,5.1685,0,0
19951219,5.1936,5.1936,5.1936,5.1936,0,0
19951220,5.1261,5.1261,5.1261,5.1261,0,0
