Date,Open,High,Low,Close,Volume,OpenInt
19951023,0.9724,0.9724,0.9724,0.9724,0,0
19951024,0.9711,0.9711,0.9711,0.9711,0,0
19951025,0.946,0.946,0.946,0.946,0,0
19951026,0.9467,0.9467,0.9467,0.9467,0,0
19951027,0.9547,0.9547,0.9547,0.9547,0,0
19951030,0.9428,0.9428,0.9428,0.9428,0,0
19951031,0.9415,0.9415,0.9415,0.9415,0,0
19951102,0.9475,0.9475,0.9475,0.9475,0,0
19951103,0.9523,0.9523,0.9523,0.9523,0,0
19951106,0.9597,0.9597,0.9597,0.9597,0,0
19951107,0.9527,0.9527,0.9527,0.9527,0,0
19951108,0.9525,0.9525,0.9525,0.9525,0,0
19951109,0.9526,0.9526,0.9526,0.9526,0,0
19951110,0.96,0.96,0.96,0.96,0,0
19951113,0.9634,0.9634,0.9634,0.9634,0,0
19951114,0.9566,0.9566,0.9566,0.9566,0,0
19951115,0.9667,0.9667,0.9667,0.9667,0,0
19951116,0.965,0.965,0.965,0.965,0,0
19951117,0.9675,0.9675,0.9675,0.9675,0,0
19951120,0.9595,0.9595,0.9595,0.9595,0,0
19951121,0.9625,0.9625,0.9625,0.9625,0,0
19951122,0.9631,0.9631,0.9631,0.9631,0,0
19951123,0.9614,0.9614,0.9614,0.9614,0,0
19951124,0.9593,0.9593,0.9593,0.9593,0,0
19951127,0.9501,0.9501,0.9501,0.9501,0,0
19951128,0.9479,0.9479,0.9479,0.9479,0,0
19951129,0.946,0.946,0.946,0.946,0,0
19951130,0.9522,0.9522,0.9522,0.9522,0,0
19951201,0.9447,0.9447,0.9447,0.9447,0,0
19951204,0.9633,0.9633,0.9633,0.9633,0,0
19951205,0.9557,0.9557,0.9557,0.9557,0,0
19951206,0.9522,0.9522,0.9522,0.9522,0,0
19951207,0.9523,0.9523,0.9523,0.9523,0,0
19951208,0.9477,0.9477,0.9477,0.9477,0,0
19951211,0.9573,0.9573,0.9573,0.9573,0,0
19951212,0.9548,0.9548,0.9548,0.9548,0,0
19951213,0.9509,0.9509,0.9509,0.9509,0,0
19951214,0.9525,0.9525,0.9525,0.9525,0,0
19951215,0.9585,0.9585,0.9585,0.9585,0,0
19951218,0.9633,0.9633,0.9633,0.9633,0,0
19951219,0.9648,0.9648,0.9648,0.9648,0,0
19951220,0.9595,0.9595,0.9595,0.9595,0,0
19951221,0.9604,0.9604,0.9604,0.9604,0,0
19951222,0.9588,0.9588,0.9588,0.9588,0,0
19951227,0.9648,0.9648,0.9648,0.9648,0,0
19951228,0.955,0.955,0.955,0.955,0,0
19951229,0.9557,0.9557,0.9557,0.9557,0,0
19960102,0.9592,0.9592,0.9592,0.9592,0,0
19960103,0.9524,0.9524,0.9524,0.9524,0,0
19960104,0.948,0.948,0.948,0.948,0,0
19960105,0.9579,0.9579,0.9579,0.9579,0,0
19960108,0.9589,0.9589,0.9589,0.9589,0,0
19960109,0.9503,0.9503,0.9503,0.9503,0,0
19960110,0.9579,0.9579,0.9579,0.9579,0,0
19960111,0.9572,0.9572,0.9572,0.9572,0,0
19960112,0.9511,0.9511,0.9511,0.9511,0,0
19960115,0.9513,0.9513,0.9513,0.9513,0,0
19960116,0.9468,0.9468,0.9468,0.9468,0,0
19960117,0.9428,0.9428,0.9428,0.9428,0,0
19960118,0.9508,0.9508,0.9508,0.9508,0,0
19960119,0.9469,0.9469,0.9469,0.9469,0,0
19960122,0.9494,0.9494,0.9494,0.9494,0,0
19960123,0.954,0.954,0.954,0.954,0,0
19960124,0.9452,0.9452,0.9452,0.9452,0,0
19960125,0.9586,0.9586,0.9586,0.9586,0,0
19960126,0.9529,0.9529,0.9529,0.9529,0,0
19960129,0.9544,0.9544,0.9544,0.9544,0,0
