Date,Open,High,Low,Close,Volume,OpenInt
19951023,0.04101,0.04101,0.04101,0.04101,0,0
19951024,0.041,0.041,0.041,0.041,0,0
19951025,0.04116,0.04116,0.04116,0.04116,0,0
19951026,0.04107,0.04107,0.04107,0.04107,0,0
19951027,0.04141,0.04141,0.04141,0.04141,0,0
19951030,0.04096,0.04096,0.04096,0.04096,0,0
19951031,0.0409,0.0409,0.0409,0.0409,0,0
19951102,0.04121,0.04121,0.04121,0.04121,0,0
19951103,0.04168,0.04168,0.04168,0.04168,0,0
19951106,0.04203,0.04203,0.04203,0.04203,0,0
19951107,0.04279,0.04279,0.04279,0.04279,0,0
19951108,0.04246,0.04246,0.04246,0.04246,0,0
19951109,0.04252,0.04252,0.04252,0.04252,0,0
19951110,0.04326,0.04326,0.04326,0.04326,0,0
19951113,0.04351,0.04351,0.04351,0.04351,0,0
19951114,0.04323,0.04323,0.04323,0.04323,0,0
19951115,0.04375,0.04375,0.04375,0.04375,0,0
19951116,0.04505,0.04505,0.04505,0.04505,0,0
19951117,0.04691,0.04691,0.04691,0.04691,0,0
19951120,0.04653,0.04653,0.04653,0.04653,0,0
19951121,0.04667,0.04667,0.04667,0.04667,0,0
19951122,0.0467,0.0467,0.0467,0.0467,0,0
19951123,0.04662,0.04662,0.04662,0.04662,0,0
19951124,0.04652,0.04652,0.04652,0.04652,0,0
19951127,0.04594,0.04594,0.04594,0.04594,0,0
19951128,0.04646,0.04646,0.04646,0.04646,0,0
19951129,0.04574,0.04574,0.04574,0.04574,0,0
19951130,0.04562,0.04562,0.04562,0.04562,0,0
19951201,0.04526,0.04526,0.04526,0.04526,0,0
19951204,0.04639,0.04639,0.04639,0.04639,0,0
19951205,0.0467,0.0467,0.0467,0.0467,0,0
19951206,0.04608,0.04608,0.04608,0.04608,0,0
19951207,0.04684,0.04684,0.04684,0.04684,0,0
19951208,0.04649,0.04649,0.04649,0.04649,0,0
19951211,0.04666,0.04666,0.04666,0.04666,0,0
19951212,0.04618,0.04618,0.04618,0.04618,0,0
19951213,0.04621,0.04621,0.04621,0.04621,0,0
19951214,0.04611,0.04611,0.04611,0.04611,0,0
19951215,0.04663,0.04663,0.04663,0.04663,0,0
19951218,0.04686,0.04686,0.04686,0.04686,0,0
19951219,0.04694,0.04694,0.04694,0.04694,0,0
19951220,0.04668,0.04668,0.04668,0.04668,0,0
19951221,0.04672,0.04672,0.04672,0.04672,0,0
19951222,0.04664,0.04664,0.04664,0.04664,0,0
19951227,0.04693,0.04693,0.04693,0.04693,0,0
19951228,0.04704,0.04704,0.04704,0.04704,0,0
19951229,0.0474,0.0474,0.0474,0.0474,0,0
19960102,0.04743,0.04743,0.04743,0.04743,0,0
19960103,0.04717,0.04717,0.04717,0.04717,0,0
19960104,0.04678,0.04678,0.04678,0.04678,0,0
19960105,0.04722,0.04722,0.04722,0.04722,0,0
19960108,0.04716,0.04716,0.04716,0.04716,0,0
19960109,0.04718,0.04718,0.04718,0.04718,0,0
19960110,0.04782,0.04782,0.04782,0.04782,0,0
