Date,Open,High,Low,Close,Volume,OpenInt
19710104,100,100,100,100,0,0
19710105,99.91,99.91,99.91,99.91,0,0
19710106,99.93,99.93,99.93,99.93,0,0
19710107,99.94,99.94,99.94,99.94,0,0
19710108,99.95,99.95,99.95,99.95,0,0
19710111,99.96,99.96,99.96,99.96,0,0
19710112,99.96,99.96,99.96,99.96,0,0
19710113,100,100,100,100,0,0
19710114,99.97,99.97,99.97,99.97,0,0
19710115,100,100,100,100,0,0
19710118,100.03,100.03,100.03,100.03,0,0
19710119,99.98,99.98,99.98,99.98,0,0
19710120,100.09,100.09,100.09,100.09,0,0
19710121,100.11,100.11,100.11,100.11,0,0
19710122,100.07,100.07,100.07,100.07,0,0
19710125,100.05,100.05,100.05,100.05,0,0
19710126,100.02,100.02,100.02,100.02,0,0
19710127,100.02,100.02,100.02,100.02,0,0
19710128,100,100,100,100,0,0
19710129,99.97,99.97,99.97,99.97,0,0
19710201,99.92,99.92,99.92,99.92,0,0
19710202,99.92,99.92,99.92,99.92,0,0
19710203,99.95,99.95,99.95,99.95,0,0
19710204,99.98,99.98,99.98,99.98,0,0
19710205,99.98,99.98,99.98,99.98,0,0
19710208,99.95,99.95,99.95,99.95,0,0
19710209,100.01,100.01,100.01,100.01,0,0
19710210,99.96,99.96,99.96,99.96,0,0
19710211,99.93,99.93,99.93,99.93,0,0
19710216,99.95,99.95,99.95,99.95,0,0
19710217,99.97,99.97,99.97,99.97,0,0
19710218,99.95,99.95,99.95,99.95,0,0
19710219,99.96,99.96,99.96,99.96,0,0
19710222,99.97,99.97,99.97,99.97,0,0
19710223,99.96,99.96,99.96,99.96,0,0
19710224,100,100,100,100,0,0
19710225,100.01,100.01,100.01,100.01,0,0
19710226,99.89,99.89,99.89,99.89,0,0
19710301,99.98,99.98,99.98,99.98,0,0
19710302,99.97,99.97,99.97,99.97,0,0
19710303,100.01,100.01,100.01,100.01,0,0
19710304,99.98,99.98,99.98,99.98,0,0
19710305,99.99,99.99,99.99,99.99,0,0
19710308,99.98,99.98,99.98,99.98,0,0
19710309,99.98,99.98,99.98,99.98,0,0
19710310,99.99,99.99,99.99,99.99,0,0
19710311,99.97,99.97,99.97,99.97,0,0
19710312,99.9,99.9,99.9,99.9,0,0
19710315,99.89,99.89,99.89,99.89,0,0
19710316,99.9,99.9,99.9,99.9,0,0
19710317,99.97,99.97,99.97,99.97,0,0
19710318,99.95,99.95,99.95,99.95,0,0
19710319,99.94,99.94,99.94,99.94,0,0
19710322,99.94,99.94,99.94,99.94,0,0
19710323,99.95,99.95,99.95,99.95,0,0
19710324,99.95,99.95,99.95,99.95,0,0
19710325,99.92,99.92,99.92,99.92,0,0
19710326,99.93,99.93,99.93,99.93,0,0
19710329,99.92,99.92,99.92,99.92,0,0
19710330,99.97,99.97,99.97,99.97,0,0
19710331,99.98,99.98,99.98,99.98,0,0
19710401,100.01,100.01,100.01,100.01,0,0
19710402,100.03,100.03,100.03,100.03,0,0
19710405,99.97,99.97,99.97,99.97,0,0
19710406,99.96,99.96,99.96,99.96,0,0
19710407,99.93,99.93,99.93,99.93,0,0
19710408,99.93,99.93,99.93,99.93,0,0
19710409,99.93,99.93,99.93,99.93,0,0
19710412,99.91,99.91,99.91,99.91,0,0
19710413,99.89,99.89,99.89,99.89,0,0
19710414,99.89,99.89,99.89,99.89,0,0
19710415,99.88,99.88,99.88,99.88,0,0
19710416,99.84,99.84,99.84,99.84,0,0
19710419,99.67,99.67,99.67,99.67,0,0
19710420,99.73,99.73,99.73,99.73,0,0
19710421,99.81,99.81,99.81,99.81,0,0
19710422,99.81,99.81,99.81,99.81,0,0
19710423,99.77,99.77,99.77,99.77,0,0
19710426,99.79,99.79,99.79,99.79,0,0
19710427,99.83,99.83,99.83,99.83,0,0
19710428,99.93,99.93,99.93,99.93,0,0
19710429,99.89,99.89,99.89,99.89,0,0
19710430,99.89,99.89,99.89,99.89,0,0
19710503,99.95,99.95,99.95,99.95,0,0
19710504,99.97,99.97,99.97,99.97,0,0
19710505,100.7,100.7,100.7,100.7,0,0
19710506,100.54,100.54,100.54,100.54,0,0
19710507,100.72,100.72,100.72,100.72,0,0
19710510,101.41,101.41,101.41,101.41,0,0
19710511,100.6,100.6,100.6,100.6,0,0
19710512,100.82,100.82,100.82,100.82,0,0
19710513,101.19,101.19,101.19,101.19,0,0
19710514,101.1,101.1,101.1,101.1,0,0
19710517,101.09,101.09,101.09,101.09,0,0
19710518,101.08,101.08,101.08,101.08,0,0
19710519,101.5,101.5,101.5,101.5,0,0
19710520,102.2,102.2,102.2,102.2,0,0
19710521,102.29,102.29,102.29,102.29,0,0
19710524,102.11,102.11,102.11,102.11,0,0
19710525,101.32,101.32,101.32,101.32,0,0
19710526,101.07,101.07,101.07,101.07,0,0
19710527,101.17,101.17,101.17,101.17,0,0
19710528,101.14,101.14,101.14,101.14,0,0
19710601,100.59,100.59,100.59,100.59,0,0
19710602,101.07,101.07,101.07,101.07,0,0
19710603,101.65,101.65,101.65,101.65,0,0
19710604,101.71,101.71,101.71,101.71,0,0
19710607,101.76,101.76,101.76,101.76,0,0
19710608,101.91,101.91,101.91,101.91,0,0
19710609,102.09,102.09,102.09,102.09,0,0
19710610,102.1,102.1,102.1,102.1,0,0
19710611,102.19,102.19,102.19,102.19,0,0
19710614,102.21,102.21,102.21,102.21,0,0
19710615,102.27,102.27,102.27,102.27,0,0
19710616,102.3,102.3,102.3,102.3,0,0
19710617,102.35,102.35,102.35,102.35,0,0
19710618,102.32,102.32,102.32,102.32,0,0
19710621,102.32,102.32,102.32,102.32,0,0
19710622,102.4,102.4,102.4,102.4,0,0
19710623,102.6,102.6,102.6,102.6,0,0
19710624,102.53,102.53,102.53,102.53,0,0
19710625,102.42,102.42,102.42,102.42,0,0
19710628,102.41,102.41,102.41,102.41,0,0
19710629,102.52,102.52,102.52,102.52,0,0
19710630,102.57,102.57,102.57,102.57,0,0
19710701,102.5,102.5,102.5,102.5,0,0
19710702,102.46,102.46,102.46,102.46,0,0
19710706,102.49,102.49,102.49,102.49,0,0
19710707,102.54,102.54,102.54,102.54,0,0
19710708,102.53,102.53,102.53,102.53,0,0
19710709,102.52,102.52,102.52,102.52,0,0
19710712,102.52,102.52,102.52,102.52,0,0
19710713,102.53,102.53,102.53,102.53,0,0
19710714,102.8,102.8,102.8,102.8,0,0
19710715,102.94,102.94,102.94,102.94,0,0
19710716,103.22,103.22,103.22,103.22,0,0
19710719,103.23,103.23,103.23,103.23,0,0
19710720,103.18,103.18,103.18,103.18,0,0
19710721,103.34,103.34,103.34,103.34,0,0
19710722,103.44,103.44,103.44,103.44,0,0
19710723,103.45,103.45,103.45,103.45,0,0
19710726,103.49,103.49,103.49,103.49,0,0
19710727,103.59,103.59,103.59,103.59,0,0
19710728,103.5,103.5,103.5,103.5,0,0
19710729,103.61,103.61,103.61,103.61,0,0
19710730,103.6,103.6,103.6,103.6,0,0
19710802,103.59,103.59,103.59,103.59,0,0
19710803,103.59,103.59,103.59,103.59,0,0
19710804,103.7,103.7,103.7,103.7,0,0
19710805,103.9,103.9,103.9,103.9,0,0
19710806,103.9,103.9,103.9,103.9,0,0
19710809,104.91,104.91,104.91,104.91,0,0
19710810,104.97,104.97,104.97,104.97,0,0
19710811,105.09,105.09,105.09,105.09,0,0
19710812,105.65,105.65,105.65,105.65,0,0
19710813,105.63,105.63,105.63,105.63,0,0
19710816,105.3,105.3,105.3,105.3,0,0
19710817,105.6,105.6,105.6,105.6,0,0
19710818,104.81,104.81,104.81,104.81,0,0
19710819,104.73,104.73,104.73,104.73,0,0
19710820,104.23,104.23,104.23,104.23,0,0
19710823,103.99,103.99,103.99,103.99,0,0
19710824,104.53,104.53,104.53,104.53,0,0
19710825,104.74,104.74,104.74,104.74,0,0
19710826,104.37,104.37,104.37,104.37,0,0
19710827,104.29,104.29,104.29,104.29,0,0
19710830,104.43,104.43,104.43,104.43,0,0
19710831,103.2,103.2,103.2,103.2,0,0
19710901,103.4,103.4,103.4,103.4,0,0
19710902,103.38,103.38,103.38,103.38,0,0
19710903,103.39,103.39,103.39,103.39,0,0
19710907,103.43,103.43,103.43,103.43,0,0
19710908,103.32,103.32,103.32,103.32,0,0
19710909,103.27,103.27,103.27,103.27,0,0
19710910,103.47,103.47,103.47,103.47,0,0
19710913,103.52,103.52,103.52,103.52,0,0
19710914,103.76,103.76,103.76,103.76,0,0
19710915,103.82,103.82,103.82,103.82,0,0
19710916,103.77,103.77,103.77,103.77,0,0
19710917,103.82,103.82,103.82,103.82,0,0
19710920,104.58,104.58,104.58,104.58,0,0
19710921,104.27,104.27,104.27,104.27,0,0
19710922,104.61,104.61,104.61,104.61,0,0
19710923,105.21,105.21,105.21,105.21,0,0
19710924,105.16,105.16,105.16,105.16,0,0
19710927,105.12,105.12,105.12,105.12,0,0
19710928,105.13,105.13,105.13,105.13,0,0
19710929,104.98,104.98,104.98,104.98,0,0
19710930,104.83,104.83,104.83,104.83,0,0
19711001,104.54,104.54,104.54,104.54,0,0
19711004,104.43,104.43,104.43,104.43,0,0
19711005,104.45,104.45,104.45,104.45,0,0
19711006,104.6,104.6,104.6,104.6,0,0
19711007,104.65,104.65,104.65,104.65,0,0
19711008,104.75,104.75,104.75,104.75,0,0
19711012,104.24,104.24,104.24,104.24,0,0
19711013,104.27,104.27,104.27,104.27,0,0
19711014,104.03,104.03,104.03,104.03,0,0
19711015,104,104,104,104,0,0
19711018,104.21,104.21,104.21,104.21,0,0
19711019,104.41,104.41,104.41,104.41,0,0
19711020,104.48,104.48,104.48,104.48,0,0
19711021,104.32,104.32,104.32,104.32,0,0
19711022,103.98,103.98,103.98,103.98,0,0
19711026,104.02,104.02,104.02,104.02,0,0
19711027,104.01,104.01,104.01,104.01,0,0
19711028,103.92,103.92,103.92,103.92,0,0
19711029,103.85,103.85,103.85,103.85,0,0
19711101,103.97,103.97,103.97,103.97,0,0
19711103,103.88,103.88,103.88,103.88,0,0
19711104,103.92,103.92,103.92,103.92,0,0
19711105,103.77,103.77,103.77,103.77,0,0
19711108,103.68,103.68,103.68,103.68,0,0
19711109,103.61,103.61,103.61,103.61,0,0
19711110,103.53,103.53,103.53,103.53,0,0
19711111,103.61,103.61,103.61,103.61,0,0
19711112,103.79,103.79,103.79,103.79,0,0
19711115,103.77,103.77,103.77,103.77,0,0
