Date,Open,High,Low,Close,Volume,OpenInt
19950103,1.3195,1.3195,1.3195,1.3195,0,0
19950104,1.3201,1.3201,1.3201,1.3201,0,0
19950105,1.3151,1.3151,1.3151,1.3151,0,0
19950106,1.3111,1.3111,1.3111,1.3111,0,0
19950109,1.32,1.32,1.32,1.32,0,0
19950110,1.3158,1.3158,1.3158,1.3158,0,0
19950111,1.3291,1.3291,1.3291,1.3291,0,0
19950112,1.3205,1.3205,1.3205,1.3205,0,0
19950113,1.3195,1.3195,1.3195,1.3195,0,0
19950116,1.3299,1.3299,1.3299,1.3299,0,0
19950117,1.3281,1.3281,1.3281,1.3281,0,0
19950118,1.3262,1.3262,1.3262,1.3262,0,0
19950119,1.3363,1.3363,1.3363,1.3363,0,0
19950120,1.3306,1.3306,1.3306,1.3306,0,0
19950123,1.3468,1.3468,1.3468,1.3468,0,0
19950124,1.3499,1.3499,1.3499,1.3499,0,0
19950125,1.3618,1.3618,1.3618,1.3618,0,0
19950126,1.3509,1.3509,1.3509,1.3509,0,0
19950127,1.3444,1.3444,1.3444,1.3444,0,0
19950130,1.345,1.345,1.345,1.345,0,0
19950131,1.3358,1.3358,1.3358,1.3358,0,0
19950201,1.3412,1.3412,1.3412,1.3412,0,0
19950202,1.3261,1.3261,1.3261,1.3261,0,0
19950203,1.3278,1.3278,1.3278,1.3278,0,0
19950206,1.3165,1.3165,1.3165,1.3165,0,0
19950207,1.3034,1.3034,1.3034,1.3034,0,0
19950208,1.3013,1.3013,1.3013,1.3013,0,0
19950209,1.2917,1.2917,1.2917,1.2917,0,0
19950210,1.2956,1.2956,1.2956,1.2956,0,0
19950213,1.2952,1.2952,1.2952,1.2952,0,0
19950214,1.3046,1.3046,1.3046,1.3046,0,0
19950215,1.2994,1.2994,1.2994,1.2994,0,0
19950216,1.3192,1.3192,1.3192,1.3192,0,0
19950217,1.3357,1.3357,1.3357,1.3357,0,0
19950220,1.3269,1.3269,1.3269,1.3269,0,0
19950221,1.3333,1.3333,1.3333,1.3333,0,0
19950222,1.3394,1.3394,1.3394,1.3394,0,0
19950223,1.3396,1.3396,1.3396,1.3396,0,0
19950224,1.3566,1.3566,1.3566,1.3566,0,0
19950227,1.3529,1.3529,1.3529,1.3529,0,0
19950228,1.3465,1.3465,1.3465,1.3465,0,0
19950301,1.3449,1.3449,1.3449,1.3449,0,0
19950302,1.3477,1.3477,1.3477,1.3477,0,0
19950303,1.365,1.365,1.365,1.365,0,0
19950306,1.3927,1.3927,1.3927,1.3927,0,0
19950307,1.4627,1.4627,1.4627,1.4627,0,0
19950308,1.4423,1.4423,1.4423,1.4423,0,0
19950309,1.4562,1.4562,1.4562,1.4562,0,0
19950310,1.4224,1.4224,1.4224,1.4224,0,0
19950313,1.406,1.406,1.406,1.406,0,0
19950314,1.3933,1.3933,1.3933,1.3933,0,0
19950315,1.4023,1.4023,1.4023,1.4023,0,0
19950316,1.4248,1.4248,1.4248,1.4248,0,0
19950317,1.4324,1.4324,1.4324,1.4324,0,0
19950320,1.4499,1.4499,1.4499,1.4499,0,0
19950321,1.4254,1.4254,1.4254,1.4254,0,0
19950322,1.4347,1.4347,1.4347,1.4347,0,0
19950323,1.439,1.439,1.439,1.439,0,0
19950324,1.4452,1.4452,1.4452,1.4452,0,0
19950327,1.4534,1.4534,1.4534,1.4534,0,0
19950328,1.449,1.449,1.449,1.449,0,0
19950329,1.451,1.451,1.451,1.451,0,0
19950330,1.4549,1.4549,1.4549,1.4549,0,0
19950331,1.4342,1.4342,1.4342,1.4342,0,0
19950403,1.4595,1.4595,1.4595,1.4595,0,0
19950404,1.4552,1.4552,1.4552,1.4552,0,0
19950405,1.4484,1.4484,1.4484,1.4484,0,0
19950406,1.444,1.444,1.444,1.444,0,0
19950407,1.4421,1.4421,1.4421,1.4421,0,0
19950410,1.4456,1.4456,1.4456,1.4456,0,0
19950411,1.4395,1.4395,1.4395,1.4395,0,0
19950412,1.4447,1.4447,1.4447,1.4447,0,0
19950413,1.4461,1.4461,1.4461,1.4461,0,0
19950414,1.4516,1.4516,1.4516,1.4516,0,0
19950418,1.4554,1.4554,1.4554,1.4554,0,0
19950419,1.4783,1.4783,1.4783,1.4783,0,0
19950420,1.4818,1.4818,1.4818,1.4818,0,0
19950421,1.4662,1.4662,1.4662,1.4662,0,0
19950424,1.4627,1.4627,1.4627,1.4627,0,0
19950425,1.4888,1.4888,1.4888,1.4888,0,0
19950426,1.4783,1.4783,1.4783,1.4783,0,0
19950427,1.4743,1.4743,1.4743,1.4743,0,0
19950428,1.4759,1.4759,1.4759,1.4759,0,0
19950504,1.4565,1.4565,1.4565,1.4565,0,0
19950505,1.4574,1.4574,1.4574,1.4574,0,0
19950509,1.4396,1.4396,1.4396,1.4396,0,0
19950510,1.4256,1.4256,1.4256,1.4256,0,0
19950511,1.4258,1.4258,1.4258,1.4258,0,0
19950512,1.4099,1.4099,1.4099,1.4099,0,0
19950515,1.3945,1.3945,1.3945,1.3945,0,0
19950516,1.3919,1.3919,1.3919,1.3919,0,0
19950517,1.3957,1.3957,1.3957,1.3957,0,0
19950518,1.3978,1.3978,1.3978,1.3978,0,0
19950519,1.4034,1.4034,1.4034,1.4034,0,0
19950522,1.3908,1.3908,1.3908,1.3908,0,0
19950523,1.3956,1.3956,1.3956,1.3956,0,0
