Date,Open,High,Low,Close,Volume,OpenInt
19840109,9.0663,9.0663,9.0663,9.0663,0,0
19840116,9.1617,9.1617,9.1617,9.1617,0,0
19840123,9.0372,9.0372,9.0372,9.0372,0,0
19840130,9.1591,9.1591,9.1591,9.1591,0,0
19840206,9.1242,9.1242,9.1242,9.1242,0,0
19840213,9.1262,9.1262,9.1262,9.1262,0,0
19840220,9.1027,9.1027,9.1027,9.1027,0,0
19840301,8.8296,8.8296,8.8296,8.8296,0,0
19840305,8.6377,8.6377,8.6377,8.6377,0,0
19840312,8.6362,8.6362,8.6362,8.6362,0,0
19840319,8.6315,8.6315,8.6315,8.6315,0,0
19840326,8.8816,8.8816,8.8816,8.8816,0,0
19840402,8.8703,8.8703,8.8703,8.8703,0,0
19840409,8.9663,8.9663,8.9663,8.9663,0,0
19840416,8.9543,8.9543,8.9543,8.9543,0,0
19840424,9.046,9.046,9.046,9.046,0,0
19840502,9.0763,9.0763,9.0763,9.0763,0,0
19840507,9.1672,9.1672,9.1672,9.1672,0,0
19840514,9.1737,9.1737,9.1737,9.1737,0,0
19840521,9.213,9.213,9.213,9.213,0,0
19840528,9.1832,9.1832,9.1832,9.1832,0,0
19840604,9.2538,9.2538,9.2538,9.2538,0,0
19840611,9.1458,9.1458,9.1458,9.1458,0,0
19840618,9.2623,9.2623,9.2623,9.2623,0,0
19840625,9.2659,9.2659,9.2659,9.2659,0,0
19840702,9.4608,9.4608,9.4608,9.4608,0,0
19840709,9.4616,9.4616,9.4616,9.4616,0,0
19840716,9.719,9.719,9.719,9.719,0,0
19840723,9.661,9.661,9.661,9.661,0,0
19840730,9.655,9.655,9.655,9.655,0,0
19840806,9.73,9.73,9.73,9.73,0,0
19840813,9.681,9.681,9.681,9.681,0,0
19840820,9.674,9.674,9.674,9.674,0,0
19840827,9.686,9.686,9.686,9.686,0,0
19840901,9.781,9.781,9.781,9.781,0,0
19840910,9.86,9.86,9.86,9.86,0,0
19840917,9.99,9.99,9.99,9.99,0,0
19840924,10.397,10.397,10.397,10.397,0,0
19841001,10.342,10.342,10.342,10.342,0,0
19841008,10.285,10.285,10.285,10.285,0,0
19841015,10.386,10.386,10.386,10.386,0,0
19841022,10.633,10.633,10.633,10.633,0,0
19841029,10.629,10.629,10.629,10.629,0,0
19841105,10.595,10.595,10.595,10.595,0,0
19841112,10.102,10.102,10.102,10.102,0,0
19841119,10.005,10.005,10.005,10.005,0,0
19841126,10.265,10.265,10.265,10.265,0,0
19841201,10.639,10.639,10.639,10.639,0,0
19841210,10.631,10.631,10.631,10.631,0,0
19841217,10.608,10.608,10.608,10.608,0,0
19841224,10.748,10.748,10.748,10.748,0,0
19850101,10.907,10.907,10.907,10.907,0,0
19850107,11.137,11.137,11.137,11.137,0,0
19850114,11.058,11.058,11.058,11.058,0,0
19850121,11.421,11.421,11.421,11.421,0,0
19850128,11.435,11.435,11.435,11.435,0,0
19850204,11.465,11.465,11.465,11.465,0,0
19850211,11.499,11.499,11.499,11.499,0,0
19850218,11.735,11.735,11.735,11.735,0,0
19850225,11.742,11.742,11.742,11.742,0,0
19850304,11.904,11.904,11.904,11.904,0,0
19850311,12.191,12.191,12.191,12.191,0,0
19850318,11.88,11.88,11.88,11.88,0,0
19850325,11.447,11.447,11.447,11.447,0,0
19850329,10.612,10.612,10.612,10.612,0,0
19850401,10.531,10.531,10.531,10.531,0,0
19850409,10.445,10.445,10.445,10.445,0,0
19850415,10.62,10.62,10.62,10.62,0,0
19850422,10.076,10.076,10.076,10.076,0,0
19850429,10.085,10.085,10.085,10.085,0,0
19850506,10.349,10.349,10.349,10.349,0,0
19850513,10.8,10.8,10.8,10.8,0,0
19850520,10.148,10.148,10.148,10.148,0,0
19850527,10.047,10.047,10.047,10.047,0,0
19850601,10.241,10.241,10.241,10.241,0,0
19850610,9.919,9.919,9.919,9.919,0,0
19850617,10.221,10.221,10.221,10.221,0,0
19850624,9.991,9.991,9.991,9.991,0,0
19850701,10.015,10.015,10.015,10.015,0,0
19850708,9.912,9.912,9.912,9.912,0,0
19850715,9.643,9.643,9.643,9.643,0,0
19850723,9.3054,9.3054,9.3054,9.3054,0,0
19850729,9.1163,9.1163,9.1163,9.1163,0,0
19850805,9.0378,9.0378,9.0378,9.0378,0,0
19850812,9.624,9.624,9.624,9.624,0,0
19850819,9.1538,9.1538,9.1538,9.1538,0,0
19850826,9.179,9.179,9.179,9.179,0,0
19850902,9.201,9.201,9.201,9.201,0,0
19850909,9.2955,9.2955,9.2955,9.2955,0,0
19850916,9.779,9.779,9.779,9.779,0,0
19850923,9.605,9.605,9.605,9.605,0,0
19850930,9.0248,9.0248,9.0248,9.0248,0,0
19851007,9.1372,9.1372,9.1372,9.1372,0,0
19851014,9.0725,9.0725,9.0725,9.0725,0,0
19851021,9.1174,9.1174,9.1174,9.1174,0,0
19851028,8.9091,8.9091,8.9091,8.9091,0,0
19851104,8.9494,8.9494,8.9494,8.9494,0,0
19851111,8.9369,8.9369,8.9369,8.9369,0,0
19851118,9.0387,9.0387,9.0387,9.0387,0,0
19851125,8.9804,8.9804,8.9804,8.9804,0,0
19851202,8.7966,8.7966,8.7966,8.7966,0,0
19851209,8.6929,8.6929,8.6929,8.6929,0,0
19851216,8.8951,8.8951,8.8951,8.8951,0,0
19851223,8.9068,8.9068,8.9068,8.9068,0,0
19860101,9.0133,9.0133,9.0133,9.0133,0,0
19860106,8.86,8.86,8.86,8.86,0,0
19860113,8.91,8.91,8.91,8.91,0,0
