Date,Open,High,Low,Close,Volume,OpenInt
19951023,145.47,145.47,145.47,145.47,0,0
19951024,145.55,145.55,145.55,145.55,0,0
19951025,149,149,149,149,0,0
19951026,148.59,148.59,148.59,148.59,0,0
19951027,148.62,148.62,148.62,148.62,0,0
19951030,148.4,148.4,148.4,148.4,0,0
19951031,148.34,148.34,148.34,148.34,0,0
19951102,147.5,147.5,147.5,147.5,0,0
19951103,146.96,146.96,146.96,146.96,0,0
19951106,146.98,146.98,146.98,146.98,0,0
19951107,147.67,147.67,147.67,147.67,0,0
19951108,147.36,147.36,147.36,147.36,0,0
19951109,146.28,146.28,146.28,146.28,0,0
19951110,146.2,146.2,146.2,146.2,0,0
19951113,146.19,146.19,146.19,146.19,0,0
19951114,146.35,146.35,146.35,146.35,0,0
19951115,146.12,146.12,146.12,146.12,0,0
19951116,146.16,146.16,146.16,146.16,0,0
19951117,146.39,146.39,146.39,146.39,0,0
19951120,147.19,147.19,147.19,147.19,0,0
19951121,146.24,146.24,146.24,146.24,0,0
19951122,146.14,146.14,146.14,146.14,0,0
19951123,146.09,146.09,146.09,146.09,0,0
19951124,146.15,146.15,146.15,146.15,0,0
19951127,146.16,146.16,146.16,146.16,0,0
19951128,146.02,146.02,146.02,146.02,0,0
19951129,146.15,146.15,146.15,146.15,0,0
19951130,145.33,145.33,145.33,145.33,0,0
19951201,145.21,145.21,145.21,145.21,0,0
19951204,143.59,143.59,143.59,143.59,0,0
19951205,144.95,144.95,144.95,144.95,0,0
19951206,144.9,144.9,144.9,144.9,0,0
19951207,144.95,144.95,144.95,144.95,0,0
19951208,144.96,144.96,144.96,144.96,0,0
19951211,143.76,143.76,143.76,143.76,0,0
19951212,144.04,144.04,144.04,144.04,0,0
19951213,143.85,143.85,143.85,143.85,0,0
19951214,144.1,144.1,144.1,144.1,0,0
19951215,143.82,143.82,143.82,143.82,0,0
19951218,143.84,143.84,143.84,143.84,0,0
19951219,143.78,143.78,143.78,143.78,0,0
19951220,143.8,143.8,143.8,143.8,0,0
19951221,143.94,143.94,143.94,143.94,0,0
19951222,143.99,143.99,143.99,143.99,0,0
19951227,143.93,143.93,143.93,143.93,0,0
19951228,146.05,146.05,146.05,146.05,0,0
19951229,146.38,146.38,146.38,146.38,0,0
19960102,145.9,145.9,145.9,145.9,0,0
19960103,146.72,146.72,146.72,146.72,0,0
19960104,148,148,148,148,0,0
19960105,147.56,147.56,147.56,147.56,0,0
19960108,147.68,147.68,147.68,147.68,0,0
19960109,148.26,148.26,148.26,148.26,0,0
19960110,147.84,147.84,147.84,147.84,0,0
19960111,149.13,149.13,149.13,149.13,0,0
19960112,148.76,148.76,148.76,148.76,0,0
19960115,148.97,148.97,148.97,148.97,0,0
19960116,148.63,148.63,148.63,148.63,0,0
19960117,148.43,148.43,148.43,148.43,0,0
19960118,146.08,146.08,146.08,146.08,0,0
19960119,146.16,146.16,146.16,146.16,0,0
19960122,145.04,145.04,145.04,145.04,0,0
19960123,144.74,144.74,144.74,144.74,0,0
19960124,144.85,144.85,144.85,144.85,0,0
19960125,143.53,143.53,143.53,143.53,0,0
19960126,143.41,143.41,143.41,143.41,0,0
19960129,142.19,142.19,142.19,142.19,0,0
19960130,142.79,142.79,142.79,142.79,0,0
19960131,143.4,143.4,143.4,143.4,0,0
