Date,Open,High,Low,Close,Volume,OpenInt
19931025,9.688,9.688,9.688,9.688,0,0
19931026,9.716,9.716,9.716,9.716,0,0
19931027,9.757,9.757,9.757,9.757,0,0
19931028,9.733,9.733,9.733,9.733,0,0
19931029,9.754,9.754,9.754,9.754,0,0
19931102,9.75,9.75,9.75,9.75,0,0
19931103,9.831,9.831,9.831,9.831,0,0
19931104,9.829,9.829,9.829,9.829,0,0
19931105,9.824,9.824,9.824,9.824,0,0
19931108,9.86,9.86,9.86,9.86,0,0
19931109,9.856,9.856,9.856,9.856,0,0
19931110,9.855,9.855,9.855,9.855,0,0
19931112,9.896,9.896,9.896,9.896,0,0
19931115,9.929,9.929,9.929,9.929,0,0
19931116,9.882,9.882,9.882,9.882,0,0
19931117,9.904,9.904,9.904,9.904,0,0
19931118,9.947,9.947,9.947,9.947,0,0
19931119,9.925,9.925,9.925,9.925,0,0
19931122,9.918,9.918,9.918,9.918,0,0
19931123,9.922,9.922,9.922,9.922,0,0
19931124,9.948,9.948,9.948,9.948,0,0
19931125,9.932,9.932,9.932,9.932,0,0
19931126,9.959,9.959,9.959,9.959,0,0
19931129,9.972,9.972,9.972,9.972,0,0
19931130,9.977,9.977,9.977,9.977,0,0
19931201,9.962,9.962,9.962,9.962,0,0
19931202,9.995,9.995,9.995,9.995,0,0
19931203,10.003,10.003,10.003,10.003,0,0
19931206,10.012,10.012,10.012,10.012,0,0
19931207,9.983,9.983,9.983,9.983,0,0
19931208,9.96,9.96,9.96,9.96,0,0
19931209,9.987,9.987,9.987,9.987,0,0
19931210,9.996,9.996,9.996,9.996,0,0
19931213,9.973,9.973,9.973,9.973,0,0
19931214,9.974,9.974,9.974,9.974,0,0
19931215,10.027,10.027,10.027,10.027,0,0
19931216,10.041,10.041,10.041,10.041,0,0
19931217,10.045,10.045,10.045,10.045,0,0
19931220,10.033,10.033,10.033,10.033,0,0
19931221,10.057,10.057,10.057,10.057,0,0
19931222,10.05,10.05,10.05,10.05,0,0
19931223,10.043,10.043,10.043,10.043,0,0
19931224,10.028,10.028,10.028,10.028,0,0
19931227,10.018,10.018,10.018,10.018,0,0
19931228,10.05,10.05,10.05,10.05,0,0
19931229,10.048,10.048,10.048,10.048,0,0
19931230,10.06,10.06,10.06,10.06,0,0
19931231,10.113,10.113,10.113,10.113,0,0
19940103,10.167,10.167,10.167,10.167,0,0
19940104,10.179,10.179,10.179,10.179,0,0
19940105,10.208,10.208,10.208,10.208,0,0
19940106,10.203,10.203,10.203,10.203,0,0
19940107,10.241,10.241,10.241,10.241,0,0
19940110,10.247,10.247,10.247,10.247,0,0
19940111,10.225,10.225,10.225,10.225,0,0
19940112,10.248,10.248,10.248,10.248,0,0
19940113,10.209,10.209,10.209,10.209,0,0
19940114,10.173,10.173,10.173,10.173,0,0
19940117,10.225,10.225,10.225,10.225,0,0
19940118,10.254,10.254,10.254,10.254,0,0
19940119,10.281,10.281,10.281,10.281,0,0
19940120,10.24,10.24,10.24,10.24,0,0
19940121,10.256,10.256,10.256,10.256,0,0
19940124,10.219,10.219,10.219,10.219,0,0
19940125,10.267,10.267,10.267,10.267,0,0
19940126,10.289,10.289,10.289,10.289,0,0
19940127,10.29,10.29,10.29,10.29,0,0
19940128,10.296,10.296,10.296,10.296,0,0
19940131,10.258,10.258,10.258,10.258,0,0
19940201,10.291,10.291,10.291,10.291,0,0
19940202,10.283,10.283,10.283,10.283,0,0
19940203,10.278,10.278,10.278,10.278,0,0
19940204,10.302,10.302,10.302,10.302,0,0
19940207,10.329,10.329,10.329,10.329,0,0
19940208,10.388,10.388,10.388,10.388,0,0
19940209,10.386,10.386,10.386,10.386,0,0
19940210,10.397,10.397,10.397,10.397,0,0
19940211,10.406,10.406,10.406,10.406,0,0
19940214,10.397,10.397,10.397,10.397,0,0
19940215,10.382,10.382,10.382,10.382,0,0
19940216,10.348,10.348,10.348,10.348,0,0
19940217,10.326,10.326,10.326,10.326,0,0
19940218,10.308,10.308,10.308,10.308,0,0
19940221,10.268,10.268,10.268,10.268,0,0
19940222,10.243,10.243,10.243,10.243,0,0
19940223,10.258,10.258,10.258,10.258,0,0
19940224,10.273,10.273,10.273,10.273,0,0
19940225,10.289,10.289,10.289,10.289,0,0
19940228,10.237,10.237,10.237,10.237,0,0
19940301,10.224,10.224,10.224,10.224,0,0
19940302,10.193,10.193,10.193,10.193,0,0
19940303,10.187,10.187,10.187,10.187,0,0
19940304,10.233,10.233,10.233,10.233,0,0
19940307,10.251,10.251,10.251,10.251,0,0
19940308,10.274,10.274,10.274,10.274,0,0
19940309,10.26,10.26,10.26,10.26,0,0
19940310,10.242,10.242,10.242,10.242,0,0
19940311,10.206,10.206,10.206,10.206,0,0
19940314,10.183,10.183,10.183,10.183,0,0
19940315,10.21,10.21,10.21,10.21,0,0
19940316,10.257,10.257,10.257,10.257,0,0
19940317,10.258,10.258,10.258,10.258,0,0
19940318,10.25,10.25,10.25,10.25,0,0
19940321,10.264,10.264,10.264,10.264,0,0
19940322,10.292,10.292,10.292,10.292,0,0
19940323,10.262,10.262,10.262,10.262,0,0
19940324,10.279,10.279,10.279,10.279,0,0
19940325,10.256,10.256,10.256,10.256,0,0
19940328,10.207,10.207,10.207,10.207,0,0
19940329,10.243,10.243,10.243,10.243,0,0
19940330,10.224,10.224,10.224,10.224,0,0
19940331,10.27,10.27,10.27,10.27,0,0
19940401,10.251,10.251,10.251,10.251,0,0
19940405,10.268,10.268,10.268,10.268,0,0
19940406,10.321,10.321,10.321,10.321,0,0
19940407,10.383,10.383,10.383,10.383,0,0
19940408,10.383,10.383,10.383,10.383,0,0
19940411,10.392,10.392,10.392,10.392,0,0
19940412,10.387,10.387,10.387,10.387,0,0
19940413,10.434,10.434,10.434,10.434,0,0
19940414,10.436,10.436,10.436,10.436,0,0
19940415,10.424,10.424,10.424,10.424,0,0
19940418,10.43,10.43,10.43,10.43,0,0
19940419,10.441,10.441,10.441,10.441,0,0
19940420,10.422,10.422,10.422,10.422,0,0
19940421,10.411,10.411,10.411,10.411,0,0
19940422,10.38,10.38,10.38,10.38,0,0
19940425,10.403,10.403,10.403,10.403,0,0
19940426,10.372,10.372,10.372,10.372,0,0
19940427,10.395,10.395,10.395,10.395,0,0
19940428,10.376,10.376,10.376,10.376,0,0
19940429,10.396,10.396,10.396,10.396,0,0
19940504,10.299,10.299,10.299,10.299,0,0
19940505,10.379,10.379,10.379,10.379,0,0
19940506,10.399,10.399,10.399,10.399,0,0
19940509,10.404,10.404,10.404,10.404,0,0
19940510,10.367,10.367,10.367,10.367,0,0
19940511,10.391,10.391,10.391,10.391,0,0
19940512,10.433,10.433,10.433,10.433,0,0
19940513,10.424,10.424,10.424,10.424,0,0
19940516,10.435,10.435,10.435,10.435,0,0
19940517,10.446,10.446,10.446,10.446,0,0
19940518,10.439,10.439,10.439,10.439,0,0
19940519,10.428,10.428,10.428,10.428,0,0
19940520,10.407,10.407,10.407,10.407,0,0
19940523,10.407,10.407,10.407,10.407,0,0
19940524,10.391,10.391,10.391,10.391,0,0
19940525,10.411,10.411,10.411,10.411,0,0
19940526,10.431,10.431,10.431,10.431,0,0
19940527,10.403,10.403,10.403,10.403,0,0
19940530,10.428,10.428,10.428,10.428,0,0
19940531,10.422,10.422,10.422,10.422,0,0
19940601,10.418,10.418,10.418,10.418,0,0
19940603,10.424,10.424,10.424,10.424,0,0
19940606,10.48,10.48,10.48,10.48,0,0
19940607,10.513,10.513,10.513,10.513,0,0
19940608,10.523,10.523,10.523,10.523,0,0
19940609,10.511,10.511,10.511,10.511,0,0
19940610,10.527,10.527,10.527,10.527,0,0
19940613,10.534,10.534,10.534,10.534,0,0
19940614,10.503,10.503,10.503,10.503,0,0
19940615,10.477,10.477,10.477,10.477,0,0
19940616,10.478,10.478,10.478,10.478,0,0
19940617,10.443,10.443,10.443,10.443,0,0
19940620,10.473,10.473,10.473,10.473,0,0
19940621,10.371,10.371,10.371,10.371,0,0
19940622,10.376,10.376,10.376,10.376,0,0
19940623,10.369,10.369,10.369,10.369,0,0
19940624,10.401,10.401,10.401,10.401,0,0
19940627,10.365,10.365,10.365,10.365,0,0
19940628,10.319,10.319,10.319,10.319,0,0
19940629,10.359,10.359,10.359,10.359,0,0
19940630,10.349,10.349,10.349,10.349,0,0
19940701,10.395,10.395,10.395,10.395,0,0
