Date,Open,High,Low,Close,Volume,OpenInt
19931025,2.7806,2.7806,2.7806,2.7806,0,0
19931026,2.7971,2.7971,2.7971,2.7971,0,0
19931027,2.799,2.799,2.799,2.799,0,0
19931028,2.7892,2.7892,2.7892,2.7892,0,0
19931029,2.8026,2.8026,2.8026,2.8026,0,0
19931102,2.7936,2.7936,2.7936,2.7936,0,0
19931103,2.8062,2.8062,2.8062,2.8062,0,0
19931104,2.7961,2.7961,2.7961,2.7961,0,0
19931105,2.7972,2.7972,2.7972,2.7972,0,0
19931108,2.7962,2.7962,2.7962,2.7962,0,0
19931109,2.7822,2.7822,2.7822,2.7822,0,0
19931110,2.7834,2.7834,2.7834,2.7834,0,0
19931112,2.8091,2.8091,2.8091,2.8091,0,0
19931115,2.825,2.825,2.825,2.825,0,0
19931116,2.8125,2.8125,2.8125,2.8125,0,0
19931117,2.8111,2.8111,2.8111,2.8111,0,0
19931118,2.8256,2.8256,2.8256,2.8256,0,0
19931119,2.8121,2.8121,2.8121,2.8121,0,0
19931122,2.8341,2.8341,2.8341,2.8341,0,0
19931123,2.8373,2.8373,2.8373,2.8373,0,0
19931124,2.8647,2.8647,2.8647,2.8647,0,0
19931125,2.8524,2.8524,2.8524,2.8524,0,0
19931126,2.854,2.854,2.854,2.854,0,0
19931129,2.8498,2.8498,2.8498,2.8498,0,0
19931130,2.8496,2.8496,2.8496,2.8496,0,0
19931201,2.8678,2.8678,2.8678,2.8678,0,0
19931202,2.882,2.882,2.882,2.882,0,0
19931203,2.8681,2.8681,2.8681,2.8681,0,0
19931206,2.8581,2.8581,2.8581,2.8581,0,0
19931207,2.8474,2.8474,2.8474,2.8474,0,0
19931208,2.8146,2.8146,2.8146,2.8146,0,0
19931209,2.8284,2.8284,2.8284,2.8284,0,0
19931210,2.8271,2.8271,2.8271,2.8271,0,0
19931213,2.8142,2.8142,2.8142,2.8142,0,0
19931214,2.8479,2.8479,2.8479,2.8479,0,0
19931215,2.8527,2.8527,2.8527,2.8527,0,0
19931216,2.8599,2.8599,2.8599,2.8599,0,0
19931217,2.8608,2.8608,2.8608,2.8608,0,0
19931220,2.8444,2.8444,2.8444,2.8444,0,0
19931221,2.8458,2.8458,2.8458,2.8458,0,0
19931222,2.8358,2.8358,2.8358,2.8358,0,0
19931223,2.8185,2.8185,2.8185,2.8185,0,0
19931224,2.7906,2.7906,2.7906,2.7906,0,0
19931227,2.7734,2.7734,2.7734,2.7734,0,0
19931228,2.802,2.802,2.802,2.802,0,0
