Date,Open,High,Low,Close,Volume,OpenInt
19951023,1.0425,1.0425,1.0425,1.0425,0,0
19951024,1.0363,1.0363,1.0363,1.0363,0,0
19951025,1.0342,1.0342,1.0342,1.0342,0,0
19951026,1.0377,1.0377,1.0377,1.0377,0,0
19951027,1.039,1.039,1.039,1.039,0,0
19951030,1.0309,1.0309,1.0309,1.0309,0,0
19951031,1.036,1.036,1.036,1.036,0,0
19951102,1.0343,1.0343,1.0343,1.0343,0,0
19951103,1.037,1.037,1.037,1.037,0,0
19951106,1.0436,1.0436,1.0436,1.0436,0,0
19951107,1.037,1.037,1.037,1.037,0,0
19951108,1.0387,1.0387,1.0387,1.0387,0,0
19951109,1.0345,1.0345,1.0345,1.0345,0,0
19951110,1.0413,1.0413,1.0413,1.0413,0,0
19951113,1.0336,1.0336,1.0336,1.0336,0,0
19951114,1.0298,1.0298,1.0298,1.0298,0,0
19951115,1.0417,1.0417,1.0417,1.0417,0,0
19951116,1.0328,1.0328,1.0328,1.0328,0,0
19951117,1.0355,1.0355,1.0355,1.0355,0,0
19951120,1.0305,1.0305,1.0305,1.0305,0,0
19951121,1.0383,1.0383,1.0383,1.0383,0,0
19951122,1.0367,1.0367,1.0367,1.0367,0,0
19951123,1.0357,1.0357,1.0357,1.0357,0,0
19951124,1.0349,1.0349,1.0349,1.0349,0,0
19951127,1.0314,1.0314,1.0314,1.0314,0,0
19951128,1.0277,1.0277,1.0277,1.0277,0,0
19951129,1.0295,1.0295,1.0295,1.0295,0,0
19951130,1.0312,1.0312,1.0312,1.0312,0,0
19951201,1.0262,1.0262,1.0262,1.0262,0,0
19951204,1.0294,1.0294,1.0294,1.0294,0,0
19951205,1.0304,1.0304,1.0304,1.0304,0,0
19951206,1.0301,1.0301,1.0301,1.0301,0,0
19951207,1.0283,1.0283,1.0283,1.0283,0,0
19951208,1.0268,1.0268,1.0268,1.0268,0,0
19951211,1.0292,1.0292,1.0292,1.0292,0,0
19951212,1.0254,1.0254,1.0254,1.0254,0,0
19951213,1.0258,1.0258,1.0258,1.0258,0,0
19951214,1.0278,1.0278,1.0278,1.0278,0,0
19951215,1.0298,1.0298,1.0298,1.0298,0,0
19951218,1.0305,1.0305,1.0305,1.0305,0,0
19951219,1.03,1.03,1.03,1.03,0,0
19951220,1.0289,1.0289,1.0289,1.0289,0,0
19951221,1.0311,1.0311,1.0311,1.0311,0,0
19951222,1.0303,1.0303,1.0303,1.0303,0,0
19951227,1.0306,1.0306,1.0306,1.0306,0,0
19951228,1.0323,1.0323,1.0323,1.0323,0,0
19951229,1.0307,1.0307,1.0307,1.0307,0,0
19960102,1.031,1.031,1.031,1.031,0,0
19960103,1.0329,1.0329,1.0329,1.0329,0,0
19960104,1.0344,1.0344,1.0344,1.0344,0,0
19960105,1.0342,1.0342,1.0342,1.0342,0,0
19960108,1.0358,1.0358,1.0358,1.0358,0,0
19960109,1.0342,1.0342,1.0342,1.0342,0,0
19960110,1.0358,1.0358,1.0358,1.0358,0,0
19960111,1.0357,1.0357,1.0357,1.0357,0,0
19960112,1.0305,1.0305,1.0305,1.0305,0,0
19960115,1.0302,1.0302,1.0302,1.0302,0,0
19960116,1.0248,1.0248,1.0248,1.0248,0,0
19960117,1.0318,1.0318,1.0318,1.0318,0,0
19960118,1.0275,1.0275,1.0275,1.0275,0,0
19960119,1.0248,1.0248,1.0248,1.0248,0,0
19960122,1.0255,1.0255,1.0255,1.0255,0,0
19960123,1.0278,1.0278,1.0278,1.0278,0,0
19960124,1.0234,1.0234,1.0234,1.0234,0,0
19960125,1.0303,1.0303,1.0303,1.0303,0,0
19960126,1.0239,1.0239,1.0239,1.0239,0,0
19960129,1.0245,1.0245,1.0245,1.0245,0,0
19960130,1.0282,1.0282,1.0282,1.0282,0,0
19960131,1.0248,1.0248,1.0248,1.0248,0,0
19960201,1.0277,1.0277,1.0277,1.0277,0,0
19960202,1.028,1.028,1.028,1.028,0,0
19960205,1.0324,1.0324,1.0324,1.0324,0,0
19960206,1.031,1.031,1.031,1.031,0,0
19960207,1.0257,1.0257,1.0257,1.0257,0,0
19960208,1.0253,1.0253,1.0253,1.0253,0,0
19960209,1.0294,1.0294,1.0294,1.0294,0,0
19960212,1.0283,1.0283,1.0283,1.0283,0,0
19960213,1.0284,1.0284,1.0284,1.0284,0,0
19960214,1.0313,1.0313,1.0313,1.0313,0,0
19960215,1.0311,1.0311,1.0311,1.0311,0,0
19960216,1.0292,1.0292,1.0292,1.0292,0,0
19960219,1.0288,1.0288,1.0288,1.0288,0,0
19960220,1.0334,1.0334,1.0334,1.0334,0,0
19960221,1.0314,1.0314,1.0314,1.0314,0,0
19960222,1.0323,1.0323,1.0323,1.0323,0,0
19960223,1.0303,1.0303,1.0303,1.0303,0,0
19960226,1.0367,1.0367,1.0367,1.0367,0,0
19960227,1.0309,1.0309,1.0309,1.0309,0,0
19960228,1.0294,1.0294,1.0294,1.0294,0,0
19960229,1.0268,1.0268,1.0268,1.0268,0,0
19960301,1.0245,1.0245,1.0245,1.0245,0,0
19960304,1.0313,1.0313,1.0313,1.0313,0,0
19960305,1.0274,1.0274,1.0274,1.0274,0,0
19960306,1.0294,1.0294,1.0294,1.0294,0,0
19960307,1.0272,1.0272,1.0272,1.0272,0,0
19960308,1.031,1.031,1.031,1.031,0,0
19960311,1.0281,1.0281,1.0281,1.0281,0,0
19960312,1.0282,1.0282,1.0282,1.0282,0,0
19960313,1.0339,1.0339,1.0339,1.0339,0,0
19960314,1.0308,1.0308,1.0308,1.0308,0,0
19960315,1.0305,1.0305,1.0305,1.0305,0,0
19960318,1.032,1.032,1.032,1.032,0,0
19960319,1.0306,1.0306,1.0306,1.0306,0,0
19960320,1.0355,1.0355,1.0355,1.0355,0,0
19960321,1.0328,1.0328,1.0328,1.0328,0,0
19960322,1.0327,1.0327,1.0327,1.0327,0,0
19960325,1.0348,1.0348,1.0348,1.0348,0,0
19960326,1.0336,1.0336,1.0336,1.0336,0,0
19960327,1.0303,1.0303,1.0303,1.0303,0,0
19960328,1.0319,1.0319,1.0319,1.0319,0,0
19960329,1.036,1.036,1.036,1.036,0,0
19960401,1.0317,1.0317,1.0317,1.0317,0,0
19960402,1.034,1.034,1.034,1.034,0,0
19960403,1.0351,1.0351,1.0351,1.0351,0,0
19960404,1.0346,1.0346,1.0346,1.0346,0,0
19960405,1.0342,1.0342,1.0342,1.0342,0,0
19960409,1.0313,1.0313,1.0313,1.0313,0,0
19960410,1.0298,1.0298,1.0298,1.0298,0,0
19960411,1.0334,1.0334,1.0334,1.0334,0,0
19960412,1.0348,1.0348,1.0348,1.0348,0,0
19960415,1.0299,1.0299,1.0299,1.0299,0,0
19960416,1.0332,1.0332,1.0332,1.0332,0,0
19960417,1.0319,1.0319,1.0319,1.0319,0,0
19960418,1.0343,1.0343,1.0343,1.0343,0,0
19960419,1.0153,1.0153,1.0153,1.0153,0,0
19960422,1.0282,1.0282,1.0282,1.0282,0,0
19960423,1.0304,1.0304,1.0304,1.0304,0,0
19960424,1.0308,1.0308,1.0308,1.0308,0,0
19960425,1.0307,1.0307,1.0307,1.0307,0,0
19960426,1.0286,1.0286,1.0286,1.0286,0,0
19960429,1.0345,1.0345,1.0345,1.0345,0,0
19960430,1.031,1.031,1.031,1.031,0,0
19960506,1.0279,1.0279,1.0279,1.0279,0,0
19960507,1.0275,1.0275,1.0275,1.0275,0,0
19960508,1.0275,1.0275,1.0275,1.0275,0,0
19960509,1.0313,1.0313,1.0313,1.0313,0,0
19960510,1.0287,1.0287,1.0287,1.0287,0,0
19960513,1.0225,1.0225,1.0225,1.0225,0,0
19960514,1.0223,1.0223,1.0223,1.0223,0,0
19960515,1.0281,1.0281,1.0281,1.0281,0,0
19960516,1.0292,1.0292,1.0292,1.0292,0,0
19960517,1.0312,1.0312,1.0312,1.0312,0,0
19960520,1.0298,1.0298,1.0298,1.0298,0,0
19960521,1.0281,1.0281,1.0281,1.0281,0,0
19960522,1.0259,1.0259,1.0259,1.0259,0,0
19960523,1.0263,1.0263,1.0263,1.0263,0,0
19960524,1.0264,1.0264,1.0264,1.0264,0,0
19960527,1.0272,1.0272,1.0272,1.0272,0,0
19960528,1.0249,1.0249,1.0249,1.0249,0,0
19960529,1.0283,1.0283,1.0283,1.0283,0,0
19960530,1.0357,1.0357,1.0357,1.0357,0,0
19960531,1.0264,1.0264,1.0264,1.0264,0,0
19960603,1.0344,1.0344,1.0344,1.0344,0,0
19960604,1.0291,1.0291,1.0291,1.0291,0,0
19960605,1.0313,1.0313,1.0313,1.0313,0,0
19960607,1.0343,1.0343,1.0343,1.0343,0,0
19960610,1.029,1.029,1.029,1.029,0,0
19960611,1.0328,1.0328,1.0328,1.0328,0,0
19960612,1.0328,1.0328,1.0328,1.0328,0,0
19960613,1.0343,1.0343,1.0343,1.0343,0,0
19960614,1.0386,1.0386,1.0386,1.0386,0,0
19960617,1.034,1.034,1.034,1.034,0,0
19960618,1.0382,1.0382,1.0382,1.0382,0,0
19960619,1.0343,1.0343,1.0343,1.0343,0,0
19960620,1.0325,1.0325,1.0325,1.0325,0,0
19960621,1.0325,1.0325,1.0325,1.0325,0,0
19960624,1.0319,1.0319,1.0319,1.0319,0,0
19960625,1.033,1.033,1.033,1.033,0,0
19960626,1.0346,1.0346,1.0346,1.0346,0,0
19960627,1.0359,1.0359,1.0359,1.0359,0,0
19960628,1.0353,1.0353,1.0353,1.0353,0,0
19960701,1.0349,1.0349,1.0349,1.0349,0,0
19960702,1.0334,1.0334,1.0334,1.0334,0,0
19960703,1.0334,1.0334,1.0334,1.0334,0,0
19960704,1.0377,1.0377,1.0377,1.0377,0,0
19960705,1.0352,1.0352,1.0352,1.0352,0,0
19960708,1.0324,1.0324,1.0324,1.0324,0,0
19960709,1.036,1.036,1.036,1.036,0,0
19960710,1.0342,1.0342,1.0342,1.0342,0,0
19960711,1.0337,1.0337,1.0337,1.0337,0,0
19960712,1.0366,1.0366,1.0366,1.0366,0,0
19960715,1.0323,1.0323,1.0323,1.0323,0,0
19960716,1.0428,1.0428,1.0428,1.0428,0,0
19960717,1.0413,1.0413,1.0413,1.0413,0,0
19960718,1.0371,1.0371,1.0371,1.0371,0,0
19960719,1.0372,1.0372,1.0372,1.0372,0,0
19960722,1.0374,1.0374,1.0374,1.0374,0,0
19960723,1.0405,1.0405,1.0405,1.0405,0,0
19960724,1.0364,1.0364,1.0364,1.0364,0,0
19960725,1.0361,1.0361,1.0361,1.0361,0,0
19960726,1.0403,1.0403,1.0403,1.0403,0,0
19960729,1.0374,1.0374,1.0374,1.0374,0,0
19960730,1.039,1.039,1.039,1.039,0,0
19960731,1.0413,1.0413,1.0413,1.0413,0,0
19960801,1.036,1.036,1.036,1.036,0,0
19960802,1.0345,1.0345,1.0345,1.0345,0,0
19960805,1.0362,1.0362,1.0362,1.0362,0,0
19960806,1.0327,1.0327,1.0327,1.0327,0,0
19960807,1.0355,1.0355,1.0355,1.0355,0,0
19960808,1.0348,1.0348,1.0348,1.0348,0,0
19960809,1.039,1.039,1.039,1.039,0,0
19960812,1.0381,1.0381,1.0381,1.0381,0,0
19960813,1.0371,1.0371,1.0371,1.0371,0,0
19960814,1.0349,1.0349,1.0349,1.0349,0,0
19960816,1.0369,1.0369,1.0369,1.0369,0,0
19960819,1.0364,1.0364,1.0364,1.0364,0,0
19960820,1.0369,1.0369,1.0369,1.0369,0,0
19960821,1.0381,1.0381,1.0381,1.0381,0,0
19960822,1.038,1.038,1.038,1.038,0,0
19960823,1.0384,1.0384,1.0384,1.0384,0,0
19960826,1.0422,1.0422,1.0422,1.0422,0,0
19960827,1.0396,1.0396,1.0396,1.0396,0,0
19960828,1.0364,1.0364,1.0364,1.0364,0,0
19960829,1.0396,1.0396,1.0396,1.0396,0,0
19960830,1.0381,1.0381,1.0381,1.0381,0,0
19960902,1.0392,1.0392,1.0392,1.0392,0,0
19960903,1.0366,1.0366,1.0366,1.0366,0,0
19960904,1.0398,1.0398,1.0398,1.0398,0,0
19960905,1.04,1.04,1.04,1.04,0,0
19960906,1.0382,1.0382,1.0382,1.0382,0,0
19960909,1.0363,1.0363,1.0363,1.0363,0,0
19960910,1.0326,1.0326,1.0326,1.0326,0,0
19960911,1.0319,1.0319,1.0319,1.0319,0,0
19960912,1.0364,1.0364,1.0364,1.0364,0,0
19960913,1.0356,1.0356,1.0356,1.0356,0,0
19960916,1.0362,1.0362,1.0362,1.0362,0,0
19960917,1.0374,1.0374,1.0374,1.0374,0,0
19960918,1.0409,1.0409,1.0409,1.0409,0,0
19960919,1.0377,1.0377,1.0377,1.0377,0,0
19960920,1.0329,1.0329,1.0329,1.0329,0,0
19960923,1.0358,1.0358,1.0358,1.0358,0,0
19960924,1.0374,1.0374,1.0374,1.0374,0,0
19960925,1.0387,1.0387,1.0387,1.0387,0,0
19960926,1.0306,1.0306,1.0306,1.0306,0,0
19960927,1.0347,1.0347,1.0347,1.0347,0,0
19960930,1.0332,1.0332,1.0332,1.0332,0,0
19961001,1.038,1.038,1.038,1.038,0,0
19961002,1.0367,1.0367,1.0367,1.0367,0,0
19961003,1.0351,1.0351,1.0351,1.0351,0,0
19961004,1.0371,1.0371,1.0371,1.0371,0,0
19961007,1.037,1.037,1.037,1.037,0,0
19961008,1.0397,1.0397,1.0397,1.0397,0,0
19961009,1.0359,1.0359,1.0359,1.0359,0,0
19961010,1.037,1.037,1.037,1.037,0,0
19961011,1.0385,1.0385,1.0385,1.0385,0,0
19961014,1.0376,1.0376,1.0376,1.0376,0,0
19961015,1.0345,1.0345,1.0345,1.0345,0,0
19961016,1.0362,1.0362,1.0362,1.0362,0,0
19961017,1.0372,1.0372,1.0372,1.0372,0,0
19961018,1.0358,1.0358,1.0358,1.0358,0,0
19961021,1.0364,1.0364,1.0364,1.0364,0,0
19961022,1.0403,1.0403,1.0403,1.0403,0,0
19961023,1.0423,1.0423,1.0423,1.0423,0,0
19961024,1.0422,1.0422,1.0422,1.0422,0,0
19961025,1.0393,1.0393,1.0393,1.0393,0,0
19961028,1.0427,1.0427,1.0427,1.0427,0,0
19961029,1.0453,1.0453,1.0453,1.0453,0,0
19961030,1.0444,1.0444,1.0444,1.0444,0,0
19961031,1.0464,1.0464,1.0464,1.0464,0,0
19961104,1.0451,1.0451,1.0451,1.0451,0,0
19961105,1.0442,1.0442,1.0442,1.0442,0,0
19961106,1.0393,1.0393,1.0393,1.0393,0,0
19961107,1.0478,1.0478,1.0478,1.0478,0,0
19961108,1.0412,1.0412,1.0412,1.0412,0,0
19961112,1.0451,1.0451,1.0451,1.0451,0,0
19961113,1.0381,1.0381,1.0381,1.0381,0,0
19961114,1.0417,1.0417,1.0417,1.0417,0,0
19961115,1.0413,1.0413,1.0413,1.0413,0,0
19961118,1.0403,1.0403,1.0403,1.0403,0,0
19961119,1.0416,1.0416,1.0416,1.0416,0,0
19961120,1.0425,1.0425,1.0425,1.0425,0,0
19961121,1.0417,1.0417,1.0417,1.0417,0,0
19961122,1.042,1.042,1.042,1.042,0,0
19961125,1.038,1.038,1.038,1.038,0,0
19961126,1.0377,1.0377,1.0377,1.0377,0,0
19961127,1.0412,1.0412,1.0412,1.0412,0,0
19961128,1.0394,1.0394,1.0394,1.0394,0,0
19961129,1.0386,1.0386,1.0386,1.0386,0,0
19961202,1.0369,1.0369,1.0369,1.0369,0,0
19961203,1.0311,1.0311,1.0311,1.0311,0,0
19961204,1.0365,1.0365,1.0365,1.0365,0,0
19961205,1.0351,1.0351,1.0351,1.0351,0,0
19961206,1.0451,1.0451,1.0451,1.0451,0,0
19961209,1.0327,1.0327,1.0327,1.0327,0,0
19961210,1.0382,1.0382,1.0382,1.0382,0,0
19961211,1.0432,1.0432,1.0432,1.0432,0,0
19961212,1.038,1.038,1.038,1.038,0,0
