Date,Open,High,Low,Close,Volume,OpenInt
19710104,100,100,100,100,0,0
19710105,99.95,99.95,99.95,99.95,0,0
19710106,99.89,99.89,99.89,99.89,0,0
19710107,99.88,99.88,99.88,99.88,0,0
19710108,99.9,99.9,99.9,99.9,0,0
19710111,99.82,99.82,99.82,99.82,0,0
19710112,99.77,99.77,99.77,99.77,0,0
19710113,99.63,99.63,99.63,99.63,0,0
19710114,99.59,99.59,99.59,99.59,0,0
19710115,99.59,99.59,99.59,99.59,0,0
19710118,99.61,99.61,99.61,99.61,0,0
19710119,99.53,99.53,99.53,99.53,0,0
19710120,99.47,99.47,99.47,99.47,0,0
19710121,99.5,99.5,99.5,99.5,0,0
19710122,99.58,99.58,99.58,99.58,0,0
19710125,99.59,99.59,99.59,99.59,0,0
19710126,99.56,99.56,99.56,99.56,0,0
19710127,99.54,99.54,99.54,99.54,0,0
19710128,99.55,99.55,99.55,99.55,0,0
19710129,99.57,99.57,99.57,99.57,0,0
19710201,99.56,99.56,99.56,99.56,0,0
19710202,99.61,99.61,99.61,99.61,0,0
19710203,99.6,99.6,99.6,99.6,0,0
19710204,99.63,99.63,99.63,99.63,0,0
19710205,99.63,99.63,99.63,99.63,0,0
19710208,99.61,99.61,99.61,99.61,0,0
19710209,99.65,99.65,99.65,99.65,0,0
19710210,99.64,99.64,99.64,99.64,0,0
19710211,99.64,99.64,99.64,99.64,0,0
19710216,99.58,99.58,99.58,99.58,0,0
19710217,99.57,99.57,99.57,99.57,0,0
19710218,99.61,99.61,99.61,99.61,0,0
19710219,99.57,99.57,99.57,99.57,0,0
19710222,99.55,99.55,99.55,99.55,0,0
19710223,99.57,99.57,99.57,99.57,0,0
19710224,99.58,99.58,99.58,99.58,0,0
19710225,99.64,99.64,99.64,99.64,0,0
19710226,99.72,99.72,99.72,99.72,0,0
19710301,99.68,99.68,99.68,99.68,0,0
19710302,99.63,99.63,99.63,99.63,0,0
19710303,99.62,99.62,99.62,99.62,0,0
19710304,99.68,99.68,99.68,99.68,0,0
19710305,99.63,99.63,99.63,99.63,0,0
19710308,99.6,99.6,99.6,99.6,0,0
19710309,99.64,99.64,99.64,99.64,0,0
19710310,99.6,99.6,99.6,99.6,0,0
19710311,99.6,99.6,99.6,99.6,0,0
19710312,99.61,99.61,99.61,99.61,0,0
19710315,99.62,99.62,99.62,99.62,0,0
19710316,99.65,99.65,99.65,99.65,0,0
19710317,99.6,99.6,99.6,99.6,0,0
19710318,99.59,99.59,99.59,99.59,0,0
19710319,99.58,99.58,99.58,99.58,0,0
19710322,99.61,99.61,99.61,99.61,0,0
19710323,99.58,99.58,99.58,99.58,0,0
19710324,99.57,99.57,99.57,99.57,0,0
19710325,99.59,99.59,99.59,99.59,0,0
19710326,99.6,99.6,99.6,99.6,0,0
19710329,99.63,99.63,99.63,99.63,0,0
19710330,99.6,99.6,99.6,99.6,0,0
19710331,99.64,99.64,99.64,99.64,0,0
19710401,99.62,99.62,99.62,99.62,0,0
19710402,99.63,99.63,99.63,99.63,0,0
19710405,99.63,99.63,99.63,99.63,0,0
19710406,99.61,99.61,99.61,99.61,0,0
19710407,99.63,99.63,99.63,99.63,0,0
19710408,99.59,99.59,99.59,99.59,0,0
19710409,99.6,99.6,99.6,99.6,0,0
19710412,99.62,99.62,99.62,99.62,0,0
19710413,99.64,99.64,99.64,99.64,0,0
19710414,99.65,99.65,99.65,99.65,0,0
19710415,99.64,99.64,99.64,99.64,0,0
19710416,99.67,99.67,99.67,99.67,0,0
19710419,99.72,99.72,99.72,99.72,0,0
19710420,99.71,99.71,99.71,99.71,0,0
19710421,99.65,99.65,99.65,99.65,0,0
19710422,99.64,99.64,99.64,99.64,0,0
19710423,99.69,99.69,99.69,99.69,0,0
19710426,99.68,99.68,99.68,99.68,0,0
19710427,99.65,99.65,99.65,99.65,0,0
19710428,99.58,99.58,99.58,99.58,0,0
19710429,99.61,99.61,99.61,99.61,0,0
19710430,99.61,99.61,99.61,99.61,0,0
19710503,99.61,99.61,99.61,99.61,0,0
19710504,99.61,99.61,99.61,99.61,0,0
19710505,98.63,98.63,98.63,98.63,0,0
19710506,98.54,98.54,98.54,98.54,0,0
19710507,98.28,98.28,98.28,98.28,0,0
19710510,97.98,97.98,97.98,97.98,0,0
19710511,98.16,98.16,98.16,98.16,0,0
19710512,98.03,98.03,98.03,98.03,0,0
19710513,97.85,97.85,97.85,97.85,0,0
19710514,97.87,97.87,97.87,97.87,0,0
19710517,97.86,97.86,97.86,97.86,0,0
19710518,97.81,97.81,97.81,97.81,0,0
19710519,97.73,97.73,97.73,97.73,0,0
19710520,97.53,97.53,97.53,97.53,0,0
19710521,97.45,97.45,97.45,97.45,0,0
19710524,97.51,97.51,97.51,97.51,0,0
19710525,97.77,97.77,97.77,97.77,0,0
19710526,97.84,97.84,97.84,97.84,0,0
19710527,97.89,97.89,97.89,97.89,0,0
19710528,97.96,97.96,97.96,97.96,0,0
19710601,98.11,98.11,98.11,98.11,0,0
19710602,97.95,97.95,97.95,97.95,0,0
19710603,97.68,97.68,97.68,97.68,0,0
19710604,97.73,97.73,97.73,97.73,0,0
19710607,97.65,97.65,97.65,97.65,0,0
19710608,97.65,97.65,97.65,97.65,0,0
19710609,97.62,97.62,97.62,97.62,0,0
19710610,97.55,97.55,97.55,97.55,0,0
19710611,97.58,97.58,97.58,97.58,0,0
19710614,97.58,97.58,97.58,97.58,0,0
19710615,97.58,97.58,97.58,97.58,0,0
19710616,97.54,97.54,97.54,97.54,0,0
19710617,97.55,97.55,97.55,97.55,0,0
19710618,97.58,97.58,97.58,97.58,0,0
19710621,97.58,97.58,97.58,97.58,0,0
19710622,97.58,97.58,97.58,97.58,0,0
19710623,97.52,97.52,97.52,97.52,0,0
19710624,97.54,97.54,97.54,97.54,0,0
19710625,97.56,97.56,97.56,97.56,0,0
19710628,97.6,97.6,97.6,97.6,0,0
19710629,97.6,97.6,97.6,97.6,0,0
19710630,97.54,97.54,97.54,97.54,0,0
19710701,97.54,97.54,97.54,97.54,0,0
19710702,97.59,97.59,97.59,97.59,0,0
19710706,97.62,97.62,97.62,97.62,0,0
19710707,97.6,97.6,97.6,97.6,0,0
19710708,97.61,97.61,97.61,97.61,0,0
19710709,97.63,97.63,97.63,97.63,0,0
19710712,97.63,97.63,97.63,97.63,0,0
19710713,97.61,97.61,97.61,97.61,0,0
19710714,97.5,97.5,97.5,97.5,0,0
19710715,97.44,97.44,97.44,97.44,0,0
19710716,97.37,97.37,97.37,97.37,0,0
19710719,97.36,97.36,97.36,97.36,0,0
19710720,97.37,97.37,97.37,97.37,0,0
19710721,97.31,97.31,97.31,97.31,0,0
19710722,97.28,97.28,97.28,97.28,0,0
19710723,97.27,97.27,97.27,97.27,0,0
19710726,97.26,97.26,97.26,97.26,0,0
19710727,97.24,97.24,97.24,97.24,0,0
19710728,97.25,97.25,97.25,97.25,0,0
19710729,97.24,97.24,97.24,97.24,0,0
19710730,97.23,97.23,97.23,97.23,0,0
19710802,97.25,97.25,97.25,97.25,0,0
19710803,97.28,97.28,97.28,97.28,0,0
19710804,97.03,97.03,97.03,97.03,0,0
19710805,96.99,96.99,96.99,96.99,0,0
19710806,97.05,97.05,97.05,97.05,0,0
19710809,96.71,96.71,96.71,96.71,0,0
19710810,96.72,96.72,96.72,96.72,0,0
19710811,96.69,96.69,96.69,96.69,0,0
19710812,96.53,96.53,96.53,96.53,0,0
19710813,96.62,96.62,96.62,96.62,0,0
19710816,96.61,96.61,96.61,96.61,0,0
19710817,96.38,96.38,96.38,96.38,0,0
19710818,96.27,96.27,96.27,96.27,0,0
19710819,96.4,96.4,96.4,96.4,0,0
19710820,96.44,96.44,96.44,96.44,0,0
19710823,96.01,96.01,96.01,96.01,0,0
19710824,95.6,95.6,95.6,95.6,0,0
19710825,95.31,95.31,95.31,95.31,0,0
19710826,95.13,95.13,95.13,95.13,0,0
19710827,95.2,95.2,95.2,95.2,0,0
19710830,95.22,95.22,95.22,95.22,0,0
19710831,100.87,100.87,100.87,100.87,0,0
19710901,100.57,100.57,100.57,100.57,0,0
19710902,101.08,101.08,101.08,101.08,0,0
19710903,100.58,100.58,100.58,100.58,0,0
19710907,100.82,100.82,100.82,100.82,0,0
19710908,100.92,100.92,100.92,100.92,0,0
19710909,101,101,101,101,0,0
19710910,101.02,101.02,101.02,101.02,0,0
19710913,100.99,100.99,100.99,100.99,0,0
19710914,100.98,100.98,100.98,100.98,0,0
19710915,100.85,100.85,100.85,100.85,0,0
19710916,101.02,101.02,101.02,101.02,0,0
19710917,100.97,100.97,100.97,100.97,0,0
19710920,100.85,100.85,100.85,100.85,0,0
19710921,100.93,100.93,100.93,100.93,0,0
19710922,100.79,100.79,100.79,100.79,0,0
19710923,100.51,100.51,100.51,100.51,0,0
19710924,100.68,100.68,100.68,100.68,0,0
19710927,100.9,100.9,100.9,100.9,0,0
19710928,100.9,100.9,100.9,100.9,0,0
19710929,101.02,101.02,101.02,101.02,0,0
19710930,101.05,101.05,101.05,101.05,0,0
19711001,101.66,101.66,101.66,101.66,0,0
19711004,101.77,101.77,101.77,101.77,0,0
19711005,101.76,101.76,101.76,101.76,0,0
19711006,101.88,101.88,101.88,101.88,0,0
19711007,101.87,101.87,101.87,101.87,0,0
19711008,102.08,102.08,102.08,102.08,0,0
19711012,102.64,102.64,102.64,102.64,0,0
19711013,102.46,102.46,102.46,102.46,0,0
19711014,102.8,102.8,102.8,102.8,0,0
