Date,Open,High,Low,Close,Volume,OpenInt
19900108,6.9724,6.9724,6.9724,6.9724,0,0
19900115,6.9958,6.9958,6.9958,6.9958,0,0
19900122,6.9511,6.9511,6.9511,6.9511,0,0
19900129,7.052,7.052,7.052,7.052,0,0
19900205,6.9124,6.9124,6.9124,6.9124,0,0
19900212,6.9774,6.9774,6.9774,6.9774,0,0
19900219,6.9817,6.9817,6.9817,6.9817,0,0
19900226,7.0699,7.0699,7.0699,7.0699,0,0
19900305,7.1169,7.1169,7.1169,7.1169,0,0
19900312,7.246,7.246,7.246,7.246,0,0
19900319,7.1336,7.1336,7.1336,7.1336,0,0
19900326,7.3316,7.3316,7.3316,7.3316,0,0
19900402,7.3513,7.3513,7.3513,7.3513,0,0
19900409,7.1448,7.1448,7.1448,7.1448,0,0
19900417,7.1604,7.1604,7.1604,7.1604,0,0
19900423,7.2155,7.2155,7.2155,7.2155,0,0
19900430,7.3483,7.3483,7.3483,7.3483,0,0
19900507,7.2611,7.2611,7.2611,7.2611,0,0
19900514,7.2471,7.2471,7.2471,7.2471,0,0
19900521,7.1437,7.1437,7.1437,7.1437,0,0
19900528,7.1605,7.1605,7.1605,7.1605,0,0
19900604,7.2652,7.2652,7.2652,7.2652,0,0
19900611,7.3233,7.3233,7.3233,7.3233,0,0
19900618,7.6216,7.6216,7.6216,7.6216,0,0
19900625,7.5278,7.5278,7.5278,7.5278,0,0
19900702,7.3735,7.3735,7.3735,7.3735,0,0
19900709,7.5911,7.5911,7.5911,7.5911,0,0
19900716,7.5435,7.5435,7.5435,7.5435,0,0
19900723,7.5014,7.5014,7.5014,7.5014,0,0
19900730,7.6466,7.6466,7.6466,7.6466,0,0
19900806,7.5312,7.5312,7.5312,7.5312,0,0
19900813,7.5377,7.5377,7.5377,7.5377,0,0
19900820,7.0588,7.0588,7.0588,7.0588,0,0
19900827,7.4809,7.4809,7.4809,7.4809,0,0
19900903,7.5004,7.5004,7.5004,7.5004,0,0
19900910,7.6703,7.6703,7.6703,7.6703,0,0
19900917,7.6493,7.6493,7.6493,7.6493,0,0
19900924,7.4116,7.4116,7.4116,7.4116,0,0
19901001,7.8737,7.8737,7.8737,7.8737,0,0
19901008,7.8351,7.8351,7.8351,7.8351,0,0
19901010,8.3113,8.3113,8.3113,8.3113,0,0
19901015,8.868,8.868,8.868,8.868,0,0
19901022,8.7672,8.7672,8.7672,8.7672,0,0
19901029,8.9039,8.9039,8.9039,8.9039,0,0
19901105,8.7558,8.7558,8.7558,8.7558,0,0
19901112,8.7991,8.7991,8.7991,8.7991,0,0
19901119,8.971,8.971,8.971,8.971,0,0
19901126,8.9821,8.9821,8.9821,8.9821,0,0
19901203,8.7687,8.7687,8.7687,8.7687,0,0
19901210,8.9831,8.9831,8.9831,8.9831,0,0
19901217,9.22,9.22,9.22,9.22,0,0
19901224,9.1843,9.1843,9.1843,9.1843,0,0
19910102,8.8621,8.8621,8.8621,8.8621,0,0
19910103,8.6562,8.6562,8.6562,8.6562,0,0
19910104,8.7746,8.7746,8.7746,8.7746,0,0
19910107,8.4759,8.4759,8.4759,8.4759,0,0
19910108,8.7809,8.7809,8.7809,8.7809,0,0
19910109,8.7994,8.7994,8.7994,8.7994,0,0
19910110,8.8658,8.8658,8.8658,8.8658,0,0
19910111,8.803,8.803,8.803,8.803,0,0
19910114,8.6081,8.6081,8.6081,8.6081,0,0
19910115,8.6977,8.6977,8.6977,8.6977,0,0
19910116,8.6423,8.6423,8.6423,8.6423,0,0
19910117,9.0834,9.0834,9.0834,9.0834,0,0
19910118,9.1542,9.1542,9.1542,9.1542,0,0
19910121,9.1487,9.1487,9.1487,9.1487,0,0
19910122,9.1412,9.1412,9.1412,9.1412,0,0
19910123,9.3519,9.3519,9.3519,9.3519,0,0
19910124,9.758,9.758,9.758,9.758,0,0
19910125,9.689,9.689,9.689,9.689,0,0
19910128,9.654,9.654,9.654,9.654,0,0
19910129,9.584,9.584,9.584,9.584,0,0
19910130,9.677,9.677,9.677,9.677,0,0
19910131,9.627,9.627,9.627,9.627,0,0
19910201,9.587,9.587,9.587,9.587,0,0
19910204,9.615,9.615,9.615,9.615,0,0
19910205,9.624,9.624,9.624,9.624,0,0
19910206,9.809,9.809,9.809,9.809,0,0
19910207,9.76,9.76,9.76,9.76,0,0
19910208,9.7,9.7,9.7,9.7,0,0
19910211,10.051,10.051,10.051,10.051,0,0
19910212,10.026,10.026,10.026,10.026,0,0
19910213,9.914,9.914,9.914,9.914,0,0
19910214,9.71,9.71,9.71,9.71,0,0
19910215,9.819,9.819,9.819,9.819,0,0
19910218,9.799,9.799,9.799,9.799,0,0
19910219,10.063,10.063,10.063,10.063,0,0
19910220,10.073,10.073,10.073,10.073,0,0
19910221,10.182,10.182,10.182,10.182,0,0
19910222,10.559,10.559,10.559,10.559,0,0
19910225,10.321,10.321,10.321,10.321,0,0
19910226,10.222,10.222,10.222,10.222,0,0
19910227,10.171,10.171,10.171,10.171,0,0
19910228,9.764,9.764,9.764,9.764,0,0
19910301,9.608,9.608,9.608,9.608,0,0
19910304,9.4,9.4,9.4,9.4,0,0
19910305,9.4501,9.4501,9.4501,9.4501,0,0
19910306,9.3609,9.3609,9.3609,9.3609,0,0
19910307,9.1364,9.1364,9.1364,9.1364,0,0
19910308,8.6998,8.6998,8.6998,8.6998,0,0
19910311,8.888,8.888,8.888,8.888,0,0
19910312,9.0602,9.0602,9.0602,9.0602,0,0
19910313,8.8398,8.8398,8.8398,8.8398,0,0
19910314,8.9968,8.9968,8.9968,8.9968,0,0
19910315,8.8735,8.8735,8.8735,8.8735,0,0
19910318,9.1732,9.1732,9.1732,9.1732,0,0
19910319,9.0066,9.0066,9.0066,9.0066,0,0
19910320,9.2004,9.2004,9.2004,9.2004,0,0
19910321,9.0689,9.0689,9.0689,9.0689,0,0
19910322,9.1402,9.1402,9.1402,9.1402,0,0
19910325,9.2067,9.2067,9.2067,9.2067,0,0
19910326,9.2731,9.2731,9.2731,9.2731,0,0
19910327,9.4635,9.4635,9.4635,9.4635,0,0
19910328,9.3143,9.3143,9.3143,9.3143,0,0
19910329,9.342,9.342,9.342,9.342,0,0
19910402,9.0518,9.0518,9.0518,9.0518,0,0
19910403,8.9174,8.9174,8.9174,8.9174,0,0
19910404,8.9533,8.9533,8.9533,8.9533,0,0
19910405,9.2227,9.2227,9.2227,9.2227,0,0
19910408,9.1415,9.1415,9.1415,9.1415,0,0
19910409,9.0265,9.0265,9.0265,9.0265,0,0
19910410,9.1732,9.1732,9.1732,9.1732,0,0
19910411,9.165,9.165,9.165,9.165,0,0
19910412,9.1576,9.1576,9.1576,9.1576,0,0
19910415,9.1571,9.1571,9.1571,9.1571,0,0
19910416,9.1121,9.1121,9.1121,9.1121,0,0
19910417,8.9618,8.9618,8.9618,8.9618,0,0
19910418,9.2851,9.2851,9.2851,9.2851,0,0
19910419,9.3111,9.3111,9.3111,9.3111,0,0
19910422,9.1993,9.1993,9.1993,9.1993,0,0
19910423,9.0798,9.0798,9.0798,9.0798,0,0
19910424,9.1489,9.1489,9.1489,9.1489,0,0
19910425,9.1985,9.1985,9.1985,9.1985,0,0
19910426,9.1555,9.1555,9.1555,9.1555,0,0
19910429,9.1361,9.1361,9.1361,9.1361,0,0
19910430,9.0419,9.0419,9.0419,9.0419,0,0
19910501,9.1336,9.1336,9.1336,9.1336,0,0
19910506,8.9781,8.9781,8.9781,8.9781,0,0
19910507,8.9086,8.9086,8.9086,8.9086,0,0
19910508,8.8909,8.8909,8.8909,8.8909,0,0
19910509,8.8829,8.8829,8.8829,8.8829,0,0
19910510,8.929,8.929,8.929,8.929,0,0
19910513,9.0173,9.0173,9.0173,9.0173,0,0
19910514,8.8867,8.8867,8.8867,8.8867,0,0
19910515,8.7904,8.7904,8.7904,8.7904,0,0
19910516,9.0005,9.0005,9.0005,9.0005,0,0
19910517,9.0052,9.0052,9.0052,9.0052,0,0
19910520,8.9268,8.9268,8.9268,8.9268,0,0
19910521,8.9258,8.9258,8.9258,8.9258,0,0
19910522,8.9348,8.9348,8.9348,8.9348,0,0
19910523,8.9276,8.9276,8.9276,8.9276,0,0
19910524,8.9602,8.9602,8.9602,8.9602,0,0
19910527,8.9519,8.9519,8.9519,8.9519,0,0
19910528,8.7014,8.7014,8.7014,8.7014,0,0
19910529,8.7026,8.7026,8.7026,8.7026,0,0
19910531,8.7973,8.7973,8.7973,8.7973,0,0
19910603,8.6783,8.6783,8.6783,8.6783,0,0
19910604,8.686,8.686,8.686,8.686,0,0
19910605,8.6481,8.6481,8.6481,8.6481,0,0
19910606,8.1521,8.1521,8.1521,8.1521,0,0
19910607,8.0778,8.0778,8.0778,8.0778,0,0
19910610,7.897,7.897,7.897,7.897,0,0
19910611,7.983,7.983,7.983,7.983,0,0
19910612,7.9936,7.9936,7.9936,7.9936,0,0
19910613,7.9334,7.9334,7.9334,7.9334,0,0
19910614,8.0957,8.0957,8.0957,8.0957,0,0
19910617,8.056,8.056,8.056,8.056,0,0
19910618,8.0365,8.0365,8.0365,8.0365,0,0
19910619,8.0711,8.0711,8.0711,8.0711,0,0
19910620,8.0783,8.0783,8.0783,8.0783,0,0
19910621,8.2003,8.2003,8.2003,8.2003,0,0
19910624,8.2454,8.2454,8.2454,8.2454,0,0
19910625,8.206,8.206,8.206,8.206,0,0
19910626,8.1508,8.1508,8.1508,8.1508,0,0
19910627,8.1031,8.1031,8.1031,8.1031,0,0
19910628,8.0408,8.0408,8.0408,8.0408,0,0
19910701,7.9856,7.9856,7.9856,7.9856,0,0
