Date,Open,High,Low,Close,Volume,OpenInt
19840109,6.61,6.61,6.61,6.61,0,0
19840116,6.695,6.695,6.695,6.695,0,0
19840123,6.695,6.695,6.695,6.695,0,0
19840130,6.61,6.61,6.61,6.61,0,0
19840206,6.78,6.78,6.78,6.78,0,0
19840213,6.78,6.78,6.78,6.78,0,0
19840220,6.695,6.695,6.695,6.695,0,0
19840301,6.6107,6.6107,6.6107,6.6107,0,0
19840305,6.6107,6.6107,6.6107,6.6107,0,0
19840312,6.465,6.465,6.465,6.465,0,0
19840319,6.32,6.32,6.32,6.32,0,0
19840326,6.3921,6.3921,6.3921,6.3921,0,0
19840402,6.3921,6.3921,6.3921,6.3921,0,0
19840409,6.32,6.32,6.32,6.32,0,0
19840416,6.3921,6.3921,6.3921,6.3921,0,0
19840424,6.3921,6.3921,6.3921,6.3921,0,0
19840502,6.3921,6.3921,6.3921,6.3921,0,0
19840507,6.3921,6.3921,6.3921,6.3921,0,0
19840514,6.2471,6.2471,6.2471,6.2471,0,0
19840521,6.32,6.32,6.32,6.32,0,0
19840528,6.32,6.32,6.32,6.32,0,0
19840604,6.3921,6.3921,6.3921,6.3921,0,0
19840611,6.1743,6.1743,6.1743,6.1743,0,0
19840618,6.1743,6.1743,6.1743,6.1743,0,0
19840625,5.9564,5.9564,5.9564,5.9564,0,0
19840702,5.9564,5.9564,5.9564,5.9564,0,0
19840709,5.5207,5.5207,5.5207,5.5207,0,0
19840716,5.5207,5.5207,5.5207,5.5207,0,0
19840723,5.3029,5.3029,5.3029,5.3029,0,0
19840730,5.0121,5.0121,5.0121,5.0121,0,0
19840806,5.23,5.23,5.23,5.23,0,0
19840813,5.4762,5.4762,5.4762,5.4762,0,0
19840820,5.3029,5.3029,5.3029,5.3029,0,0
19840827,5.3029,5.3029,5.3029,5.3029,0,0
19840901,5.356,5.356,5.356,5.356,0,0
19840910,5.0847,5.0847,5.0847,5.0847,0,0
19840917,5.0173,5.0173,5.0173,5.0173,0,0
19840924,5.1527,5.1527,5.1527,5.1527,0,0
19841001,5.4479,5.4479,5.4479,5.4479,0,0
19841008,5.0173,5.0173,5.0173,5.0173,0,0
19841015,5.1579,5.1579,5.1579,5.1579,0,0
19841022,5.1579,5.1579,5.1579,5.1579,0,0
19841029,4.7214,4.7214,4.7214,4.7214,0,0
19841105,5.085,5.085,5.085,5.085,0,0
19841112,4.678,4.678,4.678,4.678,0,0
19841119,4.678,4.678,4.678,4.678,0,0
19841126,4.678,4.678,4.678,4.678,0,0
19841201,5.0121,5.0121,5.0121,5.0121,0,0
19841210,5.0121,5.0121,5.0121,5.0121,0,0
