Date,Open,High,Low,Close,Volume,OpenInt
19910102,27.951,27.951,27.951,27.951,0,0
19910103,27.971,27.971,27.971,27.971,0,0
19910104,27.9,27.9,27.9,27.9,0,0
19910107,28.031,28.031,28.031,28.031,0,0
19910108,28.065,28.065,28.065,28.065,0,0
19910109,27.851,27.851,27.851,27.851,0,0
19910110,27.774,27.774,27.774,27.774,0,0
19910111,27.862,27.862,27.862,27.862,0,0
19910114,27.781,27.781,27.781,27.781,0,0
19910115,27.834,27.834,27.834,27.834,0,0
19910116,27.92,27.92,27.92,27.92,0,0
19910117,27.967,27.967,27.967,27.967,0,0
19910118,28.048,28.048,28.048,28.048,0,0
19910121,27.953,27.953,27.953,27.953,0,0
19910122,27.736,27.736,27.736,27.736,0,0
19910123,27.858,27.858,27.858,27.858,0,0
19910124,27.786,27.786,27.786,27.786,0,0
19910125,27.684,27.684,27.684,27.684,0,0
19910128,27.659,27.659,27.659,27.659,0,0
19910129,27.75,27.75,27.75,27.75,0,0
19910130,27.792,27.792,27.792,27.792,0,0
19910131,27.864,27.864,27.864,27.864,0,0
19910201,27.926,27.926,27.926,27.926,0,0
19910204,27.778,27.778,27.778,27.778,0,0
19910205,27.697,27.697,27.697,27.697,0,0
19910206,27.791,27.791,27.791,27.791,0,0
19910207,27.734,27.734,27.734,27.734,0,0
19910208,27.66,27.66,27.66,27.66,0,0
19910211,27.763,27.763,27.763,27.763,0,0
19910212,27.698,27.698,27.698,27.698,0,0
19910213,27.708,27.708,27.708,27.708,0,0
19910214,27.666,27.666,27.666,27.666,0,0
19910215,27.773,27.773,27.773,27.773,0,0
19910218,27.826,27.826,27.826,27.826,0,0
19910219,27.851,27.851,27.851,27.851,0,0
19910220,27.778,27.778,27.778,27.778,0,0
19910221,27.831,27.831,27.831,27.831,0,0
19910222,27.823,27.823,27.823,27.823,0,0
19910225,27.758,27.758,27.758,27.758,0,0
19910226,27.968,27.968,27.968,27.968,0,0
19910227,27.915,27.915,27.915,27.915,0,0
19910228,27.895,27.895,27.895,27.895,0,0
19910301,27.871,27.871,27.871,27.871,0,0
19910304,27.834,27.834,27.834,27.834,0,0
19910305,27.769,27.769,27.769,27.769,0,0
19910306,27.895,27.895,27.895,27.895,0,0
19910307,27.899,27.899,27.899,27.899,0,0
19910308,27.884,27.884,27.884,27.884,0,0
19910311,27.831,27.831,27.831,27.831,0,0
19910312,27.825,27.825,27.825,27.825,0,0
19910313,27.793,27.793,27.793,27.793,0,0
19910314,27.877,27.877,27.877,27.877,0,0
19910315,27.633,27.633,27.633,27.633,0,0
19910318,27.477,27.477,27.477,27.477,0,0
19910319,27.286,27.286,27.286,27.286,0,0
19910320,27.685,27.685,27.685,27.685,0,0
19910321,27.571,27.571,27.571,27.571,0,0
19910322,27.466,27.466,27.466,27.466,0,0
19910325,27.654,27.654,27.654,27.654,0,0
19910326,27.555,27.555,27.555,27.555,0,0
19910327,27.502,27.502,27.502,27.502,0,0
19910328,27.464,27.464,27.464,27.464,0,0
19910329,27.932,27.932,27.932,27.932,0,0
19910402,27.756,27.756,27.756,27.756,0,0
19910403,27.708,27.708,27.708,27.708,0,0
19910404,29.531,29.531,29.531,29.531,0,0
19910405,27.73,27.73,27.73,27.73,0,0
19910408,27.628,27.628,27.628,27.628,0,0
19910409,27.451,27.451,27.451,27.451,0,0
19910410,27.427,27.427,27.427,27.427,0,0
19910411,27.529,27.529,27.529,27.529,0,0
19910412,27.324,27.324,27.324,27.324,0,0
19910415,27.406,27.406,27.406,27.406,0,0
19910416,27.36,27.36,27.36,27.36,0,0
19910417,27.446,27.446,27.446,27.446,0,0
19910418,27.304,27.304,27.304,27.304,0,0
19910419,27.217,27.217,27.217,27.217,0,0
19910422,27.346,27.346,27.346,27.346,0,0
19910423,27.391,27.391,27.391,27.391,0,0
19910424,27.141,27.141,27.141,27.141,0,0
19910425,27.393,27.393,27.393,27.393,0,0
19910426,27.326,27.326,27.326,27.326,0,0
19910429,27.299,27.299,27.299,27.299,0,0
19910430,27.284,27.284,27.284,27.284,0,0
19910501,27.29,27.29,27.29,27.29,0,0
19910506,27.17,27.17,27.17,27.17,0,0
19910507,27.244,27.244,27.244,27.244,0,0
19910508,27.217,27.217,27.217,27.217,0,0
19910509,27.198,27.198,27.198,27.198,0,0
19910510,27.184,27.184,27.184,27.184,0,0
19910513,27.212,27.212,27.212,27.212,0,0
19910514,27.287,27.287,27.287,27.287,0,0
19910515,27.058,27.058,27.058,27.058,0,0
19910516,27.027,27.027,27.027,27.027,0,0
19910517,26.76,26.76,26.76,26.76,0,0
19910520,27.17,27.17,27.17,27.17,0,0
19910521,27.114,27.114,27.114,27.114,0,0
19910522,26.836,26.836,26.836,26.836,0,0
19910523,27.111,27.111,27.111,27.111,0,0
19910524,26.975,26.975,26.975,26.975,0,0
19910527,26.941,26.941,26.941,26.941,0,0
19910528,27.051,27.051,27.051,27.051,0,0
19910529,27.044,27.044,27.044,27.044,0,0
19910531,26.738,26.738,26.738,26.738,0,0
19910603,27.017,27.017,27.017,27.017,0,0
19910604,27.06,27.06,27.06,27.06,0,0
19910605,26.97,26.97,26.97,26.97,0,0
19910606,26.934,26.934,26.934,26.934,0,0
19910607,26.866,26.866,26.866,26.866,0,0
19910610,26.985,26.985,26.985,26.985,0,0
19910611,27.038,27.038,27.038,27.038,0,0
19910612,27.132,27.132,27.132,27.132,0,0
19910613,26.927,26.927,26.927,26.927,0,0
19910614,27.01,27.01,27.01,27.01,0,0
19910617,26.897,26.897,26.897,26.897,0,0
19910618,26.753,26.753,26.753,26.753,0,0
19910619,26.998,26.998,26.998,26.998,0,0
19910620,26.773,26.773,26.773,26.773,0,0
19910621,26.827,26.827,26.827,26.827,0,0
19910624,26.943,26.943,26.943,26.943,0,0
19910625,26.764,26.764,26.764,26.764,0,0
19910626,26.875,26.875,26.875,26.875,0,0
