Date,Open,High,Low,Close,Volume,OpenInt
19931025,1.6058,1.6058,1.6058,1.6058,0,0
19931026,1.6091,1.6091,1.6091,1.6091,0,0
19931027,1.6072,1.6072,1.6072,1.6072,0,0
19931028,1.6104,1.6104,1.6104,1.6104,0,0
19931029,1.6119,1.6119,1.6119,1.6119,0,0
19931102,1.6157,1.6157,1.6157,1.6157,0,0
19931103,1.6214,1.6214,1.6214,1.6214,0,0
19931104,1.6174,1.6174,1.6174,1.6174,0,0
19931105,1.6258,1.6258,1.6258,1.6258,0,0
19931108,1.5827,1.5827,1.5827,1.5827,0,0
19931109,1.5911,1.5911,1.5911,1.5911,0,0
19931110,1.5788,1.5788,1.5788,1.5788,0,0
19931112,1.5746,1.5746,1.5746,1.5746,0,0
19931115,1.5725,1.5725,1.5725,1.5725,0,0
19931116,1.5729,1.5729,1.5729,1.5729,0,0
19931117,1.6097,1.6097,1.6097,1.6097,0,0
19931118,1.61,1.61,1.61,1.61,0,0
19931119,1.61,1.61,1.61,1.61,0,0
19931122,1.6088,1.6088,1.6088,1.6088,0,0
19931123,1.611,1.611,1.611,1.611,0,0
19931124,1.6148,1.6148,1.6148,1.6148,0,0
19931125,1.6087,1.6087,1.6087,1.6087,0,0
19931126,1.607,1.607,1.607,1.607,0,0
19931129,1.6085,1.6085,1.6085,1.6085,0,0
19931130,1.6126,1.6126,1.6126,1.6126,0,0
19931201,1.6144,1.6144,1.6144,1.6144,0,0
19931202,1.6181,1.6181,1.6181,1.6181,0,0
19931203,1.6202,1.6202,1.6202,1.6202,0,0
19931206,1.6223,1.6223,1.6223,1.6223,0,0
19931207,1.6203,1.6203,1.6203,1.6203,0,0
19931208,1.6357,1.6357,1.6357,1.6357,0,0
19931209,1.6333,1.6333,1.6333,1.6333,0,0
19931210,1.6347,1.6347,1.6347,1.6347,0,0
19931213,1.6311,1.6311,1.6311,1.6311,0,0
19931214,1.6402,1.6402,1.6402,1.6402,0,0
19931215,1.6434,1.6434,1.6434,1.6434,0,0
19931216,1.6546,1.6546,1.6546,1.6546,0,0
19931217,1.6563,1.6563,1.6563,1.6563,0,0
19931220,1.6576,1.6576,1.6576,1.6576,0,0
19931221,1.6601,1.6601,1.6601,1.6601,0,0
19931222,1.6585,1.6585,1.6585,1.6585,0,0
19931223,1.6541,1.6541,1.6541,1.6541,0,0
19931224,1.652,1.652,1.652,1.652,0,0
19931227,1.6493,1.6493,1.6493,1.6493,0,0
19931228,1.6452,1.6452,1.6452,1.6452,0,0
19931229,1.6529,1.6529,1.6529,1.6529,0,0
19931230,1.6583,1.6583,1.6583,1.6583,0,0
19931231,1.6594,1.6594,1.6594,1.6594,0,0
19940103,1.6516,1.6516,1.6516,1.6516,0,0
19940104,1.6704,1.6704,1.6704,1.6704,0,0
19940105,1.6651,1.6651,1.6651,1.6651,0,0
19940106,1.6485,1.6485,1.6485,1.6485,0,0
19940107,1.6532,1.6532,1.6532,1.6532,0,0
19940110,1.6559,1.6559,1.6559,1.6559,0,0
19940111,1.6593,1.6593,1.6593,1.6593,0,0
19940112,1.6569,1.6569,1.6569,1.6569,0,0
19940113,1.6459,1.6459,1.6459,1.6459,0,0
19940114,1.649,1.649,1.649,1.649,0,0
19940117,1.6536,1.6536,1.6536,1.6536,0,0
19940118,1.6661,1.6661,1.6661,1.6661,0,0
