Date,Open,High,Low,Close,Volume,OpenInt
20100719,2665.53,2665.53,2665.53,2665.53,0,0
20100720,2871.42,2871.42,2871.42,2871.42,0,0
20100721,2719.02,2719.02,2719.02,2719.02,0,0
20100722,4293.75,4293.75,4293.75,4293.75,0,0
20100723,3423.9,3423.9,3423.9,3423.9,0,0
20100726,3922.25,3922.25,3922.25,3922.25,0,0
20100727,3628.01,3628.01,3628.01,3628.01,0,0
20100728,3698.59,3698.59,3698.59,3698.59,0,0
20100729,3124.71,3124.71,3124.71,3124.71,0,0
20100730,3509.78,3509.78,3509.78,3509.78,0,0
20100802,3719.65,3719.65,3719.65,3719.65,0,0
20100803,3682.88,3682.88,3682.88,3682.88,0,0
20100804,3901.9,3901.9,3901.9,3901.9,0,0
20100805,3643.55,3643.55,3643.55,3643.55,0,0
20100806,3592.78,3592.78,3592.78,3592.78,0,0
20100809,3141.31,3141.31,3141.31,3141.31,0,0
20100810,3153.79,3153.79,3153.79,3153.79,0,0
20100811,3248.91,3248.91,3248.91,3248.91,0,0
20100812,3159.44,3159.44,3159.44,3159.44,0,0
20100813,3408.7,3408.7,3408.7,3408.7,0,0
20100816,3397.94,3397.94,3397.94,3397.94,0,0
20100817,3180.38,3180.38,3180.38,3180.38,0,0
20100818,3276.32,3276.32,3276.32,3276.32,0,0
20100819,3329.29,3329.29,3329.29,3329.29,0,0
20100820,3370.46,3370.46,3370.46,3370.46,0,0
20100823,3389.01,3389.01,3389.01,3389.01,0,0
20100824,3391.73,3391.73,3391.73,3391.73,0,0
20100825,3391.98,3391.98,3391.98,3391.98,0,0
20100826,3470.28,3470.28,3470.28,3470.28,0,0
20100827,3425.77,3425.77,3425.77,3425.77,0,0
20100830,3383.37,3383.37,3383.37,3383.37,0,0
20100831,3687.42,3687.42,3687.42,3687.42,0,0
20100901,3559.7,3559.7,3559.7,3559.7,0,0
20100902,3513.51,3513.51,3513.51,3513.51,0,0
20100903,3720.25,3720.25,3720.25,3720.25,0,0
20100906,3661.07,3661.07,3661.07,3661.07,0,0
20100907,3675.07,3675.07,3675.07,3675.07,0,0
20100908,3672.36,3672.36,3672.36,3672.36,0,0
20100909,3702.92,3702.92,3702.92,3702.92,0,0
20100910,3662.68,3662.68,3662.68,3662.68,0,0
20100913,3667.46,3667.46,3667.46,3667.46,0,0
20100914,3708.26,3708.26,3708.26,3708.26,0,0
20100915,3749.45,3749.45,3749.45,3749.45,0,0
20100916,3641.71,3641.71,3641.71,3641.71,0,0
20100917,3807.45,3807.45,3807.45,3807.45,0,0
20100920,3662.91,3662.91,3662.91,3662.91,0,0
20100921,3622.19,3622.19,3622.19,3622.19,0,0
20100922,3676.47,3676.47,3676.47,3676.47,0,0
20100923,3660.65,3660.65,3660.65,3660.65,0,0
20100924,3700.25,3700.25,3700.25,3700.25,0,0
20100927,3680.75,3680.75,3680.75,3680.75,0,0
20100928,3720.49,3720.49,3720.49,3720.49,0,0
20100929,3685.84,3685.84,3685.84,3685.84,0,0
20100930,3698.36,3698.36,3698.36,3698.36,0,0
20101001,3697.44,3697.44,3697.44,3697.44,0,0
20101004,3724.15,3724.15,3724.15,3724.15,0,0
20101005,3754.21,3754.21,3754.21,3754.21,0,0
20101006,3655.81,3655.81,3655.81,3655.81,0,0
20101007,3414.89,3414.89,3414.89,3414.89,0,0
20101008,2670.23,2670.23,2670.23,2670.23,0,0
20101011,2419.27,2419.27,2419.27,2419.27,0,0
20101012,2434.61,2434.61,2434.61,2434.61,0,0
20101013,2220.25,2220.25,2220.25,2220.25,0,0
20101014,2262.38,2262.38,2262.38,2262.38,0,0
20101015,2193.18,2193.18,2193.18,2193.18,0,0
20101018,2278.59,2278.59,2278.59,2278.59,0,0
20101019,2340.38,2340.38,2340.38,2340.38,0,0
20101020,2359.03,2359.03,2359.03,2359.03,0,0
20101021,2141.14,2141.14,2141.14,2141.14,0,0
20101022,2262.6,2262.6,2262.6,2262.6,0,0
20101025,1760.1,1760.1,1760.1,1760.1,0,0
20101026,1537.56,1537.56,1537.56,1537.56,0,0
20101027,1223.48,1223.48,1223.48,1223.48,0,0
20101028,1347.63,1347.63,1347.63,1347.63,0,0
20101029,1242.65,1242.65,1242.65,1242.65,0,0
20101102,1217.45,1217.45,1217.45,1217.45,0,0
20101103,1222.79,1222.79,1222.79,1222.79,0,0
20101104,1021.26,1021.26,1021.26,1021.26,0,0
20101105,894.55,894.55,894.55,894.55,0,0
20101108,953.02,953.02,953.02,953.02,0,0
20101109,1105.05,1105.05,1105.05,1105.05,0,0
20101110,958.77,958.77,958.77,958.77,0,0
20101112,852.92,852.92,852.92,852.92,0,0
20101115,854.19,854.19,854.19,854.19,0,0
20101116,1011.36,1011.36,1011.36,1011.36,0,0
20101117,992.5,992.5,992.5,992.5,0,0
20101118,855.1,855.1,855.1,855.1,0,0
20101119,815.94,815.94,815.94,815.94,0,0
20101122,777.07,777.07,777.07,777.07,0,0
20101123,783.31,783.31,783.31,783.31,0,0
20101124,806.39,806.39,806.39,806.39,0,0
20101125,815.51,815.51,815.51,815.51,0,0
20101126,793.64,793.64,793.64,793.64,0,0
20101129,956.55,956.55,956.55,956.55,0,0
20101130,1104.17,1104.17,1104.17,1104.17,0,0
20101201,1017.33,1017.33,1017.33,1017.33,0,0
20101202,896.96,896.96,896.96,896.96,0,0
20101203,920.36,920.36,920.36,920.36,0,0
20101206,1114.6,1114.6,1114.6,1114.6,0,0
20101207,975.67,975.67,975.67,975.67,0,0
20101208,959.37,959.37,959.37,959.37,0,0
20101209,1143.81,1143.81,1143.81,1143.81,0,0
20101210,1123,1123,1123,1123,0,0
20101213,1010.17,1010.17,1010.17,1010.17,0,0
20101214,924.79,924.79,924.79,924.79,0,0
20101215,950.92,950.92,950.92,950.92,0,0
20101216,907.28,907.28,907.28,907.28,0,0
20101217,927.24,927.24,927.24,927.24,0,0
20101220,841.48,841.48,841.48,841.48,0,0
20101221,935.83,935.83,935.83,935.83,0,0
20101222,901.39,901.39,901.39,901.39,0,0
20101223,909.84,909.84,909.84,909.84,0,0
20101224,915.27,915.27,915.27,915.27,0,0
20101227,853.58,853.58,853.58,853.58,0,0
20101228,801.91,801.91,801.91,801.91,0,0
20101229,769.93,769.93,769.93,769.93,0,0
20101230,762.67,762.67,762.67,762.67,0,0
20101231,766.31,766.31,766.31,766.31,0,0
20110103,782.51,782.51,782.51,782.51,0,0
20110104,767.29,767.29,767.29,767.29,0,0
20110105,766.04,766.04,766.04,766.04,0,0
20110107,701.92,701.92,701.92,701.92,0,0
20110110,692.62,692.62,692.62,692.62,0,0
20110111,702.58,702.58,702.58,702.58,0,0
20110112,716.23,716.23,716.23,716.23,0,0
20110113,722.12,722.12,722.12,722.12,0,0
20110114,565.4,565.4,565.4,565.4,0,0
20110117,645.18,645.18,645.18,645.18,0,0
20110118,714.9,714.9,714.9,714.9,0,0
20110119,725.45,725.45,725.45,725.45,0,0
20110120,573.68,573.68,573.68,573.68,0,0
20110121,540.18,540.18,540.18,540.18,0,0
20110124,536.53,536.53,536.53,536.53,0,0
20110125,550.54,550.54,550.54,550.54,0,0
20110126,539.44,539.44,539.44,539.44,0,0
20110127,538.24,538.24,538.24,538.24,0,0
20110128,500.04,500.04,500.04,500.04,0,0
20110131,436.55,436.55,436.55,436.55,0,0
20110201,326.25,326.25,326.25,326.25,0,0
20110202,316.54,316.54,316.54,316.54,0,0
20110203,328.36,328.36,328.36,328.36,0,0
20110204,281.99,281.99,281.99,281.99,0,0
20110207,255.96,255.96,255.96,255.96,0,0
20110208,251.25,251.25,251.25,251.25,0,0
20110209,211.21,211.21,211.21,211.21,0,0
20110210,233.6,233.6,233.6,233.6,0,0
20110211,214.44,214.44,214.44,214.44,0,0
20110214,213.95,213.95,213.95,213.95,0,0
20110215,218.92,218.92,218.92,218.92,0,0
20110216,219.3,219.3,219.3,219.3,0,0
20110217,222.06,222.06,222.06,222.06,0,0
20110218,258.63,258.63,258.63,258.63,0,0
20110221,275.1,275.1,275.1,275.1,0,0
20110222,264.53,264.53,264.53,264.53,0,0
20110223,254.14,254.14,254.14,254.14,0,0
20110224,229.15,229.15,229.15,229.15,0,0
20110225,249.79,249.79,249.79,249.79,0,0
20110228,267.48,267.48,267.48,267.48,0,0
20110301,248.63,248.63,248.63,248.63,0,0
20110302,246.32,246.32,246.32,246.32,0,0
20110303,246.21,246.21,246.21,246.21,0,0
20110304,258.27,258.27,258.27,258.27,0,0
20110307,260.67,260.67,260.67,260.67,0,0
20110308,264.6,264.6,264.6,264.6,0,0
20110309,266.43,266.43,266.43,266.43,0,0
20110310,244.78,244.78,244.78,244.78,0,0
20110311,263.48,263.48,263.48,263.48,0,0
20110314,256.04,256.04,256.04,256.04,0,0
20110315,264.75,264.75,264.75,264.75,0,0
20110316,261.46,261.46,261.46,261.46,0,0
20110317,275.97,275.97,275.97,275.97,0,0
20110318,281.14,281.14,281.14,281.14,0,0
20110321,305.54,305.54,305.54,305.54,0,0
20110322,284.78,284.78,284.78,284.78,0,0
20110323,269.46,269.46,269.46,269.46,0,0
20110324,267,267,267,267,0,0
20110325,260.22,260.22,260.22,260.22,0,0
20110328,288.97,288.97,288.97,288.97,0,0
20110329,289.14,289.14,289.14,289.14,0,0
20110330,289.77,289.77,289.77,289.77,0,0
20110331,292.3,292.3,292.3,292.3,0,0
20110401,299.58,299.58,299.58,299.58,0,0
20110404,340.79,340.79,340.79,340.79,0,0
20110405,328.18,328.18,328.18,328.18,0,0
20110406,316.26,316.26,316.26,316.26,0,0
20110407,308.67,308.67,308.67,308.67,0,0
20110408,310.44,310.44,310.44,310.44,0,0
20110411,301.35,301.35,301.35,301.35,0,0
20110412,269.15,269.15,269.15,269.15,0,0
20110413,250.23,250.23,250.23,250.23,0,0
20110414,232.11,232.11,232.11,232.11,0,0
20110415,233.02,233.02,233.02,233.02,0,0
20110418,195.82,195.82,195.82,195.82,0,0
20110419,194.17,194.17,194.17,194.17,0,0
20110420,202,202,202,202,0,0
20110421,192.32,192.32,192.32,192.32,0,0
20110422,164.44,164.44,164.44,164.44,0,0
20110426,128.89,128.89,128.89,128.89,0,0
20110427,122.16,122.16,122.16,122.16,0,0
20110428,105.03,105.03,105.03,105.03,0,0
20110429,81.02,81.02,81.02,81.02,0,0
20110502,73.658,73.658,73.658,73.658,0,0
20110504,68.162,68.162,68.162,68.162,0,0
20110505,68.143,68.143,68.143,68.143,0,0
20110506,67.009,67.009,67.009,67.009,0,0
20110509,60.59,60.59,60.59,60.59,0,0
20110510,40.059,40.059,40.059,40.059,0,0
20110511,41.98,41.98,41.98,41.98,0,0
20110512,36.992,36.992,36.992,36.992,0,0
20110513,27.647,27.647,27.647,27.647,0,0
20110516,28.864,28.864,28.864,28.864,0,0
20110517,32.119,32.119,32.119,32.119,0,0
20110518,33.653,33.653,33.653,33.653,0,0
20110519,34.286,34.286,34.286,34.286,0,0
20110520,41.061,41.061,41.061,41.061,0,0
20110523,32.295,32.295,32.295,32.295,0,0
20110524,31.065,31.065,31.065,31.065,0,0
20110525,27.299,27.299,27.299,27.299,0,0
20110526,25.988,25.988,25.988,25.988,0,0
20110527,27.315,27.315,27.315,27.315,0,0
20110530,26.192,26.192,26.192,26.192,0,0
20110531,26.425,26.425,26.425,26.425,0,0
20110601,24.182,24.182,24.182,24.182,0,0
20110602,21.996,21.996,21.996,21.996,0,0
20110603,16.362,16.362,16.362,16.362,0,0
20110606,12.469,12.469,12.469,12.469,0,0
20110607,9.687,9.687,9.687,9.687,0,0
20110608,7.7809,7.7809,7.7809,7.7809,0,0
20110609,7.9635,7.9635,7.9635,7.9635,0,0
20110610,9.604,9.604,9.604,9.604,0,0
20110613,11.639,11.639,11.639,11.639,0,0
20110614,12.006,12.006,12.006,12.006,0,0
20110615,11.67,11.67,11.67,11.67,0,0
20110616,13.478,13.478,13.478,13.478,0,0
20110617,14.711,14.711,14.711,14.711,0,0
20110620,14.664,14.664,14.664,14.664,0,0
20110621,14.769,14.769,14.769,14.769,0,0
20110622,14.681,14.681,14.681,14.681,0,0
20110624,14.534,14.534,14.534,14.534,0,0
20110627,13.776,13.776,13.776,13.776,0,0
20110628,13.604,13.604,13.604,13.604,0,0
20110629,13.77,13.77,13.77,13.77,0,0
20110630,14.383,14.383,14.383,14.383,0,0
20110701,15.106,15.106,15.106,15.106,0,0
20110704,16.787,16.787,16.787,16.787,0,0
20110705,17.981,17.981,17.981,17.981,0,0
20110706,15.74,15.74,15.74,15.74,0,0
20110707,15.899,15.899,15.899,15.899,0,0
20110708,16.218,16.218,16.218,16.218,0,0
20110711,16.271,16.271,16.271,16.271,0,0
20110712,16.682,16.682,16.682,16.682,0,0
20110713,16.847,16.847,16.847,16.847,0,0
20110714,16.576,16.576,16.576,16.576,0,0
20110715,16.928,16.928,16.928,16.928,0,0
20110718,17.248,17.248,17.248,17.248,0,0
20110719,16.835,16.835,16.835,16.835,0,0
20110720,17.128,17.128,17.128,17.128,0,0
20110721,17.458,17.458,17.458,17.458,0,0
20110722,17.141,17.141,17.141,17.141,0,0
20110725,16.81,16.81,16.81,16.81,0,0
20110726,17.108,17.108,17.108,17.108,0,0
20110727,16.822,16.822,16.822,16.822,0,0
20110728,17.483,17.483,17.483,17.483,0,0
20110729,17.759,17.759,17.759,17.759,0,0
20110801,17.957,17.957,17.957,17.957,0,0
20110802,19.742,19.742,19.742,19.742,0,0
20110803,25.64,25.64,25.64,25.64,0,0
20110804,21.819,21.819,21.819,21.819,0,0
20110805,24.214,24.214,24.214,24.214,0,0
20110808,29.691,29.691,29.691,29.691,0,0
20110809,23.472,23.472,23.472,23.472,0,0
20110810,22.786,22.786,22.786,22.786,0,0
20110811,24.746,24.746,24.746,24.746,0,0
20110812,24.85,24.85,24.85,24.85,0,0
20110816,21.598,21.598,21.598,21.598,0,0
20110817,21.587,21.587,21.587,21.587,0,0
20110818,21.344,21.344,21.344,21.344,0,0
20110819,20.298,20.298,20.298,20.298,0,0
