Date,Open,High,Low,Close,Volume,OpenInt
19931025,78.015,78.015,78.015,78.015,0,0
19931026,78.545,78.545,78.545,78.545,0,0
19931027,77.321,77.321,77.321,77.321,0,0
19931028,78.548,78.548,78.548,78.548,0,0
19931029,80.014,80.014,80.014,80.014,0,0
19931102,83.447,83.447,83.447,83.447,0,0
19931103,81.127,81.127,81.127,81.127,0,0
19931104,80.106,80.106,80.106,80.106,0,0
19931105,78.525,78.525,78.525,78.525,0,0
19931108,79.932,79.932,79.932,79.932,0,0
19931109,79.41,79.41,79.41,79.41,0,0
19931110,78.536,78.536,78.536,78.536,0,0
19931112,79.757,79.757,79.757,79.757,0,0
19931115,78.211,78.211,78.211,78.211,0,0
19931116,77.769,77.769,77.769,77.769,0,0
19931117,76.55,76.55,76.55,76.55,0,0
19931118,75.397,75.397,75.397,75.397,0,0
19931119,74.761,74.761,74.761,74.761,0,0
19931122,74.921,74.921,74.921,74.921,0,0
19931123,74.762,74.762,74.762,74.762,0,0
19931124,75.476,75.476,75.476,75.476,0,0
19931125,75.881,75.881,75.881,75.881,0,0
19931126,75.874,75.874,75.874,75.874,0,0
19931129,80.118,80.118,80.118,80.118,0,0
19931130,80.648,80.648,80.648,80.648,0,0
19931201,76.696,76.696,76.696,76.696,0,0
19931202,77.916,77.916,77.916,77.916,0,0
19931203,74.706,74.706,74.706,74.706,0,0
19931206,74.549,74.549,74.549,74.549,0,0
19931207,73.193,73.193,73.193,73.193,0,0
19931208,72.583,72.583,72.583,72.583,0,0
19931209,72.726,72.726,72.726,72.726,0,0
19931210,71.602,71.602,71.602,71.602,0,0
19931213,70.08,70.08,70.08,70.08,0,0
19931214,70.79,70.79,70.79,70.79,0,0
19931215,70.789,70.789,70.789,70.789,0,0
19931216,72.058,72.058,72.058,72.058,0,0
19931217,71.77,71.77,71.77,71.77,0,0
19931220,70.645,70.645,70.645,70.645,0,0
19931221,71.863,71.863,71.863,71.863,0,0
19931222,72.006,72.006,72.006,72.006,0,0
19931223,72.27,72.27,72.27,72.27,0,0
19931224,72.704,72.704,72.704,72.704,0,0
19931227,71.564,71.564,71.564,71.564,0,0
19931228,71.844,71.844,71.844,71.844,0,0
19931229,71.417,71.417,71.417,71.417,0,0
19931230,71.698,71.698,71.698,71.698,0,0
19931231,71.564,71.564,71.564,71.564,0,0
19940103,69.66,69.66,69.66,69.66,0,0
19940104,70.067,70.067,70.067,70.067,0,0
19940105,72.149,72.149,72.149,72.149,0,0
19940106,71.304,71.304,71.304,71.304,0,0
19940107,72.728,72.728,72.728,72.728,0,0
