Date,Open,High,Low,Close,Volume,OpenInt
19840109,155.76,155.76,155.76,155.76,0,0
19840116,155.52,155.52,155.52,155.52,0,0
19840123,155.76,155.76,155.76,155.76,0,0
19840130,155.52,155.52,155.52,155.52,0,0
19840206,154.32,154.32,154.32,154.32,0,0
19840213,154.32,154.32,154.32,154.32,0,0
19840220,156.01,156.01,156.01,156.01,0,0
19840301,136.8,136.8,136.8,136.8,0,0
19840305,138.5,138.5,138.5,138.5,0,0
19840312,138.7,138.7,138.7,138.7,0,0
19840319,138.89,138.89,138.89,138.89,0,0
19840326,137.74,137.74,137.74,137.74,0,0
19840402,138.12,138.12,138.12,138.12,0,0
19840409,139.28,139.28,139.28,139.28,0,0
19840416,139.47,139.47,139.47,139.47,0,0
19840424,138.5,138.5,138.5,138.5,0,0
19840502,138.7,138.7,138.7,138.7,0,0
19840507,138.5,138.5,138.5,138.5,0,0
19840514,139.28,139.28,139.28,139.28,0,0
19840521,139.28,139.28,139.28,139.28,0,0
19840528,139.28,139.28,139.28,139.28,0,0
19840604,138.31,138.31,138.31,138.31,0,0
19840611,140.45,140.45,140.45,140.45,0,0
19840618,140.45,140.45,140.45,140.45,0,0
19840625,142.65,142.65,142.65,142.65,0,0
19840702,141.24,141.24,141.24,141.24,0,0
19840709,144.09,144.09,144.09,144.09,0,0
19840716,144.09,144.09,144.09,144.09,0,0
19840723,179.21,179.21,179.21,179.21,0,0
19840730,178.89,178.89,178.89,178.89,0,0
19840806,177.31,177.31,177.31,177.31,0,0
19840813,177.94,177.94,177.94,177.94,0,0
19840820,176.68,176.68,176.68,176.68,0,0
19840827,176.68,176.68,176.68,176.68,0,0
19840901,162.34,162.34,162.34,162.34,0,0
19840910,164.2,164.2,164.2,164.2,0,0
19840917,164.2,164.2,164.2,164.2,0,0
19840924,162.08,162.08,162.08,162.08,0,0
19841001,162.87,162.87,162.87,162.87,0,0
19841008,164.2,164.2,164.2,164.2,0,0
19841015,164.47,164.47,164.47,164.47,0,0
19841022,162.87,162.87,162.87,162.87,0,0
19841029,163.4,163.4,163.4,163.4,0,0
19841105,160.26,160.26,160.26,160.26,0,0
19841112,162.87,162.87,162.87,162.87,0,0
19841119,163.4,163.4,163.4,163.4,0,0
19841126,164.2,164.2,164.2,164.2,0,0
19841201,162.87,162.87,162.87,162.87,0,0
19841210,163.67,163.67,163.67,163.67,0,0
19841217,164.2,164.2,164.2,164.2,0,0
19841224,165.29,165.29,165.29,165.29,0,0
19850101,151.06,151.06,151.06,151.06,0,0
19850107,153.14,153.14,153.14,153.14,0,0
19850114,154.56,154.56,154.56,154.56,0,0
19850121,153.37,153.37,153.37,153.37,0,0
19850128,153.61,153.61,153.61,153.61,0,0
19850204,155.04,155.04,155.04,155.04,0,0
19850211,156.74,156.74,156.74,156.74,0,0
19850218,155.52,155.52,155.52,155.52,0,0
19850225,161.03,161.03,161.03,161.03,0,0
19850304,163.67,163.67,163.67,163.67,0,0
19850311,147.71,147.71,147.71,147.71,0,0
19850318,158.73,158.73,158.73,158.73,0,0
19850325,156.74,156.74,156.74,156.74,0,0
19850329,156.5,156.5,156.5,156.5,0,0
19850401,157.23,157.23,157.23,157.23,0,0
19850409,162.08,162.08,162.08,162.08,0,0
19850415,158.73,158.73,158.73,158.73,0,0
19850422,161.55,161.55,161.55,161.55,0,0
19850429,161.81,161.81,161.81,161.81,0,0
19850506,161.29,161.29,161.29,161.29,0,0
19850513,158.48,158.48,158.48,158.48,0,0
19850520,162.6,162.6,162.6,162.6,0,0
19850527,162.6,162.6,162.6,162.6,0,0
19850601,139.08,139.08,139.08,139.08,0,0
19850610,141.24,141.24,141.24,141.24,0,0
19850617,137.55,137.55,137.55,137.55,0,0
19850624,134.95,134.95,134.95,134.95,0,0
19850701,129.87,129.87,129.87,129.87,0,0
19850708,133.69,133.69,133.69,133.69,0,0
19850715,129.53,129.53,129.53,129.53,0,0
19850723,125.31,125.31,125.31,125.31,0,0
19850729,124.38,124.38,124.38,124.38,0,0
19850805,122.55,122.55,122.55,122.55,0,0
19850812,118.48,118.48,118.48,118.48,0,0
19850819,124.69,124.69,124.69,124.69,0,0
19850826,122.7,122.7,122.7,122.7,0,0
19850902,122.7,122.7,122.7,122.7,0,0
19850909,122.1,122.1,122.1,122.1,0,0
19850916,122.1,122.1,122.1,122.1,0,0
19850923,118.62,118.62,118.62,118.62,0,0
19850930,120.19,120.19,120.19,120.19,0,0
19851007,117.23,117.23,117.23,117.23,0,0
19851014,117.93,117.93,117.93,117.93,0,0
19851021,113.9,113.9,113.9,113.9,0,0
19851028,118.77,118.77,118.77,118.77,0,0
19851104,114.42,114.42,114.42,114.42,0,0
19851111,114.42,114.42,114.42,114.42,0,0
19851118,120.19,120.19,120.19,120.19,0,0
19851125,116.01,116.01,116.01,116.01,0,0
19851202,117.37,117.37,117.37,117.37,0,0
19851209,119.62,119.62,119.62,119.62,0,0
19851216,140.85,140.85,140.85,140.85,0,0
19851223,135.14,135.14,135.14,135.14,0,0
19860101,135.14,135.14,135.14,135.14,0,0
19860106,129.87,129.87,129.87,129.87,0,0
19860113,135.32,135.32,135.32,135.32,0,0
19860120,135.32,135.32,135.32,135.32,0,0
19860127,128.04,128.04,128.04,128.04,0,0
19860201,110.62,110.62,110.62,110.62,0,0
19860210,108.58,108.58,108.58,108.58,0,0
19860217,109.29,109.29,109.29,109.29,0,0
19860224,112.74,112.74,112.74,112.74,0,0
19860301,114.81,114.81,114.81,114.81,0,0
19860303,115.47,115.47,115.47,115.47,0,0
19860310,116.28,116.28,116.28,116.28,0,0
19860317,112.74,112.74,112.74,112.74,0,0
19860318,113.25,113.25,113.25,113.25,0,0
19860324,112.99,112.99,112.99,112.99,0,0
19860401,110.5,110.5,110.5,110.5,0,0
19860407,107.88,107.88,107.88,107.88,0,0
19860409,108.23,108.23,108.23,108.23,0,0
19860414,107.07,107.07,107.07,107.07,0,0
19860421,103.84,103.84,103.84,103.84,0,0
19860428,104.28,104.28,104.28,104.28,0,0
19860505,105.26,105.26,105.26,105.26,0,0
19860512,102.88,102.88,102.88,102.88,0,0
19860519,109.65,109.65,109.65,109.65,0,0
19860526,109.05,109.05,109.05,109.05,0,0
19860602,107.07,107.07,107.07,107.07,0,0
19860609,107.53,107.53,107.53,107.53,0,0
19860616,113.12,113.12,113.12,113.12,0,0
19860623,114.29,114.29,114.29,114.29,0,0
19860630,110.38,110.38,110.38,110.38,0,0
19860707,114.03,114.03,114.03,114.03,0,0
19860714,114.55,114.55,114.55,114.55,0,0
19860721,112.87,112.87,112.87,112.87,0,0
19860728,116.41,116.41,116.41,116.41,0,0
19860804,119.33,119.33,119.33,119.33,0,0
19860811,124.69,124.69,124.69,124.69,0,0
19860818,124.53,124.53,124.53,124.53,0,0
19860825,127.88,127.88,127.88,127.88,0,0
19860901,102.99,102.99,102.99,102.99,0,0
19860908,105.04,105.04,105.04,105.04,0,0
19860915,104.71,104.71,104.71,104.71,0,0
19860922,105.37,105.37,105.37,105.37,0,0
19860929,101.73,101.73,101.73,101.73,0,0
19861006,98.814,98.814,98.814,98.814,0,0
19861013,99.305,99.305,99.305,99.305,0,0
19861020,100.2,100.2,100.2,100.2,0,0
19861027,99.6,99.6,99.6,99.6,0,0
19861101,98.619,98.619,98.619,98.619,0,0
19861110,96.246,96.246,96.246,96.246,0,0
19861117,97.371,97.371,97.371,97.371,0,0
19861124,96.618,96.618,96.618,96.618,0,0
19861201,100.91,100.91,100.91,100.91,0,0
19861208,100.71,100.71,100.71,100.71,0,0
19861215,97.371,97.371,97.371,97.371,0,0
