Date,Open,High,Low,Close,Volume,OpenInt
20100719,376.9,376.9,376.9,376.9,0,0
20100720,404.77,404.77,404.77,404.77,0,0
20100721,380.55,380.55,380.55,380.55,0,0
20100722,599.56,599.56,599.56,599.56,0,0
20100723,482.33,482.33,482.33,482.33,0,0
20100726,546.52,546.52,546.52,546.52,0,0
20100727,509.17,509.17,509.17,509.17,0,0
20100728,519.79,519.79,519.79,519.79,0,0
20100729,440.87,440.87,440.87,440.87,0,0
20100730,489.91,489.91,489.91,489.91,0,0
20100802,518.1,518.1,518.1,518.1,0,0
20100803,520.12,520.12,520.12,520.12,0,0
20100804,544.24,544.24,544.24,544.24,0,0
20100805,507.44,507.44,507.44,507.44,0,0
20100806,502.56,502.56,502.56,502.56,0,0
20100809,441.9,441.9,441.9,441.9,0,0
20100810,441.72,441.72,441.72,441.72,0,0
20100811,453.5,453.5,453.5,453.5,0,0
20100812,434.47,434.47,434.47,434.47,0,0
20100813,470.46,470.46,470.46,470.46,0,0
20100816,463.38,463.38,463.38,463.38,0,0
20100817,434.9,434.9,434.9,434.9,0,0
20100818,448.86,448.86,448.86,448.86,0,0
20100819,455.23,455.23,455.23,455.23,0,0
20100820,460.09,460.09,460.09,460.09,0,0
20100823,461.9,461.9,461.9,461.9,0,0
20100824,460.39,460.39,460.39,460.39,0,0
20100825,461.05,461.05,461.05,461.05,0,0
20100826,467.24,467.24,467.24,467.24,0,0
20100827,462.6,462.6,462.6,462.6,0,0
20100830,459.88,459.88,459.88,459.88,0,0
20100831,496.27,496.27,496.27,496.27,0,0
20100901,478,478,478,478,0,0
20100902,474.15,474.15,474.15,474.15,0,0
20100903,496.12,496.12,496.12,496.12,0,0
20100906,489.32,489.32,489.32,489.32,0,0
20100907,487.82,487.82,487.82,487.82,0,0
20100908,480.86,480.86,480.86,480.86,0,0
20100909,486.02,486.02,486.02,486.02,0,0
20100910,482.16,482.16,482.16,482.16,0,0
20100913,485.66,485.66,485.66,485.66,0,0
20100914,496.2,496.2,496.2,496.2,0,0
20100915,507.32,507.32,507.32,507.32,0,0
20100916,498.08,498.08,498.08,498.08,0,0
20100917,520.52,520.52,520.52,520.52,0,0
20100920,494.52,494.52,494.52,494.52,0,0
20100921,492.26,492.26,492.26,492.26,0,0
20100922,505.23,505.23,505.23,505.23,0,0
20100923,503.89,503.89,503.89,503.89,0,0
20100924,511.24,511.24,511.24,511.24,0,0
20100927,510.37,510.37,510.37,510.37,0,0
20100928,514.51,514.51,514.51,514.51,0,0
20100929,516.02,516.02,516.02,516.02,0,0
20100930,516.05,516.05,516.05,516.05,0,0
20101001,520.35,520.35,520.35,520.35,0,0
20101004,522.34,522.34,522.34,522.34,0,0
20101005,526.16,526.16,526.16,526.16,0,0
20101006,519.26,519.26,519.26,519.26,0,0
20101007,484.9,484.9,484.9,484.9,0,0
20101008,376.54,376.54,376.54,376.54,0,0
20101011,343.21,343.21,343.21,343.21,0,0
20101012,342.32,342.32,342.32,342.32,0,0
20101013,311.89,311.89,311.89,311.89,0,0
20101014,321.99,321.99,321.99,321.99,0,0
20101015,312.62,312.62,312.62,312.62,0,0
20101018,319.32,319.32,319.32,319.32,0,0
20101019,330.96,330.96,330.96,330.96,0,0
20101020,328.16,328.16,328.16,328.16,0,0
20101021,301.67,301.67,301.67,301.67,0,0
20101022,316.63,316.63,316.63,316.63,0,0
20101025,248.03,248.03,248.03,248.03,0,0
20101026,216.01,216.01,216.01,216.01,0,0
20101027,171.66,171.66,171.66,171.66,0,0
20101028,188.45,188.45,188.45,188.45,0,0
20101029,171.79,171.79,171.79,171.79,0,0
20101101,166.53,166.53,166.53,166.53,0,0
20101102,168.86,168.86,168.86,168.86,0,0
20101103,169.6,169.6,169.6,169.6,0,0
20101104,143.94,143.94,143.94,143.94,0,0
20101105,125.94,125.94,125.94,125.94,0,0
20101108,133.96,133.96,133.96,133.96,0,0
