Date,Open,High,Low,Close,Volume,OpenInt
19951023,33.56,33.56,33.56,33.56,0,0
19951024,33.662,33.662,33.662,33.662,0,0
19951025,33.842,33.842,33.842,33.842,0,0
19951026,33.757,33.757,33.757,33.757,0,0
19951027,33.727,33.727,33.727,33.727,0,0
19951030,33.585,33.585,33.585,33.585,0,0
19951031,33.609,33.609,33.609,33.609,0,0
19951102,33.669,33.669,33.669,33.669,0,0
19951103,33.753,33.753,33.753,33.753,0,0
19951106,33.716,33.716,33.716,33.716,0,0
19951107,33.809,33.809,33.809,33.809,0,0
19951108,33.876,33.876,33.876,33.876,0,0
19951109,33.95,33.95,33.95,33.95,0,0
19951110,33.865,33.865,33.865,33.865,0,0
19951113,33.887,33.887,33.887,33.887,0,0
19951114,33.861,33.861,33.861,33.861,0,0
19951115,34.067,34.067,34.067,34.067,0,0
19951116,34.134,34.134,34.134,34.134,0,0
19951117,33.904,33.904,33.904,33.904,0,0
19951120,33.612,33.612,33.612,33.612,0,0
19951121,33.567,33.567,33.567,33.567,0,0
19951122,33.516,33.516,33.516,33.516,0,0
19951123,33.497,33.497,33.497,33.497,0,0
19951124,33.546,33.546,33.546,33.546,0,0
19951127,33.496,33.496,33.496,33.496,0,0
19951128,33.26,33.26,33.26,33.26,0,0
19951129,33.322,33.322,33.322,33.322,0,0
19951130,33.453,33.453,33.453,33.453,0,0
19951201,33.575,33.575,33.575,33.575,0,0
19951204,33.612,33.612,33.612,33.612,0,0
19951205,33.651,33.651,33.651,33.651,0,0
19951206,33.679,33.679,33.679,33.679,0,0
19951207,33.59,33.59,33.59,33.59,0,0
19951208,33.78,33.78,33.78,33.78,0,0
19951211,33.765,33.765,33.765,33.765,0,0
19951212,33.828,33.828,33.828,33.828,0,0
19951213,33.426,33.426,33.426,33.426,0,0
19951214,33.043,33.043,33.043,33.043,0,0
19951215,33.122,33.122,33.122,33.122,0,0
19951218,33.038,33.038,33.038,33.038,0,0
19951219,33.034,33.034,33.034,33.034,0,0
19951220,33.034,33.034,33.034,33.034,0,0
19951221,33.034,33.034,33.034,33.034,0,0
19951222,33.094,33.094,33.094,33.094,0,0
19951227,32.958,32.958,32.958,32.958,0,0
19951228,32.929,32.929,32.929,32.929,0,0
19951229,32.959,32.959,32.959,32.959,0,0
19960102,32.963,32.963,32.963,32.963,0,0
19960103,32.914,32.914,32.914,32.914,0,0
19960104,32.91,32.91,32.91,32.91,0,0
19960105,32.774,32.774,32.774,32.774,0,0
19960108,32.679,32.679,32.679,32.679,0,0
19960109,32.592,32.592,32.592,32.592,0,0
19960110,32.563,32.563,32.563,32.563,0,0
19960111,32.511,32.511,32.511,32.511,0,0
19960112,32.395,32.395,32.395,32.395,0,0
19960115,32.391,32.391,32.391,32.391,0,0
19960116,32.257,32.257,32.257,32.257,0,0
19960117,32.306,32.306,32.306,32.306,0,0
19960118,32.188,32.188,32.188,32.188,0,0
19960119,31.996,31.996,31.996,31.996,0,0
19960122,32.145,32.145,32.145,32.145,0,0
19960123,32.271,32.271,32.271,32.271,0,0
19960124,31.904,31.904,31.904,31.904,0,0
19960125,31.839,31.839,31.839,31.839,0,0
19960126,31.81,31.81,31.81,31.81,0,0
19960129,31.72,31.72,31.72,31.72,0,0
19960130,31.628,31.628,31.628,31.628,0,0
19960131,31.358,31.358,31.358,31.358,0,0
19960201,31.279,31.279,31.279,31.279,0,0
19960202,31.162,31.162,31.162,31.162,0,0
19960205,31.193,31.193,31.193,31.193,0,0
19960206,31.218,31.218,31.218,31.218,0,0
19960207,31.327,31.327,31.327,31.327,0,0
19960208,31.301,31.301,31.301,31.301,0,0
19960209,31.305,31.305,31.305,31.305,0,0
19960212,31.273,31.273,31.273,31.273,0,0
19960213,31.301,31.301,31.301,31.301,0,0
19960214,31.159,31.159,31.159,31.159,0,0
19960215,31.101,31.101,31.101,31.101,0,0
19960216,31.018,31.018,31.018,31.018,0,0
19960219,30.759,30.759,30.759,30.759,0,0
19960220,30.927,30.927,30.927,30.927,0,0
19960221,31.011,31.011,31.011,31.011,0,0
19960222,31.066,31.066,31.066,31.066,0,0
19960223,30.952,30.952,30.952,30.952,0,0
19960226,30.977,30.977,30.977,30.977,0,0
19960227,31.065,31.065,31.065,31.065,0,0
19960228,30.911,30.911,30.911,30.911,0,0
19960229,30.828,30.828,30.828,30.828,0,0
19960301,30.765,30.765,30.765,30.765,0,0
19960304,30.853,30.853,30.853,30.853,0,0
19960305,30.768,30.768,30.768,30.768,0,0
19960306,30.655,30.655,30.655,30.655,0,0
19960307,30.654,30.654,30.654,30.654,0,0
19960308,30.672,30.672,30.672,30.672,0,0
19960311,30.679,30.679,30.679,30.679,0,0
19960312,30.742,30.742,30.742,30.742,0,0
19960313,30.34,30.34,30.34,30.34,0,0
19960314,30.029,30.029,30.029,30.029,0,0
19960315,30.369,30.369,30.369,30.369,0,0
19960318,30.422,30.422,30.422,30.422,0,0
19960319,30.369,30.369,30.369,30.369,0,0
19960320,30.169,30.169,30.169,30.169,0,0
19960321,30.139,30.139,30.139,30.139,0,0
19960322,30.113,30.113,30.113,30.113,0,0
19960325,30.057,30.057,30.057,30.057,0,0
19960326,30.167,30.167,30.167,30.167,0,0
19960327,30.14,30.14,30.14,30.14,0,0
19960328,30.419,30.419,30.419,30.419,0,0
19960329,30.254,30.254,30.254,30.254,0,0
19960401,30.026,30.026,30.026,30.026,0,0
19960402,30.086,30.086,30.086,30.086,0,0
19960403,30.224,30.224,30.224,30.224,0,0
19960404,30.169,30.169,30.169,30.169,0,0
19960405,30.258,30.258,30.258,30.258,0,0
19960409,29.916,29.916,29.916,29.916,0,0
19960410,29.945,29.945,29.945,29.945,0,0
19960411,30.033,30.033,30.033,30.033,0,0
19960412,30.194,30.194,30.194,30.194,0,0
19960415,30.14,30.14,30.14,30.14,0,0
19960416,29.969,29.969,29.969,29.969,0,0
19960417,29.863,29.863,29.863,29.863,0,0
19960418,29.722,29.722,29.722,29.722,0,0
19960419,29.75,29.75,29.75,29.75,0,0
19960422,29.61,29.61,29.61,29.61,0,0
19960423,29.779,29.779,29.779,29.779,0,0
19960424,29.752,29.752,29.752,29.752,0,0
19960425,29.75,29.75,29.75,29.75,0,0
19960426,29.583,29.583,29.583,29.583,0,0
19960429,29.532,29.532,29.532,29.532,0,0
19960430,29.558,29.558,29.558,29.558,0,0
19960506,29.447,29.447,29.447,29.447,0,0
19960507,29.178,29.178,29.178,29.178,0,0
19960508,29.335,29.335,29.335,29.335,0,0
19960509,29.353,29.353,29.353,29.353,0,0
19960510,29.242,29.242,29.242,29.242,0,0
19960513,29.366,29.366,29.366,29.366,0,0
19960514,29.251,29.251,29.251,29.251,0,0
19960515,29.205,29.205,29.205,29.205,0,0
19960516,29.258,29.258,29.258,29.258,0,0
19960517,29.347,29.347,29.347,29.347,0,0
19960520,29.433,29.433,29.433,29.433,0,0
19960521,29.314,29.314,29.314,29.314,0,0
19960522,29.232,29.232,29.232,29.232,0,0
19960523,29.099,29.099,29.099,29.099,0,0
19960524,29.229,29.229,29.229,29.229,0,0
19960527,29.149,29.149,29.149,29.149,0,0
19960528,29.041,29.041,29.041,29.041,0,0
19960529,29.07,29.07,29.07,29.07,0,0
19960530,29.205,29.205,29.205,29.205,0,0
19960531,29.159,29.159,29.159,29.159,0,0
19960603,29.159,29.159,29.159,29.159,0,0
19960604,29.213,29.213,29.213,29.213,0,0
19960605,29.293,29.293,29.293,29.293,0,0
19960607,29.511,29.511,29.511,29.511,0,0
19960610,29.433,29.433,29.433,29.433,0,0
19960611,29.221,29.221,29.221,29.221,0,0
19960612,29.246,29.246,29.246,29.246,0,0
19960613,29.483,29.483,29.483,29.483,0,0
19960614,29.139,29.139,29.139,29.139,0,0
19960617,29.296,29.296,29.296,29.296,0,0
19960618,29.401,29.401,29.401,29.401,0,0
19960619,29.24,29.24,29.24,29.24,0,0
19960620,29.108,29.108,29.108,29.108,0,0
