Date,Open,High,Low,Close,Volume,OpenInt
19951023,92.233,92.233,92.233,92.233,0,0
19951024,92.326,92.326,92.326,92.326,0,0
19951025,91.845,91.845,91.845,91.845,0,0
19951026,92.117,92.117,92.117,92.117,0,0
19951027,92.828,92.828,92.828,92.828,0,0
19951030,92.435,92.435,92.435,92.435,0,0
19951031,93.252,93.252,93.252,93.252,0,0
19951102,93.125,93.125,93.125,93.125,0,0
19951103,93.92,93.92,93.92,93.92,0,0
19951106,93.829,93.829,93.829,93.829,0,0
19951107,93.813,93.813,93.813,93.813,0,0
19951108,93.85,93.85,93.85,93.85,0,0
19951109,94.097,94.097,94.097,94.097,0,0
19951110,93.926,93.926,93.926,93.926,0,0
19951113,94.099,94.099,94.099,94.099,0,0
19951114,94.289,94.289,94.289,94.289,0,0
19951115,93.694,93.694,93.694,93.694,0,0
19951116,93.813,93.813,93.813,93.813,0,0
19951117,93.814,93.814,93.814,93.814,0,0
19951120,94.278,94.278,94.278,94.278,0,0
19951121,94.093,94.093,94.093,94.093,0,0
19951122,94.091,94.091,94.091,94.091,0,0
19951123,94.094,94.094,94.094,94.094,0,0
19951124,94.191,94.191,94.191,94.191,0,0
19951127,94.471,94.471,94.471,94.471,0,0
19951128,94.741,94.741,94.741,94.741,0,0
19951129,94.925,94.925,94.925,94.925,0,0
19951130,96.149,96.149,96.149,96.149,0,0
19951201,95.844,95.844,95.844,95.844,0,0
19951204,95.894,95.894,95.894,95.894,0,0
19951205,95.373,95.373,95.373,95.373,0,0
19951206,95.563,95.563,95.563,95.563,0,0
19951207,95.649,95.649,95.649,95.649,0,0
19951208,96.118,96.118,96.118,96.118,0,0
19951211,95.835,95.835,95.835,95.835,0,0
19951212,96.214,96.214,96.214,96.214,0,0
19951213,96.596,96.596,96.596,96.596,0,0
19951214,96.411,96.411,96.411,96.411,0,0
19951215,96.224,96.224,96.224,96.224,0,0
19951218,96.03,96.03,96.03,96.03,0,0
19951219,96.124,96.124,96.124,96.124,0,0
19951220,96.174,96.174,96.174,96.174,0,0
19951221,96.223,96.223,96.223,96.223,0,0
19951222,96.266,96.266,96.266,96.266,0,0
19951227,97.025,97.025,97.025,97.025,0,0
19951228,97.303,97.303,97.303,97.303,0,0
19951229,97.497,97.497,97.497,97.497,0,0
19960102,96.841,96.841,96.841,96.841,0,0
19960103,96.891,96.891,96.891,96.891,0,0
19960104,96.94,96.94,96.94,96.94,0,0
19960105,95.328,95.328,95.328,95.328,0,0
19960108,95.515,95.515,95.515,95.515,0,0
19960109,95.603,95.603,95.603,95.603,0,0
19960110,95.501,95.501,95.501,95.501,0,0
19960111,95.55,95.55,95.55,95.55,0,0
19960112,96.745,96.745,96.745,96.745,0,0
19960115,96.83,96.83,96.83,96.83,0,0
19960116,96.836,96.836,96.836,96.836,0,0
19960117,96.885,96.885,96.885,96.885,0,0
19960118,97.985,97.985,97.985,97.985,0,0
19960119,98.854,98.854,98.854,98.854,0,0
19960122,98.082,98.082,98.082,98.082,0,0
19960123,98.131,98.131,98.131,98.131,0,0
19960124,99.325,99.325,99.325,99.325,0,0
19960125,98.929,98.929,98.929,98.929,0,0
19960126,100.4,100.4,100.4,100.4,0,0
19960129,100.29,100.29,100.29,100.29,0,0
19960130,99.9,99.9,99.9,99.9,0,0
19960131,99.7,99.7,99.7,99.7,0,0
19960201,99.71,99.71,99.71,99.71,0,0
19960202,99.9,99.9,99.9,99.9,0,0
19960205,99.321,99.321,99.321,99.321,0,0
19960206,100,100,100,100,0,0
19960207,100.38,100.38,100.38,100.38,0,0
19960208,100.58,100.58,100.58,100.58,0,0
19960209,99.81,99.81,99.81,99.81,0,0
19960212,100.1,100.1,100.1,100.1,0,0
19960213,99.81,99.81,99.81,99.81,0,0
19960214,100.4,100.4,100.4,100.4,0,0
19960215,99.51,99.51,99.51,99.51,0,0
19960216,99.9,99.9,99.9,99.9,0,0
19960219,101.29,101.29,101.29,101.29,0,0
19960220,100.39,100.39,100.39,100.39,0,0
19960221,100.3,100.3,100.3,100.3,0,0
19960222,100.78,100.78,100.78,100.78,0,0
19960223,100.68,100.68,100.68,100.68,0,0
19960226,99.81,99.81,99.81,99.81,0,0
19960227,100.58,100.58,100.58,100.58,0,0
19960228,100.29,100.29,100.29,100.29,0,0
19960229,101.07,101.07,101.07,101.07,0,0
19960301,100.97,100.97,100.97,100.97,0,0
19960304,101.06,101.06,101.06,101.06,0,0
19960305,101.07,101.07,101.07,101.07,0,0
19960306,101.07,101.07,101.07,101.07,0,0
19960307,101.16,101.16,101.16,101.16,0,0
19960308,100.87,100.87,100.87,100.87,0,0
19960311,101.17,101.17,101.17,101.17,0,0
19960312,100.97,100.97,100.97,100.97,0,0
19960313,101.07,101.07,101.07,101.07,0,0
19960314,101.07,101.07,101.07,101.07,0,0
19960315,101.75,101.75,101.75,101.75,0,0
19960318,101.45,101.45,101.45,101.45,0,0
19960319,101.35,101.35,101.35,101.35,0,0
19960320,101.16,101.16,101.16,101.16,0,0
19960321,101.36,101.36,101.36,101.36,0,0
19960322,101.45,101.45,101.45,101.45,0,0
19960325,101.64,101.64,101.64,101.64,0,0
19960326,101.84,101.84,101.84,101.84,0,0
19960327,101.45,101.45,101.45,101.45,0,0
19960328,101.65,101.65,101.65,101.65,0,0
19960329,101.75,101.75,101.75,101.75,0,0
19960401,102.12,102.12,102.12,102.12,0,0
19960402,102.21,102.21,102.21,102.21,0,0
19960403,102.41,102.41,102.41,102.41,0,0
19960404,102.51,102.51,102.51,102.51,0,0
19960405,102.56,102.56,102.56,102.56,0,0
19960409,102.32,102.32,102.32,102.32,0,0
19960410,102.99,102.99,102.99,102.99,0,0
19960411,103.04,103.04,103.04,103.04,0,0
19960412,102.89,102.89,102.89,102.89,0,0
19960415,103.75,103.75,103.75,103.75,0,0
19960416,102.88,102.88,102.88,102.88,0,0
19960417,102.98,102.98,102.98,102.98,0,0
19960418,103.48,103.48,103.48,103.48,0,0
19960419,103.48,103.48,103.48,103.48,0,0
19960422,104.35,104.35,104.35,104.35,0,0
19960423,104.45,104.45,104.45,104.45,0,0
19960424,104.34,104.34,104.34,104.34,0,0
19960425,104.65,104.65,104.65,104.65,0,0
19960426,104.55,104.55,104.55,104.55,0,0
19960429,104.76,104.76,104.76,104.76,0,0
19960430,104.55,104.55,104.55,104.55,0,0
19960506,105.06,105.06,105.06,105.06,0,0
19960507,105.06,105.06,105.06,105.06,0,0
19960508,104.19,104.19,104.19,104.19,0,0
19960509,104.19,104.19,104.19,104.19,0,0
19960510,104.08,104.08,104.08,104.08,0,0
19960513,105.17,105.17,105.17,105.17,0,0
19960514,106.13,106.13,106.13,106.13,0,0
19960515,104.96,104.96,104.96,104.96,0,0
19960516,104.95,104.95,104.95,104.95,0,0
19960517,105,105,105,105,0,0
19960520,105.06,105.06,105.06,105.06,0,0
19960521,106.13,106.13,106.13,106.13,0,0
19960522,106.14,106.14,106.14,106.14,0,0
19960523,106.34,106.34,106.34,106.34,0,0
19960524,106.24,106.24,106.24,106.24,0,0
19960527,106.13,106.13,106.13,106.13,0,0
19960528,106.13,106.13,106.13,106.13,0,0
19960529,105.92,105.92,105.92,105.92,0,0
19960530,104.85,104.85,104.85,104.85,0,0
19960531,105.05,105.05,105.05,105.05,0,0
19960603,105.06,105.06,105.06,105.06,0,0
19960604,105.06,105.06,105.06,105.06,0,0
19960605,105.52,105.52,105.52,105.52,0,0
19960607,106.69,106.69,106.69,106.69,0,0
19960610,106.49,106.49,106.49,106.49,0,0
19960611,106.59,106.59,106.59,106.59,0,0
19960612,106.69,106.69,106.69,106.69,0,0
19960613,105.93,105.93,105.93,105.93,0,0
19960614,106.69,106.69,106.69,106.69,0,0
19960617,105.72,105.72,105.72,105.72,0,0
19960618,105.93,105.93,105.93,105.93,0,0
19960619,106.03,106.03,106.03,106.03,0,0
19960620,105.83,105.83,105.83,105.83,0,0
19960621,106.48,106.48,106.48,106.48,0,0
19960624,106.28,106.28,106.28,106.28,0,0
19960625,105.97,105.97,105.97,105.97,0,0
