Date,Open,High,Low,Close,Volume,OpenInt
19840109,5.0004,5.0004,5.0004,5.0004,0,0
19840116,5.0135,5.0135,5.0135,5.0135,0,0
19840123,5.032,5.032,5.032,5.032,0,0
19840130,5.0306,5.0306,5.0306,5.0306,0,0
19840206,5.0483,5.0483,5.0483,5.0483,0,0
19840213,5.0738,5.0738,5.0738,5.0738,0,0
19840220,5.0269,5.0269,5.0269,5.0269,0,0
19840301,5.0481,5.0481,5.0481,5.0481,0,0
19840305,5.149,5.149,5.149,5.149,0,0
19840312,5.085,5.085,5.085,5.085,0,0
19840319,5.0888,5.0888,5.0888,5.0888,0,0
19840326,5.1375,5.1375,5.1375,5.1375,0,0
19840402,5.1476,5.1476,5.1476,5.1476,0,0
19840409,5.133,5.133,5.133,5.133,0,0
19840416,5.1527,5.1527,5.1527,5.1527,0,0
19840424,5.1972,5.1972,5.1972,5.1972,0,0
19840502,5.1972,5.1972,5.1972,5.1972,0,0
19840507,5.2268,5.2268,5.2268,5.2268,0,0
19840514,5.202,5.202,5.202,5.202,0,0
19840521,5.2083,5.2083,5.2083,5.2083,0,0
19840528,5.2135,5.2135,5.2135,5.2135,0,0
19840604,5.2842,5.2842,5.2842,5.2842,0,0
19840611,5.2044,5.2044,5.2044,5.2044,0,0
19840618,5.2088,5.2088,5.2088,5.2088,0,0
19840625,5.1789,5.1789,5.1789,5.1789,0,0
19840702,5.2348,5.2348,5.2348,5.2348,0,0
19840709,5.2204,5.2204,5.2204,5.2204,0,0
19840716,5.2558,5.2558,5.2558,5.2558,0,0
19840723,5.2823,5.2823,5.2823,5.2823,0,0
19840730,5.3191,5.3191,5.3191,5.3191,0,0
19840806,5.3666,5.3666,5.3666,5.3666,0,0
19840813,5.3564,5.3564,5.3564,5.3564,0,0
19840820,5.3776,5.3776,5.3776,5.3776,0,0
19840827,5.3886,5.3886,5.3886,5.3886,0,0
19840901,5.3846,5.3846,5.3846,5.3846,0,0
19840910,5.4356,5.4356,5.4356,5.4356,0,0
19840917,5.4391,5.4391,5.4391,5.4391,0,0
19840924,5.4939,5.4939,5.4939,5.4939,0,0
19841001,5.4967,5.4967,5.4967,5.4967,0,0
19841008,5.4796,5.4796,5.4796,5.4796,0,0
19841015,5.5186,5.5186,5.5186,5.5186,0,0
19841022,5.5863,5.5863,5.5863,5.5863,0,0
19841029,5.5747,5.5747,5.5747,5.5747,0,0
19841105,5.6196,5.6196,5.6196,5.6196,0,0
19841112,5.5652,5.5652,5.5652,5.5652,0,0
19841119,5.5438,5.5438,5.5438,5.5438,0,0
19841126,5.5652,5.5652,5.5652,5.5652,0,0
19841201,5.619,5.619,5.619,5.619,0,0
19841210,5.6353,5.6353,5.6353,5.6353,0,0
19841217,5.6214,5.6214,5.6214,5.6214,0,0
19841224,5.6159,5.6159,5.6159,5.6159,0,0
19850101,5.6557,5.6557,5.6557,5.6557,0,0
19850107,5.6401,5.6401,5.6401,5.6401,0,0
19850114,5.6652,5.6652,5.6652,5.6652,0,0
19850121,5.7052,5.7052,5.7052,5.7052,0,0
19850128,5.7221,5.7221,5.7221,5.7221,0,0
19850204,5.6688,5.6688,5.6688,5.6688,0,0
19850211,5.6438,5.6438,5.6438,5.6438,0,0
19850218,5.7012,5.7012,5.7012,5.7012,0,0
19850225,5.6685,5.6685,5.6685,5.6685,0,0
19850304,5.6569,5.6569,5.6569,5.6569,0,0
19850311,5.821,5.821,5.821,5.821,0,0
19850318,5.6816,5.6816,5.6816,5.6816,0,0
19850325,5.7327,5.7327,5.7327,5.7327,0,0
19850329,5.8669,5.8669,5.8669,5.8669,0,0
19850401,5.6109,5.6109,5.6109,5.6109,0,0
19850409,5.5235,5.5235,5.5235,5.5235,0,0
19850415,5.7682,5.7682,5.7682,5.7682,0,0
19850422,5.5376,5.5376,5.5376,5.5376,0,0
19850429,5.5344,5.5344,5.5344,5.5344,0,0
19850506,5.5535,5.5535,5.5535,5.5535,0,0
19850513,5.7326,5.7326,5.7326,5.7326,0,0
19850520,5.6233,5.6233,5.6233,5.6233,0,0
19850527,5.608,5.608,5.608,5.608,0,0
19850601,5.6362,5.6362,5.6362,5.6362,0,0
19850610,5.5564,5.5564,5.5564,5.5564,0,0
19850617,5.6265,5.6265,5.6265,5.6265,0,0
19850624,5.5424,5.5424,5.5424,5.5424,0,0
19850701,5.5477,5.5477,5.5477,5.5477,0,0
19850708,5.5477,5.5477,5.5477,5.5477,0,0
19850715,5.5288,5.5288,5.5288,5.5288,0,0
19850723,5.4279,5.4279,5.4279,5.4279,0,0
19850729,5.3769,5.3769,5.3769,5.3769,0,0
19850805,5.4083,5.4083,5.4083,5.4083,0,0
19850812,5.4949,5.4949,5.4949,5.4949,0,0
19850819,5.3577,5.3577,5.3577,5.3577,0,0
19850826,5.3344,5.3344,5.3344,5.3344,0,0
19850902,5.3302,5.3302,5.3302,5.3302,0,0
19850909,5.2422,5.2422,5.2422,5.2422,0,0
19850916,5.5131,5.5131,5.5131,5.5131,0,0
19850923,5.7369,5.7369,5.7369,5.7369,0,0
19850930,5.5425,5.5425,5.5425,5.5425,0,0
19851007,5.5829,5.5829,5.5829,5.5829,0,0
19851014,5.5965,5.5965,5.5965,5.5965,0,0
19851021,5.6776,5.6776,5.6776,5.6776,0,0
19851028,5.608,5.608,5.608,5.608,0,0
19851104,5.6948,5.6948,5.6948,5.6948,0,0
19851111,5.7131,5.7131,5.7131,5.7131,0,0
19851118,5.7502,5.7502,5.7502,5.7502,0,0
