Date,Open,High,Low,Close,Volume,OpenInt
19840102,23949,23949,23949,23949,0,0
19840109,24084,24084,24084,24084,0,0
19840116,24409,24409,24409,24409,0,0
19840123,24171,24171,24171,24171,0,0
19840130,24007,24007,24007,24007,0,0
19840206,23663,23663,23663,23663,0,0
19840213,22221,22221,22221,22221,0,0
19840220,21724,21724,21724,21724,0,0
19840301,21698,21698,21698,21698,0,0
19840305,21242,21242,21242,21242,0,0
19840312,20879,20879,20879,20879,0,0
19840319,21389,21389,21389,21389,0,0
19840326,21665,21665,21665,21665,0,0
19840402,23613,23613,23613,23613,0,0
19840409,24031,24031,24031,24031,0,0
19840416,24743,24743,24743,24743,0,0
19840424,22548,22548,22548,22548,0,0
19840502,23055,23055,23055,23055,0,0
19840507,22330,22330,22330,22330,0,0
19840514,22230,22230,22230,22230,0,0
19840521,22073,22073,22073,22073,0,0
19840528,22073,22073,22073,22073,0,0
19840604,22191,22191,22191,22191,0,0
19840611,22214,22214,22214,22214,0,0
19840618,22068,22068,22068,22068,0,0
19840625,22009,22009,22009,22009,0,0
19840702,22109,22109,22109,22109,0,0
19840709,21821,21821,21821,21821,0,0
19840716,22199,22199,22199,22199,0,0
19840723,22432,22432,22432,22432,0,0
19840730,22304,22304,22304,22304,0,0
19840806,22319,22319,22319,22319,0,0
19840813,22506,22506,22506,22506,0,0
19840820,22531,22531,22531,22531,0,0
19840827,22729,22729,22729,22729,0,0
19840901,22735,22735,22735,22735,0,0
19840910,21160,21160,21160,21160,0,0
19840917,21382,21382,21382,21382,0,0
19840924,21335,21335,21335,21335,0,0
19841001,21138,21138,21138,21138,0,0
19841008,21599,21599,21599,21599,0,0
19841015,21600,21600,21600,21600,0,0
19841022,21896,21896,21896,21896,0,0
19841029,22036,22036,22036,22036,0,0
19841105,21567,21567,21567,21567,0,0
19841112,21839,21839,21839,21839,0,0
19841119,21903,21903,21903,21903,0,0
19841126,21719,21719,21719,21719,0,0
19841201,21670,21670,21670,21670,0,0
19841210,21227,21227,21227,21227,0,0
19841217,21227,21227,21227,21227,0,0
19841224,21288,21288,21288,21288,0,0
19850101,21457,21457,21457,21457,0,0
19850107,21313,21313,21313,21313,0,0
19850114,21058,21058,21058,21058,0,0
19850121,21364,21364,21364,21364,0,0
19850128,21251,21251,21251,21251,0,0
19850204,21021,21021,21021,21021,0,0
19850211,21126,21126,21126,21126,0,0
19850218,21093,21093,21093,21093,0,0
19850225,21038,21038,21038,21038,0,0
19850304,20512,20512,20512,20512,0,0
19850311,20770,20770,20770,20770,0,0
19850318,20337,20337,20337,20337,0,0
19850325,19966,19966,19966,19966,0,0
19850329,19282,19282,19282,19282,0,0
19850401,19258,19258,19258,19258,0,0
19850409,19023,19023,19023,19023,0,0
19850415,18161,18161,18161,18161,0,0
19850422,17862,17862,17862,17862,0,0
19850429,18784,18784,18784,18784,0,0
19850506,18496,18496,18496,18496,0,0
19850513,18360,18360,18360,18360,0,0
19850520,17301,17301,17301,17301,0,0
19850527,17945,17945,17945,17945,0,0
19850601,17851,17851,17851,17851,0,0
19850610,17549,17549,17549,17549,0,0
19850617,17618,17618,17618,17618,0,0
19850624,17437,17437,17437,17437,0,0
19850701,17337,17337,17337,17337,0,0
19850708,16504,16504,16504,16504,0,0
19850715,16167,16167,16167,16167,0,0
19850723,16009,16009,16009,16009,0,0
19850729,15709,15709,15709,15709,0,0
19850805,15681,15681,15681,15681,0,0
19850812,15696,15696,15696,15696,0,0
19850819,15562,15562,15562,15562,0,0
19850826,15573,15573,15573,15573,0,0
19850902,15539,15539,15539,15539,0,0
19850909,15499,15499,15499,15499,0,0
19850916,15505,15505,15505,15505,0,0
19850923,15309,15309,15309,15309,0,0
19850930,14979,14979,14979,14979,0,0
19851007,14829,14829,14829,14829,0,0
19851014,14663,14663,14663,14663,0,0
19851021,14595,14595,14595,14595,0,0
19851028,14485,14485,14485,14485,0,0
19851104,14355,14355,14355,14355,0,0
19851111,14313,14313,14313,14313,0,0
19851118,14185,14185,14185,14185,0,0
19851125,14052,14052,14052,14052,0,0
19851202,13872,13872,13872,13872,0,0
19851209,13734,13734,13734,13734,0,0
19851216,13694,13694,13694,13694,0,0
19851223,13479,13479,13479,13479,0,0
19860101,13423,13423,13423,13423,0,0
19860106,13235,13235,13235,13235,0,0
19860113,13096,13096,13096,13096,0,0
19860120,13033,13033,13033,13033,0,0
19860127,12908,12908,12908,12908,0,0
19860201,12862,12862,12862,12862,0,0
19860210,12843,12843,12843,12843,0,0
19860217,12643,12643,12643,12643,0,0
19860224,12698,12698,12698,12698,0,0
19860301,12305,12305,12305,12305,0,0
19860303,12305,12305,12305,12305,0,0
19860310,11923,11923,11923,11923,0,0
19860317,11853,11853,11853,11853,0,0
19860318,11853,11853,11853,11853,0,0
19860324,11071,11071,11071,11071,0,0
19860401,11117,11117,11117,11117,0,0
19860407,11007,11007,11007,11007,0,0
19860409,11007,11007,11007,11007,0,0
19860414,10971,10971,10971,10971,0,0
19860421,11039,11039,11039,11039,0,0
19860428,10824,10824,10824,10824,0,0
19860505,10681,10681,10681,10681,0,0
19860512,10638,10638,10638,10638,0,0
19860519,10593,10593,10593,10593,0,0
19860526,10632,10632,10632,10632,0,0
19860602,10691,10691,10691,10691,0,0
19860609,10521,10521,10521,10521,0,0
19860616,10607,10607,10607,10607,0,0
19860623,10663,10663,10663,10663,0,0
19860630,10453,10453,10453,10453,0,0
19860707,10402,10402,10402,10402,0,0
19860714,10481,10481,10481,10481,0,0
19860721,10421,10421,10421,10421,0,0
19860728,10397,10397,10397,10397,0,0
19860804,10307,10307,10307,10307,0,0
19860811,10332,10332,10332,10332,0,0
19860818,10232,10232,10232,10232,0,0
19860825,10215,10215,10215,10215,0,0
19860901,10173,10173,10173,10173,0,0
19860908,10048,10048,10048,10048,0,0
19860915,10038,10038,10038,10038,0,0
19860922,9979.26,9979.26,9979.26,9979.26,0,0
19860929,9944.56,9944.56,9944.56,9944.56,0,0
19861006,9878.89,9878.89,9878.89,9878.89,0,0
19861013,9837.71,9837.71,9837.71,9837.71,0,0
19861020,9738.74,9738.74,9738.74,9738.74,0,0
19861027,9668.28,9668.28,9668.28,9668.28,0,0
19861101,9575.06,9575.06,9575.06,9575.06,0,0
19861110,9394.89,9394.89,9394.89,9394.89,0,0
19861117,9289.45,9289.45,9289.45,9289.45,0,0
19861124,9331.01,9331.01,9331.01,9331.01,0,0
19861201,9240.15,9240.15,9240.15,9240.15,0,0
19861208,9206.24,9206.24,9206.24,9206.24,0,0
19861215,9166.96,9166.96,9166.96,9166.96,0,0
19861222,9175.4,9175.4,9175.4,9175.4,0,0
19861231,9033.93,9033.93,9033.93,9033.93,0,0
19870112,8935.07,8935.07,8935.07,8935.07,0,0
19870119,8843.26,8843.26,8843.26,8843.26,0,0
19870126,8826.13,8826.13,8826.13,8826.13,0,0
19870201,8678.07,8678.07,8678.07,8678.07,0,0
19870209,8545.99,8545.99,8545.99,8545.99,0,0
19870216,8560.2,8560.2,8560.2,8560.2,0,0
19870223,8530.92,8530.92,8530.92,8530.92,0,0
19870302,8520.02,8520.02,8520.02,8520.02,0,0
19870309,8413.42,8413.42,8413.42,8413.42,0,0
19870316,8357.97,8357.97,8357.97,8357.97,0,0
19870323,8260.41,8260.41,8260.41,8260.41,0,0
19870330,8148.83,8148.83,8148.83,8148.83,0,0
19870406,8109.3,8109.3,8109.3,8109.3,0,0
19870413,8058.15,8058.15,8058.15,8058.15,0,0
19870421,7989.65,7989.65,7989.65,7989.65,0,0
19870427,7921.72,7921.72,7921.72,7921.72,0,0
19870504,7886.93,7886.93,7886.93,7886.93,0,0
19870511,7777.5,7777.5,7777.5,7777.5,0,0
19870518,7762.4,7762.4,7762.4,7762.4,0,0
19870525,7722.14,7722.14,7722.14,7722.14,0,0
19870601,7708.03,7708.03,7708.03,7708.03,0,0
19870608,7700.5,7700.5,7700.5,7700.5,0,0
19870615,7626.78,7626.78,7626.78,7626.78,0,0
19870622,7582.28,7582.28,7582.28,7582.28,0,0
19870629,7575.61,7575.61,7575.61,7575.61,0,0
19870706,7499.39,7499.39,7499.39,7499.39,0,0
19870713,7445.77,7445.77,7445.77,7445.77,0,0
19870720,7423.13,7423.13,7423.13,7423.13,0,0
19870727,7441.69,7441.69,7441.69,7441.69,0,0
19870803,7391.93,7391.93,7391.93,7391.93,0,0
19870810,7403.06,7403.06,7403.06,7403.06,0,0
19870817,7400.24,7400.24,7400.24,7400.24,0,0
19870824,7274.8,7274.8,7274.8,7274.8,0,0
19870831,7177.8,7177.8,7177.8,7177.8,0,0
19870907,7103.4,7103.4,7103.4,7103.4,0,0
19870914,7000,7000,7000,7000,0,0
19870921,7016.67,7016.67,7016.67,7016.67,0,0
19870928,6969.11,6969.11,6969.11,6969.11,0,0
19871005,6934.26,6934.26,6934.26,6934.26,0,0
19871012,6840.05,6840.05,6840.05,6840.05,0,0
19871019,6776,6776,6776,6776,0,0
19871026,6702.51,6702.51,6702.51,6702.51,0,0
19871102,6596.4,6596.4,6596.4,6596.4,0,0
19871109,6482.07,6482.07,6482.07,6482.07,0,0
19871116,6345.27,6345.27,6345.27,6345.27,0,0
19871123,6324.84,6324.84,6324.84,6324.84,0,0
19871130,6278.15,6278.15,6278.15,6278.15,0,0
19871207,6206.38,6206.38,6206.38,6206.38,0,0
19871214,6135.93,6135.93,6135.93,6135.93,0,0
19871221,6018.38,6018.38,6018.38,6018.38,0,0
19871228,5935.04,5935.04,5935.04,5935.04,0,0
