Date,Open,High,Low,Close,Volume,OpenInt
19840924,3.4891,3.4891,3.4891,3.4891,0,0
19841001,3.4181,3.4181,3.4181,3.4181,0,0
19841008,3.4652,3.4652,3.4652,3.4652,0,0
19841015,3.4957,3.4957,3.4957,3.4957,0,0
19841022,3.5911,3.5911,3.5911,3.5911,0,0
19841029,3.5187,3.5187,3.5187,3.5187,0,0
19841105,3.4902,3.4902,3.4902,3.4902,0,0
19841112,3.3617,3.3617,3.3617,3.3617,0,0
19841119,3.3404,3.3404,3.3404,3.3404,0,0
19841126,3.4022,3.4022,3.4022,3.4022,0,0
19841201,3.4674,3.4674,3.4674,3.4674,0,0
19841210,3.5033,3.5033,3.5033,3.5033,0,0
19841217,3.5022,3.5022,3.5022,3.5022,0,0
19841224,3.5044,3.5044,3.5044,3.5044,0,0
19850101,3.5283,3.5283,3.5283,3.5283,0,0
19850107,3.5929,3.5929,3.5929,3.5929,0,0
19850114,3.5755,3.5755,3.5755,3.5755,0,0
19850121,3.6392,3.6392,3.6392,3.6392,0,0
19850128,3.6577,3.6577,3.6577,3.6577,0,0
19850204,3.6194,3.6194,3.6194,3.6194,0,0
19850211,3.6835,3.6835,3.6835,3.6835,0,0
19850218,3.749,3.749,3.749,3.749,0,0
19850225,3.779,3.779,3.779,3.779,0,0
19850304,3.8064,3.8064,3.8064,3.8064,0,0
19850311,3.9413,3.9413,3.9413,3.9413,0,0
19850318,3.7904,3.7904,3.7904,3.7904,0,0
19850325,3.7511,3.7511,3.7511,3.7511,0,0
19850329,3.7484,3.7484,3.7484,3.7484,0,0
19850401,3.5571,3.5571,3.5571,3.5571,0,0
19850409,3.4919,3.4919,3.4919,3.4919,0,0
19850415,3.5531,3.5531,3.5531,3.5531,0,0
19850422,3.3822,3.3822,3.3822,3.3822,0,0
19850429,3.403,3.403,3.403,3.403,0,0
19850506,3.4636,3.4636,3.4636,3.4636,0,0
19850513,3.6229,3.6229,3.6229,3.6229,0,0
19850520,3.408,3.408,3.408,3.408,0,0
19850527,3.408,3.408,3.408,3.408,0,0
19850601,3.4644,3.4644,3.4644,3.4644,0,0
19850610,3.3915,3.3915,3.3915,3.3915,0,0
19850617,3.4722,3.4722,3.4722,3.4722,0,0
19850624,3.4129,3.4129,3.4129,3.4129,0,0
19850701,3.4095,3.4095,3.4095,3.4095,0,0
19850708,3.3718,3.3718,3.3718,3.3718,0,0
19850715,3.322,3.322,3.322,3.322,0,0
19850723,3.1835,3.1835,3.1835,3.1835,0,0
19850729,3.1504,3.1504,3.1504,3.1504,0,0
19850805,3.1213,3.1213,3.1213,3.1213,0,0
19850812,3.1842,3.1842,3.1842,3.1842,0,0
19850819,3.0659,3.0659,3.0659,3.0659,0,0
19850826,3.0748,3.0748,3.0748,3.0748,0,0
19850902,3.1,3.1,3.1,3.1,0,0
19850909,3.1512,3.1512,3.1512,3.1512,0,0
19850916,3.2695,3.2695,3.2695,3.2695,0,0
19850923,3.1842,3.1842,3.1842,3.1842,0,0
19850930,3.0218,3.0218,3.0218,3.0218,0,0
19851007,3.0024,3.0024,3.0024,3.0024,0,0
19851014,2.9595,2.9595,2.9595,2.9595,0,0
19851021,3.0104,3.0104,3.0104,3.0104,0,0
19851028,2.9667,2.9667,2.9667,2.9667,0,0
19851104,2.8777,2.8777,2.8777,2.8777,0,0
19851111,2.9457,2.9457,2.9457,2.9457,0,0
19851118,2.9786,2.9786,2.9786,2.9786,0,0
19851125,2.9598,2.9598,2.9598,2.9598,0,0
19851202,2.9234,2.9234,2.9234,2.9234,0,0
19851209,2.8752,2.8752,2.8752,2.8752,0,0
19851216,2.8961,2.8961,2.8961,2.8961,0,0
19851223,2.8736,2.8736,2.8736,2.8736,0,0
19860101,2.8736,2.8736,2.8736,2.8736,0,0
19860106,2.8362,2.8362,2.8362,2.8362,0,0
19860113,2.8091,2.8091,2.8091,2.8091,0,0
19860120,2.8523,2.8523,2.8523,2.8523,0,0
19860127,2.8654,2.8654,2.8654,2.8654,0,0
19860201,2.8157,2.8157,2.8157,2.8157,0,0
19860210,2.8248,2.8248,2.8248,2.8248,0,0
19860217,2.7903,2.7903,2.7903,2.7903,0,0
19860224,2.7961,2.7961,2.7961,2.7961,0,0
19860301,2.7115,2.7115,2.7115,2.7115,0,0
19860303,2.707,2.707,2.707,2.707,0,0
19860310,2.6193,2.6193,2.6193,2.6193,0,0
19860317,2.7032,2.7032,2.7032,2.7032,0,0
19860318,2.7076,2.7076,2.7076,2.7076,0,0
19860324,2.6874,2.6874,2.6874,2.6874,0,0
19860401,2.7401,2.7401,2.7401,2.7401,0,0
19860407,2.7769,2.7769,2.7769,2.7769,0,0
19860409,2.7782,2.7782,2.7782,2.7782,0,0
19860414,2.837,2.837,2.837,2.837,0,0
19860421,2.8065,2.8065,2.8065,2.8065,0,0
19860428,2.6379,2.6379,2.6379,2.6379,0,0
19860505,2.6253,2.6253,2.6253,2.6253,0,0
19860512,2.6794,2.6794,2.6794,2.6794,0,0
19860519,2.6358,2.6358,2.6358,2.6358,0,0
19860526,2.685,2.685,2.685,2.685,0,0
19860602,2.7675,2.7675,2.7675,2.7675,0,0
19860609,2.7707,2.7707,2.7707,2.7707,0,0
19860616,2.7201,2.7201,2.7201,2.7201,0,0
19860623,2.7201,2.7201,2.7201,2.7201,0,0
19860630,2.7201,2.7201,2.7201,2.7201,0,0
19860707,2.6721,2.6721,2.6721,2.6721,0,0
19860714,2.6721,2.6721,2.6721,2.6721,0,0
19860721,2.6721,2.6721,2.6721,2.6721,0,0
19860728,2.6233,2.6233,2.6233,2.6233,0,0
19860804,2.6327,2.6327,2.6327,2.6327,0,0
19860811,2.6472,2.6472,2.6472,2.6472,0,0
19860818,2.6366,2.6366,2.6366,2.6366,0,0
19860825,2.6482,2.6482,2.6482,2.6482,0,0
19860901,2.6317,2.6317,2.6317,2.6317,0,0
19860908,2.6151,2.6151,2.6151,2.6151,0,0
19860915,2.6583,2.6583,2.6583,2.6583,0,0
19860922,2.6483,2.6483,2.6483,2.6483,0,0
19860929,2.6483,2.6483,2.6483,2.6483,0,0
19861006,2.6442,2.6442,2.6442,2.6442,0,0
19861013,2.6184,2.6184,2.6184,2.6184,0,0
19861020,2.6115,2.6115,2.6115,2.6115,0,0
19861027,2.6159,2.6159,2.6159,2.6159,0,0
19861101,2.6678,2.6678,2.6678,2.6678,0,0
19861110,2.7128,2.7128,2.7128,2.7128,0,0
19861117,2.6785,2.6785,2.6785,2.6785,0,0
19861124,2.6704,2.6704,2.6704,2.6704,0,0
19861201,2.6685,2.6685,2.6685,2.6685,0,0
19861208,2.6134,2.6134,2.6134,2.6134,0,0
19861215,2.6757,2.6757,2.6757,2.6757,0,0
19861222,2.7053,2.7053,2.7053,2.7053,0,0
19861231,2.6651,2.6651,2.6651,2.6651,0,0
19870112,2.6245,2.6245,2.6245,2.6245,0,0
19870119,2.5734,2.5734,2.5734,2.5734,0,0
19870126,2.5318,2.5318,2.5318,2.5318,0,0
19870201,2.521,2.521,2.521,2.521,0,0
19870209,2.461,2.461,2.461,2.461,0,0
19870216,2.5165,2.5165,2.5165,2.5165,0,0
19870223,2.5103,2.5103,2.5103,2.5103,0,0
19870302,2.538,2.538,2.538,2.538,0,0
19870309,2.534,2.534,2.534,2.534,0,0
19870316,2.5863,2.5863,2.5863,2.5863,0,0
19870323,2.561,2.561,2.561,2.561,0,0
19870330,2.5318,2.5318,2.5318,2.5318,0,0
19870406,2.5293,2.5293,2.5293,2.5293,0,0
19870413,2.5723,2.5723,2.5723,2.5723,0,0
19870421,2.5789,2.5789,2.5789,2.5789,0,0
19870427,2.5986,2.5986,2.5986,2.5986,0,0
19870504,2.6281,2.6281,2.6281,2.6281,0,0
19870511,2.6169,2.6169,2.6169,2.6169,0,0
19870518,2.6649,2.6649,2.6649,2.6649,0,0
19870525,2.6557,2.6557,2.6557,2.6557,0,0
19870601,2.7302,2.7302,2.7302,2.7302,0,0
19870608,2.8127,2.8127,2.8127,2.8127,0,0
19870615,2.7854,2.7854,2.7854,2.7854,0,0
19870622,2.8164,2.8164,2.8164,2.8164,0,0
19870629,2.8551,2.8551,2.8551,2.8551,0,0
19870706,2.833,2.833,2.833,2.833,0,0
19870713,2.8444,2.8444,2.8444,2.8444,0,0
19870720,2.8444,2.8444,2.8444,2.8444,0,0
19870727,2.8701,2.8701,2.8701,2.8701,0,0
19870803,2.9143,2.9143,2.9143,2.9143,0,0
19870810,2.974,2.974,2.974,2.974,0,0
19870817,3.0232,3.0232,3.0232,3.0232,0,0
19870824,2.9713,2.9713,2.9713,2.9713,0,0
19870831,2.9219,2.9219,2.9219,2.9219,0,0
19870907,2.9024,2.9024,2.9024,2.9024,0,0
19870914,2.8681,2.8681,2.8681,2.8681,0,0
19870921,2.9142,2.9142,2.9142,2.9142,0,0
19870928,2.9036,2.9036,2.9036,2.9036,0,0
19871005,2.9531,2.9531,2.9531,2.9531,0,0
19871012,2.9444,2.9444,2.9444,2.9444,0,0
19871019,2.916,2.916,2.916,2.916,0,0
19871026,2.8787,2.8787,2.8787,2.8787,0,0
19871102,2.8532,2.8532,2.8532,2.8532,0,0
19871109,2.7755,2.7755,2.7755,2.7755,0,0
19871116,2.7036,2.7036,2.7036,2.7036,0,0
19871123,2.7708,2.7708,2.7708,2.7708,0,0
19871130,2.7595,2.7595,2.7595,2.7595,0,0
19871207,2.7343,2.7343,2.7343,2.7343,0,0
19871214,2.7853,2.7853,2.7853,2.7853,0,0
19871221,2.7613,2.7613,2.7613,2.7613,0,0
19871228,2.762,2.762,2.762,2.762,0,0
19880104,2.7241,2.7241,2.7241,2.7241,0,0
19880111,2.7331,2.7331,2.7331,2.7331,0,0
19880118,2.7712,2.7712,2.7712,2.7712,0,0
19880125,2.842,2.842,2.842,2.842,0,0
19880201,2.8273,2.8273,2.8273,2.8273,0,0
19880208,2.8533,2.8533,2.8533,2.8533,0,0
19880215,2.8731,2.8731,2.8731,2.8731,0,0
19880222,2.894,2.894,2.894,2.894,0,0
19880229,2.8592,2.8592,2.8592,2.8592,0,0
19880307,2.8584,2.8584,2.8584,2.8584,0,0
19880314,2.8181,2.8181,2.8181,2.8181,0,0
19880321,2.8027,2.8027,2.8027,2.8027,0,0
19880328,2.8453,2.8453,2.8453,2.8453,0,0
19880405,2.8012,2.8012,2.8012,2.8012,0,0
19880411,2.7887,2.7887,2.7887,2.7887,0,0
19880418,2.8314,2.8314,2.8314,2.8314,0,0
19880425,2.7946,2.7946,2.7946,2.7946,0,0
19880502,2.8081,2.8081,2.8081,2.8081,0,0
19880509,2.8273,2.8273,2.8273,2.8273,0,0
19880516,2.8217,2.8217,2.8217,2.8217,0,0
19880523,2.833,2.833,2.833,2.833,0,0
19880530,2.8445,2.8445,2.8445,2.8445,0,0
19880606,2.8624,2.8624,2.8624,2.8624,0,0
19880613,2.8787,2.8787,2.8787,2.8787,0,0
19880620,2.8944,2.8944,2.8944,2.8944,0,0
19880627,2.939,2.939,2.939,2.939,0,0
19880704,3.019,3.019,3.019,3.019,0,0
19880711,3.0513,3.0513,3.0513,3.0513,0,0
19880718,3.0904,3.0904,3.0904,3.0904,0,0
19880725,3.1622,3.1622,3.1622,3.1622,0,0
19880801,3.103,3.103,3.103,3.103,0,0
19880808,3.1233,3.1233,3.1233,3.1233,0,0
19880815,3.1692,3.1692,3.1692,3.1692,0,0
19880822,3.1585,3.1585,3.1585,3.1585,0,0
19880829,3.1766,3.1766,3.1766,3.1766,0,0
19880905,3.1324,3.1324,3.1324,3.1324,0,0
19880912,3.1006,3.1006,3.1006,3.1006,0,0
19880919,3.077,3.077,3.077,3.077,0,0
19880926,3.1143,3.1143,3.1143,3.1143,0,0
19881003,3.1381,3.1381,3.1381,3.1381,0,0
19881010,3.0951,3.0951,3.0951,3.0951,0,0
19881017,3.0888,3.0888,3.0888,3.0888,0,0
