Date,Open,High,Low,Close,Volume,OpenInt
19960902,1.4158,1.4158,1.4158,1.4158,0,0
19960903,1.4196,1.4196,1.4196,1.4196,0,0
19960904,1.4189,1.4189,1.4189,1.4189,0,0
19960905,1.4182,1.4182,1.4182,1.4182,0,0
19960906,1.4188,1.4188,1.4188,1.4188,0,0
19960909,1.4217,1.4217,1.4217,1.4217,0,0
19960910,1.4222,1.4222,1.4222,1.4222,0,0
19960911,1.4207,1.4207,1.4207,1.4207,0,0
19960912,1.4204,1.4204,1.4204,1.4204,0,0
19960913,1.4193,1.4193,1.4193,1.4193,0,0
19960916,1.4187,1.4187,1.4187,1.4187,0,0
19960917,1.4176,1.4176,1.4176,1.4176,0,0
19960918,1.4186,1.4186,1.4186,1.4186,0,0
19960919,1.4193,1.4193,1.4193,1.4193,0,0
19960920,1.4206,1.4206,1.4206,1.4206,0,0
19960923,1.4205,1.4205,1.4205,1.4205,0,0
19960924,1.4203,1.4203,1.4203,1.4203,0,0
19960925,1.4216,1.4216,1.4216,1.4216,0,0
19960926,1.4251,1.4251,1.4251,1.4251,0,0
19960927,1.4253,1.4253,1.4253,1.4253,0,0
19960930,1.4241,1.4241,1.4241,1.4241,0,0
19961001,1.4224,1.4224,1.4224,1.4224,0,0
19961002,1.4213,1.4213,1.4213,1.4213,0,0
19961003,1.4211,1.4211,1.4211,1.4211,0,0
19961004,1.42,1.42,1.42,1.42,0,0
19961007,1.4204,1.4204,1.4204,1.4204,0,0
19961008,1.4144,1.4144,1.4144,1.4144,0,0
19961009,1.4158,1.4158,1.4158,1.4158,0,0
19961010,1.4169,1.4169,1.4169,1.4169,0,0
19961011,1.4153,1.4153,1.4153,1.4153,0,0
19961014,1.4153,1.4153,1.4153,1.4153,0,0
19961015,1.4159,1.4159,1.4159,1.4159,0,0
19961016,1.412,1.412,1.412,1.412,0,0
19961017,1.414,1.414,1.414,1.414,0,0
19961018,1.4106,1.4106,1.4106,1.4106,0,0
19961021,1.4108,1.4108,1.4108,1.4108,0,0
19961022,1.4073,1.4073,1.4073,1.4073,0,0
19961023,1.4072,1.4072,1.4072,1.4072,0,0
19961024,1.4045,1.4045,1.4045,1.4045,0,0
19961025,1.4037,1.4037,1.4037,1.4037,0,0
19961028,1.4073,1.4073,1.4073,1.4073,0,0
19961029,1.4028,1.4028,1.4028,1.4028,0,0
19961030,1.4037,1.4037,1.4037,1.4037,0,0
19961031,1.3956,1.3956,1.3956,1.3956,0,0
19961104,1.3955,1.3955,1.3955,1.3955,0,0
19961105,1.3764,1.3764,1.3764,1.3764,0,0
19961106,1.3681,1.3681,1.3681,1.3681,0,0
19961107,1.358,1.358,1.358,1.358,0,0
19961108,1.3581,1.3581,1.3581,1.3581,0,0
19961112,1.3561,1.3561,1.3561,1.3561,0,0
19961113,1.35,1.35,1.35,1.35,0,0
19961114,1.3502,1.3502,1.3502,1.3502,0,0
19961115,1.3488,1.3488,1.3488,1.3488,0,0
19961118,1.3496,1.3496,1.3496,1.3496,0,0
19961119,1.3493,1.3493,1.3493,1.3493,0,0
19961120,1.3481,1.3481,1.3481,1.3481,0,0
19961121,1.3469,1.3469,1.3469,1.3469,0,0
19961122,1.3458,1.3458,1.3458,1.3458,0,0
19961125,1.3489,1.3489,1.3489,1.3489,0,0
19961126,1.3479,1.3479,1.3479,1.3479,0,0
19961127,1.3503,1.3503,1.3503,1.3503,0,0
19961128,1.3479,1.3479,1.3479,1.3479,0,0
19961129,1.3481,1.3481,1.3481,1.3481,0,0
19961202,1.3474,1.3474,1.3474,1.3474,0,0
19961203,1.3429,1.3429,1.3429,1.3429,0,0
19961204,1.3405,1.3405,1.3405,1.3405,0,0
19961205,1.3385,1.3385,1.3385,1.3385,0,0
19961206,1.3389,1.3389,1.3389,1.3389,0,0
19961209,1.3403,1.3403,1.3403,1.3403,0,0
19961210,1.3387,1.3387,1.3387,1.3387,0,0
19961211,1.3367,1.3367,1.3367,1.3367,0,0
19961212,1.3382,1.3382,1.3382,1.3382,0,0
19961213,1.3383,1.3383,1.3383,1.3383,0,0
19961216,1.3398,1.3398,1.3398,1.3398,0,0
19961217,1.339,1.339,1.339,1.339,0,0
19961218,1.3392,1.3392,1.3392,1.3392,0,0
19961219,1.3387,1.3387,1.3387,1.3387,0,0
19961220,1.3393,1.3393,1.3393,1.3393,0,0
19961223,1.3404,1.3404,1.3404,1.3404,0,0
19961224,1.3393,1.3393,1.3393,1.3393,0,0
19961230,1.34,1.34,1.34,1.34,0,0
19961231,1.3363,1.3363,1.3363,1.3363,0,0
19970102,1.3359,1.3359,1.3359,1.3359,0,0
19970103,1.3353,1.3353,1.3353,1.3353,0,0
19970106,1.3208,1.3208,1.3208,1.3208,0,0
19970107,1.3223,1.3223,1.3223,1.3223,0,0
19970108,1.3175,1.3175,1.3175,1.3175,0,0
19970109,1.3144,1.3144,1.3144,1.3144,0,0
19970110,1.3108,1.3108,1.3108,1.3108,0,0
19970113,1.3052,1.3052,1.3052,1.3052,0,0
19970114,1.3089,1.3089,1.3089,1.3089,0,0
