Date,Open,High,Low,Close,Volume,OpenInt
19951023,26.16,26.16,26.16,26.16,0,0
19951024,26.18,26.18,26.18,26.18,0,0
19951025,26.2,26.2,26.2,26.2,0,0
19951026,26.22,26.22,26.22,26.22,0,0
19951027,26.21,26.21,26.21,26.21,0,0
19951030,26.21,26.21,26.21,26.21,0,0
19951031,26.24,26.24,26.24,26.24,0,0
19951102,26.29,26.29,26.29,26.29,0,0
19951103,26.27,26.27,26.27,26.27,0,0
19951106,26.28,26.28,26.28,26.28,0,0
19951107,26.44,26.44,26.44,26.44,0,0
19951108,26.45,26.45,26.45,26.45,0,0
19951109,26.53,26.53,26.53,26.53,0,0
19951110,26.79,26.79,26.79,26.79,0,0
19951113,26.71,26.71,26.71,26.71,0,0
19951114,26.6,26.6,26.6,26.6,0,0
19951115,26.56,26.56,26.56,26.56,0,0
19951116,26.64,26.64,26.64,26.64,0,0
19951117,26.76,26.76,26.76,26.76,0,0
19951120,26.76,26.76,26.76,26.76,0,0
19951121,26.7,26.7,26.7,26.7,0,0
19951122,26.54,26.54,26.54,26.54,0,0
19951123,26.59,26.59,26.59,26.59,0,0
19951124,26.68,26.68,26.68,26.68,0,0
19951127,26.83,26.83,26.83,26.83,0,0
19951128,27.11,27.11,27.11,27.11,0,0
19951129,27.12,27.12,27.12,27.12,0,0
19951130,27.04,27.04,27.04,27.04,0,0
19951201,27,27,27,27,0,0
19951204,27.01,27.01,27.01,27.01,0,0
19951205,27.1,27.1,27.1,27.1,0,0
19951206,27.23,27.23,27.23,27.23,0,0
19951207,27.29,27.29,27.29,27.29,0,0
19951208,27.42,27.42,27.42,27.42,0,0
19951211,27.24,27.24,27.24,27.24,0,0
19951212,27.21,27.21,27.21,27.21,0,0
19951213,27.1,27.1,27.1,27.1,0,0
19951214,27.14,27.14,27.14,27.14,0,0
19951215,27.16,27.16,27.16,27.16,0,0
19951218,27.25,27.25,27.25,27.25,0,0
19951219,27.22,27.22,27.22,27.22,0,0
19951220,27.33,27.33,27.33,27.33,0,0
19951221,27.35,27.35,27.35,27.35,0,0
19951222,27.34,27.34,27.34,27.34,0,0
19951227,27.31,27.31,27.31,27.31,0,0
19951228,27.39,27.39,27.39,27.39,0,0
19951229,27.4,27.4,27.4,27.4,0,0
19960102,27.67,27.67,27.67,27.67,0,0
19960103,28.05,28.05,28.05,28.05,0,0
19960104,28.21,28.21,28.21,28.21,0,0
19960105,28.41,28.41,28.41,28.41,0,0
19960108,28.65,28.65,28.65,28.65,0,0
19960109,28.73,28.73,28.73,28.73,0,0
19960110,28.85,28.85,28.85,28.85,0,0
19960111,28.85,28.85,28.85,28.85,0,0
19960112,28.89,28.89,28.89,28.89,0,0
19960115,28.75,28.75,28.75,28.75,0,0
19960116,29.02,29.02,29.02,29.02,0,0
19960117,29.08,29.08,29.08,29.08,0,0
19960118,28.96,28.96,28.96,28.96,0,0
19960119,29.17,29.17,29.17,29.17,0,0
19960122,29.51,29.51,29.51,29.51,0,0
19960123,29.49,29.49,29.49,29.49,0,0
19960124,29.53,29.53,29.53,29.53,0,0
19960125,29.89,29.89,29.89,29.89,0,0
19960126,29.92,29.92,29.92,29.92,0,0
19960129,29.97,29.97,29.97,29.97,0,0
19960130,29.98,29.98,29.98,29.98,0,0
19960131,30.05,30.05,30.05,30.05,0,0
19960201,30.5,30.5,30.5,30.5,0,0
19960202,30.62,30.62,30.62,30.62,0,0
19960205,30.56,30.56,30.56,30.56,0,0
19960206,30.39,30.39,30.39,30.39,0,0
19960207,30.17,30.17,30.17,30.17,0,0
19960208,30.25,30.25,30.25,30.25,0,0
19960209,30.05,30.05,30.05,30.05,0,0
19960212,29.8,29.8,29.8,29.8,0,0
19960213,30.02,30.02,30.02,30.02,0,0
19960214,30.05,30.05,30.05,30.05,0,0
19960215,30.07,30.07,30.07,30.07,0,0
19960216,30.27,30.27,30.27,30.27,0,0
19960219,30.5,30.5,30.5,30.5,0,0
19960220,30.1,30.1,30.1,30.1,0,0
19960221,30.18,30.18,30.18,30.18,0,0
19960222,30.1,30.1,30.1,30.1,0,0
19960223,30.08,30.08,30.08,30.08,0,0
19960226,30.15,30.15,30.15,30.15,0,0
19960227,30.21,30.21,30.21,30.21,0,0
19960228,30.21,30.21,30.21,30.21,0,0
19960229,30.69,30.69,30.69,30.69,0,0
19960301,30.7,30.7,30.7,30.7,0,0
19960304,30.45,30.45,30.45,30.45,0,0
19960305,30.46,30.46,30.46,30.46,0,0
19960306,30.72,30.72,30.72,30.72,0,0
19960307,30.56,30.56,30.56,30.56,0,0
19960308,30.27,30.27,30.27,30.27,0,0
19960311,30.85,30.85,30.85,30.85,0,0
19960312,30.89,30.89,30.89,30.89,0,0
19960313,30.92,30.92,30.92,30.92,0,0
19960314,30.85,30.85,30.85,30.85,0,0
19960315,30.83,30.83,30.83,30.83,0,0
19960318,30.91,30.91,30.91,30.91,0,0
19960319,30.86,30.86,30.86,30.86,0,0
19960320,30.92,30.92,30.92,30.92,0,0
19960321,31.21,31.21,31.21,31.21,0,0
19960322,31.31,31.31,31.31,31.31,0,0
19960325,31.31,31.31,31.31,31.31,0,0
19960326,31.48,31.48,31.48,31.48,0,0
19960327,31.5,31.5,31.5,31.5,0,0
19960328,31.35,31.35,31.35,31.35,0,0
19960329,31.22,31.22,31.22,31.22,0,0
19960401,31.22,31.22,31.22,31.22,0,0
19960402,31.14,31.14,31.14,31.14,0,0
19960403,31.15,31.15,31.15,31.15,0,0
19960404,31.24,31.24,31.24,31.24,0,0
19960405,31.12,31.12,31.12,31.12,0,0
19960409,31.21,31.21,31.21,31.21,0,0
19960410,31.26,31.26,31.26,31.26,0,0
19960411,31.38,31.38,31.38,31.38,0,0
19960412,31.36,31.36,31.36,31.36,0,0
19960415,31.38,31.38,31.38,31.38,0,0
19960416,31.41,31.41,31.41,31.41,0,0
19960417,31.68,31.68,31.68,31.68,0,0
19960418,32.35,32.35,32.35,32.35,0,0
19960419,32.63,32.63,32.63,32.63,0,0
19960422,33.04,33.04,33.04,33.04,0,0
19960423,33.7,33.7,33.7,33.7,0,0
19960424,34.56,34.56,34.56,34.56,0,0
