Date,Open,High,Low,Close,Volume,OpenInt
19960806,1.3938,1.3938,1.3938,1.3938,0,0
19960807,1.3868,1.3868,1.3868,1.3868,0,0
19960808,1.3896,1.3896,1.3896,1.3896,0,0
19960809,1.3877,1.3877,1.3877,1.3877,0,0
19960812,1.3885,1.3885,1.3885,1.3885,0,0
19960813,1.391,1.391,1.391,1.391,0,0
19960814,1.3881,1.3881,1.3881,1.3881,0,0
19960816,1.3843,1.3843,1.3843,1.3843,0,0
19960819,1.3874,1.3874,1.3874,1.3874,0,0
19960820,1.3858,1.3858,1.3858,1.3858,0,0
19960821,1.3854,1.3854,1.3854,1.3854,0,0
19960822,1.3877,1.3877,1.3877,1.3877,0,0
19960823,1.3884,1.3884,1.3884,1.3884,0,0
19960826,1.3848,1.3848,1.3848,1.3848,0,0
19960827,1.3891,1.3891,1.3891,1.3891,0,0
19960828,1.3915,1.3915,1.3915,1.3915,0,0
19960829,1.3886,1.3886,1.3886,1.3886,0,0
19960830,1.3903,1.3903,1.3903,1.3903,0,0
19960902,1.3859,1.3859,1.3859,1.3859,0,0
19960903,1.3877,1.3877,1.3877,1.3877,0,0
19960904,1.3854,1.3854,1.3854,1.3854,0,0
19960905,1.3837,1.3837,1.3837,1.3837,0,0
19960906,1.3833,1.3833,1.3833,1.3833,0,0
19960909,1.3823,1.3823,1.3823,1.3823,0,0
19960910,1.3806,1.3806,1.3806,1.3806,0,0
19960911,1.3786,1.3786,1.3786,1.3786,0,0
19960912,1.3747,1.3747,1.3747,1.3747,0,0
19960913,1.3742,1.3742,1.3742,1.3742,0,0
19960916,1.3756,1.3756,1.3756,1.3756,0,0
19960917,1.373,1.373,1.373,1.373,0,0
19960918,1.3776,1.3776,1.3776,1.3776,0,0
19960919,1.3738,1.3738,1.3738,1.3738,0,0
19960920,1.3792,1.3792,1.3792,1.3792,0,0
19960923,1.3774,1.3774,1.3774,1.3774,0,0
19960924,1.3806,1.3806,1.3806,1.3806,0,0
19960925,1.3739,1.3739,1.3739,1.3739,0,0
19960926,1.3786,1.3786,1.3786,1.3786,0,0
19960927,1.3737,1.3737,1.3737,1.3737,0,0
19960930,1.375,1.375,1.375,1.375,0,0
19961001,1.3701,1.3701,1.3701,1.3701,0,0
19961002,1.3682,1.3682,1.3682,1.3682,0,0
19961003,1.3707,1.3707,1.3707,1.3707,0,0
19961004,1.3674,1.3674,1.3674,1.3674,0,0
19961007,1.368,1.368,1.368,1.368,0,0
19961008,1.368,1.368,1.368,1.368,0,0
19961009,1.3726,1.3726,1.3726,1.3726,0,0
19961010,1.3711,1.3711,1.3711,1.3711,0,0
19961011,1.3692,1.3692,1.3692,1.3692,0,0
19961014,1.3701,1.3701,1.3701,1.3701,0,0
19961015,1.3677,1.3677,1.3677,1.3677,0,0
19961016,1.3679,1.3679,1.3679,1.3679,0,0
19961017,1.3659,1.3659,1.3659,1.3659,0,0
19961018,1.3672,1.3672,1.3672,1.3672,0,0
19961021,1.3681,1.3681,1.3681,1.3681,0,0
19961022,1.3709,1.3709,1.3709,1.3709,0,0
19961023,1.3698,1.3698,1.3698,1.3698,0,0
19961024,1.373,1.373,1.373,1.373,0,0
19961025,1.3742,1.3742,1.3742,1.3742,0,0
