Date,Open,High,Low,Close,Volume,OpenInt
19951023,6.7533,6.7533,6.7533,6.7533,0,0
19951024,6.7974,6.7974,6.7974,6.7974,0,0
19951025,6.7993,6.7993,6.7993,6.7993,0,0
19951026,6.7775,6.7775,6.7775,6.7775,0,0
19951027,6.7802,6.7802,6.7802,6.7802,0,0
19951030,6.7789,6.7789,6.7789,6.7789,0,0
19951031,6.7516,6.7516,6.7516,6.7516,0,0
19951102,6.7602,6.7602,6.7602,6.7602,0,0
19951103,6.7321,6.7321,6.7321,6.7321,0,0
19951106,6.7271,6.7271,6.7271,6.7271,0,0
19951107,6.7633,6.7633,6.7633,6.7633,0,0
19951108,6.7443,6.7443,6.7443,6.7443,0,0
19951109,6.7538,6.7538,6.7538,6.7538,0,0
19951110,6.7463,6.7463,6.7463,6.7463,0,0
19951113,6.8105,6.8105,6.8105,6.8105,0,0
19951114,6.8148,6.8148,6.8148,6.8148,0,0
19951115,6.7747,6.7747,6.7747,6.7747,0,0
19951116,6.8009,6.8009,6.8009,6.8009,0,0
19951117,6.8283,6.8283,6.8283,6.8283,0,0
19951120,6.8487,6.8487,6.8487,6.8487,0,0
19951121,6.8059,6.8059,6.8059,6.8059,0,0
19951122,6.8434,6.8434,6.8434,6.8434,0,0
19951123,6.8564,6.8564,6.8564,6.8564,0,0
19951124,6.8557,6.8557,6.8557,6.8557,0,0
19951127,6.8658,6.8658,6.8658,6.8658,0,0
19951128,6.8478,6.8478,6.8478,6.8478,0,0
19951129,6.8228,6.8228,6.8228,6.8228,0,0
19951130,6.8112,6.8112,6.8112,6.8112,0,0
19951201,6.8199,6.8199,6.8199,6.8199,0,0
19951204,6.7986,6.7986,6.7986,6.7986,0,0
19951205,6.8319,6.8319,6.8319,6.8319,0,0
19951206,6.8269,6.8269,6.8269,6.8269,0,0
19951207,6.8357,6.8357,6.8357,6.8357,0,0
19951208,6.8101,6.8101,6.8101,6.8101,0,0
19951211,6.7948,6.7948,6.7948,6.7948,0,0
19951212,6.8121,6.8121,6.8121,6.8121,0,0
19951213,6.8585,6.8585,6.8585,6.8585,0,0
19951214,6.8598,6.8598,6.8598,6.8598,0,0
19951215,6.8695,6.8695,6.8695,6.8695,0,0
19951218,6.8805,6.8805,6.8805,6.8805,0,0
19951219,6.8938,6.8938,6.8938,6.8938,0,0
19951220,6.9009,6.9009,6.9009,6.9009,0,0
19951221,6.8866,6.8866,6.8866,6.8866,0,0
19951222,6.8918,6.8918,6.8918,6.8918,0,0
19951227,6.8988,6.8988,6.8988,6.8988,0,0
19951228,6.8977,6.8977,6.8977,6.8977,0,0
19951229,6.9017,6.9017,6.9017,6.9017,0,0
19960102,6.8976,6.8976,6.8976,6.8976,0,0
19960103,6.8853,6.8853,6.8853,6.8853,0,0
19960104,6.8751,6.8751,6.8751,6.8751,0,0
19960105,6.8407,6.8407,6.8407,6.8407,0,0
19960108,6.8447,6.8447,6.8447,6.8447,0,0
19960109,6.8678,6.8678,6.8678,6.8678,0,0
19960110,6.8848,6.8848,6.8848,6.8848,0,0
19960111,6.8849,6.8849,6.8849,6.8849,0,0
19960112,6.8967,6.8967,6.8967,6.8967,0,0
19960115,6.9048,6.9048,6.9048,6.9048,0,0
19960116,6.918,6.918,6.918,6.918,0,0
19960117,6.8713,6.8713,6.8713,6.8713,0,0
19960118,6.8902,6.8902,6.8902,6.8902,0,0
19960119,6.8841,6.8841,6.8841,6.8841,0,0
19960122,6.8436,6.8436,6.8436,6.8436,0,0
19960123,6.8285,6.8285,6.8285,6.8285,0,0
19960124,6.894,6.894,6.894,6.894,0,0
19960125,6.854,6.854,6.854,6.854,0,0
19960126,6.8712,6.8712,6.8712,6.8712,0,0
19960129,6.87,6.87,6.87,6.87,0,0
19960130,6.883,6.883,6.883,6.883,0,0
19960131,6.8945,6.8945,6.8945,6.8945,0,0
19960201,6.8795,6.8795,6.8795,6.8795,0,0
19960202,6.8929,6.8929,6.8929,6.8929,0,0
19960205,6.8971,6.8971,6.8971,6.8971,0,0
19960206,6.934,6.934,6.934,6.934,0,0
19960207,6.9527,6.9527,6.9527,6.9527,0,0
19960208,6.9308,6.9308,6.9308,6.9308,0,0
19960209,6.9075,6.9075,6.9075,6.9075,0,0
19960212,6.9423,6.9423,6.9423,6.9423,0,0
19960213,6.9341,6.9341,6.9341,6.9341,0,0
19960214,6.9418,6.9418,6.9418,6.9418,0,0
19960215,6.956,6.956,6.956,6.956,0,0
19960216,6.9661,6.9661,6.9661,6.9661,0,0
19960219,6.9919,6.9919,6.9919,6.9919,0,0
19960220,6.9876,6.9876,6.9876,6.9876,0,0
19960221,7.0181,7.0181,7.0181,7.0181,0,0
19960222,7.0223,7.0223,7.0223,7.0223,0,0
19960223,7.0358,7.0358,7.0358,7.0358,0,0
19960226,7.0184,7.0184,7.0184,7.0184,0,0
19960227,7.0622,7.0622,7.0622,7.0622,0,0
19960228,7.1225,7.1225,7.1225,7.1225,0,0
19960229,7.0964,7.0964,7.0964,7.0964,0,0
19960301,7.0838,7.0838,7.0838,7.0838,0,0
19960304,7.0378,7.0378,7.0378,7.0378,0,0
19960305,7.054,7.054,7.054,7.054,0,0
19960306,7.0647,7.0647,7.0647,7.0647,0,0
19960307,7.0596,7.0596,7.0596,7.0596,0,0
19960308,7.0482,7.0482,7.0482,7.0482,0,0
19960311,7.0559,7.0559,7.0559,7.0559,0,0
19960312,7.0354,7.0354,7.0354,7.0354,0,0
19960313,7.0441,7.0441,7.0441,7.0441,0,0
19960314,7.0681,7.0681,7.0681,7.0681,0,0
19960315,7.0496,7.0496,7.0496,7.0496,0,0
19960318,7.062,7.062,7.062,7.062,0,0
19960319,7.059,7.059,7.059,7.059,0,0
19960320,7.0527,7.0527,7.0527,7.0527,0,0
19960321,7.0709,7.0709,7.0709,7.0709,0,0
19960322,7.0647,7.0647,7.0647,7.0647,0,0
19960325,7.0576,7.0576,7.0576,7.0576,0,0
19960326,7.0953,7.0953,7.0953,7.0953,0,0
19960327,7.0936,7.0936,7.0936,7.0936,0,0
19960328,7.0753,7.0753,7.0753,7.0753,0,0
19960329,7.0753,7.0753,7.0753,7.0753,0,0
19960401,7.0862,7.0862,7.0862,7.0862,0,0
19960402,7.0776,7.0776,7.0776,7.0776,0,0
19960403,7.0831,7.0831,7.0831,7.0831,0,0
19960404,7.0909,7.0909,7.0909,7.0909,0,0
19960405,7.0932,7.0932,7.0932,7.0932,0,0
19960409,7.1386,7.1386,7.1386,7.1386,0,0
19960410,7.1265,7.1265,7.1265,7.1265,0,0
19960411,7.1018,7.1018,7.1018,7.1018,0,0
19960412,7.0818,7.0818,7.0818,7.0818,0,0
19960415,7.0873,7.0873,7.0873,7.0873,0,0
19960416,7.0982,7.0982,7.0982,7.0982,0,0
19960417,7.0996,7.0996,7.0996,7.0996,0,0
19960418,7.103,7.103,7.103,7.103,0,0
19960419,7.1138,7.1138,7.1138,7.1138,0,0
19960422,7.145,7.145,7.145,7.145,0,0
19960423,7.1222,7.1222,7.1222,7.1222,0,0
19960424,7.1321,7.1321,7.1321,7.1321,0,0
19960425,7.1245,7.1245,7.1245,7.1245,0,0
19960426,7.1229,7.1229,7.1229,7.1229,0,0
19960429,7.1239,7.1239,7.1239,7.1239,0,0
19960430,7.1177,7.1177,7.1177,7.1177,0,0
19960506,7.164,7.164,7.164,7.164,0,0
19960507,7.2093,7.2093,7.2093,7.2093,0,0
19960508,7.1796,7.1796,7.1796,7.1796,0,0
19960509,7.1787,7.1787,7.1787,7.1787,0,0
19960510,7.1984,7.1984,7.1984,7.1984,0,0
19960513,7.2048,7.2048,7.2048,7.2048,0,0
19960514,7.2138,7.2138,7.2138,7.2138,0,0
19960515,7.2046,7.2046,7.2046,7.2046,0,0
19960516,7.1969,7.1969,7.1969,7.1969,0,0
19960517,7.1833,7.1833,7.1833,7.1833,0,0
19960520,7.1927,7.1927,7.1927,7.1927,0,0
19960521,7.1977,7.1977,7.1977,7.1977,0,0
19960522,7.218,7.218,7.218,7.218,0,0
19960523,7.2269,7.2269,7.2269,7.2269,0,0
19960524,7.202,7.202,7.202,7.202,0,0
19960527,7.2134,7.2134,7.2134,7.2134,0,0
19960528,7.2295,7.2295,7.2295,7.2295,0,0
19960529,7.2009,7.2009,7.2009,7.2009,0,0
19960530,7.1841,7.1841,7.1841,7.1841,0,0
19960531,7.2935,7.2935,7.2935,7.2935,0,0
19960603,7.265,7.265,7.265,7.265,0,0
19960604,7.2875,7.2875,7.2875,7.2875,0,0
19960605,7.2739,7.2739,7.2739,7.2739,0,0
19960607,7.2949,7.2949,7.2949,7.2949,0,0
19960610,7.2845,7.2845,7.2845,7.2845,0,0
19960611,7.3077,7.3077,7.3077,7.3077,0,0
19960612,7.3078,7.3078,7.3078,7.3078,0,0
19960613,7.2431,7.2431,7.2431,7.2431,0,0
19960614,7.3143,7.3143,7.3143,7.3143,0,0
19960617,7.3074,7.3074,7.3074,7.3074,0,0
19960618,7.2803,7.2803,7.2803,7.2803,0,0
19960619,7.3168,7.3168,7.3168,7.3168,0,0
19960620,7.325,7.325,7.325,7.325,0,0
19960621,7.3422,7.3422,7.3422,7.3422,0,0
19960624,7.3228,7.3228,7.3228,7.3228,0,0
19960625,7.3473,7.3473,7.3473,7.3473,0,0
19960626,7.3504,7.3504,7.3504,7.3504,0,0
19960627,7.3638,7.3638,7.3638,7.3638,0,0
19960628,7.3858,7.3858,7.3858,7.3858,0,0
19960701,7.389,7.389,7.389,7.389,0,0
19960702,7.4209,7.4209,7.4209,7.4209,0,0
19960703,7.4124,7.4124,7.4124,7.4124,0,0
19960704,7.3824,7.3824,7.3824,7.3824,0,0
19960705,7.3902,7.3902,7.3902,7.3902,0,0
19960708,7.3675,7.3675,7.3675,7.3675,0,0
19960709,7.3873,7.3873,7.3873,7.3873,0,0
19960710,7.3572,7.3572,7.3572,7.3572,0,0
19960711,7.4084,7.4084,7.4084,7.4084,0,0
19960712,7.4011,7.4011,7.4011,7.4011,0,0
19960715,7.4138,7.4138,7.4138,7.4138,0,0
19960716,7.4083,7.4083,7.4083,7.4083,0,0
19960717,7.4658,7.4658,7.4658,7.4658,0,0
19960718,7.4918,7.4918,7.4918,7.4918,0,0
