Date,Open,High,Low,Close,Volume,OpenInt
19910102,1.4278,1.4278,1.4278,1.4278,0,0
19910103,1.4302,1.4302,1.4302,1.4302,0,0
19910104,1.4216,1.4216,1.4216,1.4216,0,0
19910107,1.4089,1.4089,1.4089,1.4089,0,0
19910108,1.4098,1.4098,1.4098,1.4098,0,0
19910109,1.4206,1.4206,1.4206,1.4206,0,0
19910110,1.4126,1.4126,1.4126,1.4126,0,0
19910111,1.4132,1.4132,1.4132,1.4132,0,0
19910114,1.4085,1.4085,1.4085,1.4085,0,0
19910115,1.4066,1.4066,1.4066,1.4066,0,0
19910116,1.4048,1.4048,1.4048,1.4048,0,0
19910117,1.422,1.422,1.422,1.422,0,0
19910118,1.4275,1.4275,1.4275,1.4275,0,0
19910121,1.4324,1.4324,1.4324,1.4324,0,0
19910122,1.4323,1.4323,1.4323,1.4323,0,0
19910123,1.4341,1.4341,1.4341,1.4341,0,0
19910124,1.4352,1.4352,1.4352,1.4352,0,0
19910125,1.4335,1.4335,1.4335,1.4335,0,0
19910128,1.4348,1.4348,1.4348,1.4348,0,0
19910129,1.4367,1.4367,1.4367,1.4367,0,0
19910130,1.4344,1.4344,1.4344,1.4344,0,0
19910131,1.4392,1.4392,1.4392,1.4392,0,0
19910201,1.4433,1.4433,1.4433,1.4433,0,0
19910204,1.4452,1.4452,1.4452,1.4452,0,0
19910205,1.4486,1.4486,1.4486,1.4486,0,0
19910206,1.4564,1.4564,1.4564,1.4564,0,0
19910207,1.4567,1.4567,1.4567,1.4567,0,0
19910208,1.4544,1.4544,1.4544,1.4544,0,0
19910211,1.459,1.459,1.459,1.459,0,0
19910212,1.4552,1.4552,1.4552,1.4552,0,0
19910213,1.4523,1.4523,1.4523,1.4523,0,0
19910214,1.4472,1.4472,1.4472,1.4472,0,0
19910215,1.4416,1.4416,1.4416,1.4416,0,0
19910218,1.4388,1.4388,1.4388,1.4388,0,0
19910219,1.4329,1.4329,1.4329,1.4329,0,0
19910220,1.4316,1.4316,1.4316,1.4316,0,0
19910221,1.4347,1.4347,1.4347,1.4347,0,0
19910222,1.4275,1.4275,1.4275,1.4275,0,0
19910225,1.4189,1.4189,1.4189,1.4189,0,0
19910226,1.4204,1.4204,1.4204,1.4204,0,0
19910227,1.4204,1.4204,1.4204,1.4204,0,0
19910228,1.4173,1.4173,1.4173,1.4173,0,0
19910301,1.41,1.41,1.41,1.41,0,0
19910304,1.4085,1.4085,1.4085,1.4085,0,0
19910305,1.4098,1.4098,1.4098,1.4098,0,0
19910306,1.405,1.405,1.405,1.405,0,0
19910307,1.404,1.404,1.404,1.404,0,0
19910308,1.3975,1.3975,1.3975,1.3975,0,0
19910311,1.3883,1.3883,1.3883,1.3883,0,0
