Date,Open,High,Low,Close,Volume,OpenInt
19840109,158.87,158.87,158.87,158.87,0,0
19840116,168.92,168.92,168.92,168.92,0,0
19840123,168.82,168.82,168.82,168.82,0,0
19840130,174.06,174.06,174.06,174.06,0,0
19840206,170.27,170.27,170.27,170.27,0,0
19840213,170.43,170.43,170.43,170.43,0,0
19840220,166.77,166.77,166.77,166.77,0,0
19840301,166.77,166.77,166.77,166.77,0,0
19840305,172.23,172.23,172.23,172.23,0,0
19840312,166.34,166.34,166.34,166.34,0,0
19840319,163.3,163.3,163.3,163.3,0,0
19840326,169.05,169.05,169.05,169.05,0,0
19840402,167.35,167.35,167.35,167.35,0,0
19840409,168.95,168.95,168.95,168.95,0,0
19840416,172.19,172.19,172.19,172.19,0,0
19840424,179.29,179.29,179.29,179.29,0,0
19840502,171.32,171.32,171.32,171.32,0,0
19840507,164.56,164.56,164.56,164.56,0,0
19840514,167.09,167.09,167.09,167.09,0,0
19840521,171.8,171.8,171.8,171.8,0,0
19840528,171.43,171.43,171.43,171.43,0,0
19840604,172.89,172.89,172.89,172.89,0,0
19840611,165.48,165.48,165.48,165.48,0,0
19840618,169.53,169.53,169.53,169.53,0,0
19840625,167.13,167.13,167.13,167.13,0,0
19840702,170.94,170.94,170.94,170.94,0,0
19840709,160.55,160.55,160.55,160.55,0,0
19840716,165.19,165.19,165.19,165.19,0,0
19840723,153.04,153.04,153.04,153.04,0,0
19840730,153.98,153.98,153.98,153.98,0,0
19840806,160.98,160.98,160.98,160.98,0,0
19840813,159.7,159.7,159.7,159.7,0,0
19840820,155.76,155.76,155.76,155.76,0,0
19840827,154.43,154.43,154.43,154.43,0,0
19840901,154.29,154.29,154.29,154.29,0,0
19840910,156.37,156.37,156.37,156.37,0,0
19840917,155.32,155.32,155.32,155.32,0,0
19840924,164.48,164.48,164.48,164.48,0,0
19841001,164.06,164.06,164.06,164.06,0,0
19841008,161.97,161.97,161.97,161.97,0,0
19841015,166.71,166.71,166.71,166.71,0,0
19841022,166.63,166.63,166.63,166.63,0,0
19841029,164.88,164.88,164.88,164.88,0,0
19841105,176.67,176.67,176.67,176.67,0,0
19841112,166.48,166.48,166.48,166.48,0,0
19841119,165.71,165.71,165.71,165.71,0,0
19841126,162.13,162.13,162.13,162.13,0,0
19841201,163.07,163.07,163.07,163.07,0,0
19841210,159.11,159.11,159.11,159.11,0,0
19841217,150.38,150.38,150.38,150.38,0,0
19841224,151.81,151.81,151.81,151.81,0,0
19850101,152.1,152.1,152.1,152.1,0,0
19850107,134.89,134.89,134.89,134.89,0,0
19850114,140.49,140.49,140.49,140.49,0,0
19850121,149.27,149.27,149.27,149.27,0,0
19850128,151.92,151.92,151.92,151.92,0,0
19850204,150.23,150.23,150.23,150.23,0,0
19850211,164.92,164.92,164.92,164.92,0,0
19850218,171.22,171.22,171.22,171.22,0,0
19850225,154.76,154.76,154.76,154.76,0,0
19850304,152.86,152.86,152.86,152.86,0,0
19850311,160.78,160.78,160.78,160.78,0,0
19850318,160.29,160.29,160.29,160.29,0,0
19850325,160.87,160.87,160.87,160.87,0,0
19850329,167.75,167.75,167.75,167.75,0,0
19850401,156.22,156.22,156.22,156.22,0,0
19850409,172.48,172.48,172.48,172.48,0,0
19850415,172.44,172.44,172.44,172.44,0,0
19850422,164.49,164.49,164.49,164.49,0,0
19850429,174.26,174.26,174.26,174.26,0,0
19850506,168.84,168.84,168.84,168.84,0,0
19850513,170.35,170.35,170.35,170.35,0,0
19850520,154.13,154.13,154.13,154.13,0,0
19850527,154.03,154.03,154.03,154.03,0,0
19850601,157.33,157.33,157.33,157.33,0,0
19850610,143.01,143.01,143.01,143.01,0,0
19850617,148.04,148.04,148.04,148.04,0,0
19850624,147.51,147.51,147.51,147.51,0,0
19850701,136.74,136.74,136.74,136.74,0,0
19850708,140.94,140.94,140.94,140.94,0,0
19850715,138.75,138.75,138.75,138.75,0,0
19850723,132.67,132.67,132.67,132.67,0,0
19850729,134.49,134.49,134.49,134.49,0,0
19850805,139.96,139.96,139.96,139.96,0,0
19850812,142.88,142.88,142.88,142.88,0,0
19850819,152.62,152.62,152.62,152.62,0,0
19850826,147.91,147.91,147.91,147.91,0,0
19850902,149.02,149.02,149.02,149.02,0,0
19850909,141.44,141.44,141.44,141.44,0,0
19850916,144.57,144.57,144.57,144.57,0,0
19850923,150.7,150.7,150.7,150.7,0,0
19850930,139.43,139.43,139.43,139.43,0,0
19851007,143.77,143.77,143.77,143.77,0,0
19851014,143.74,143.74,143.74,143.74,0,0
19851021,146.93,146.93,146.93,146.93,0,0
19851028,148.35,148.35,148.35,148.35,0,0
19851104,144.99,144.99,144.99,144.99,0,0
19851111,148.55,148.55,148.55,148.55,0,0
19851118,154.12,154.12,154.12,154.12,0,0
19851125,159.08,159.08,159.08,159.08,0,0
19851202,149.25,149.25,149.25,149.25,0,0
19851209,143.01,143.01,143.01,143.01,0,0
19851216,140.69,140.69,140.69,140.69,0,0
19851223,139.36,139.36,139.36,139.36,0,0
19860101,138.27,138.27,138.27,138.27,0,0
19860106,143.31,143.31,143.31,143.31,0,0
19860113,149.91,149.91,149.91,149.91,0,0
19860120,151.52,151.52,151.52,151.52,0,0
19860127,151.29,151.29,151.29,151.29,0,0
19860201,148.63,148.63,148.63,148.63,0,0
19860210,144.15,144.15,144.15,144.15,0,0
19860217,144.5,144.5,144.5,144.5,0,0
19860224,156.98,156.98,156.98,156.98,0,0
19860301,155.67,155.67,155.67,155.67,0,0
19860303,151.99,151.99,151.99,151.99,0,0
19860310,154.06,154.06,154.06,154.06,0,0
19860317,160.8,160.8,160.8,160.8,0,0
19860318,159.81,159.81,159.81,159.81,0,0
19860324,156.8,156.8,156.8,156.8,0,0
19860401,137.21,137.21,137.21,137.21,0,0
19860407,149.36,149.36,149.36,149.36,0,0
19860409,148.8,148.8,148.8,148.8,0,0
19860414,146.3,146.3,146.3,146.3,0,0
19860421,150.6,150.6,150.6,150.6,0,0
19860428,149.5,149.5,149.5,149.5,0,0
19860505,147.55,147.55,147.55,147.55,0,0
19860512,148.32,148.32,148.32,148.32,0,0
19860519,145.3,145.3,145.3,145.3,0,0
19860526,145.92,145.92,145.92,145.92,0,0
19860602,149.48,149.48,149.48,149.48,0,0
19860609,161.24,161.24,161.24,161.24,0,0
19860616,159.44,159.44,159.44,159.44,0,0
19860623,158.67,158.67,158.67,158.67,0,0
19860630,161.63,161.63,161.63,161.63,0,0
