Date,Open,High,Low,Close,Volume,OpenInt
19840109,2888.15,2888.15,2888.15,2888.15,0,0
19840116,2902.18,2902.18,2902.18,2902.18,0,0
19840123,2880.35,2880.35,2880.35,2880.35,0,0
19840130,2988.71,2988.71,2988.71,2988.71,0,0
19840206,3004.3,3004.3,3004.3,3004.3,0,0
19840213,2954.41,2954.41,2954.41,2954.41,0,0
19840220,2947.78,2947.78,2947.78,2947.78,0,0
19840301,3115.11,3115.11,3115.11,3115.11,0,0
19840305,3181.24,3181.24,3181.24,3181.24,0,0
19840312,3082.27,3082.27,3082.27,3082.27,0,0
19840319,3092.87,3092.87,3092.87,3092.87,0,0
19840326,3101.05,3101.05,3101.05,3101.05,0,0
19840402,3028.64,3028.64,3028.64,3028.64,0,0
19840409,3073.02,3073.02,3073.02,3073.02,0,0
19840416,3057.45,3057.45,3057.45,3057.45,0,0
19840424,3158.79,3158.79,3158.79,3158.79,0,0
19840502,3029.29,3029.29,3029.29,3029.29,0,0
19840507,2989.96,2989.96,2989.96,2989.96,0,0
19840514,3024.36,3024.36,3024.36,3024.36,0,0
19840521,3073.61,3073.61,3073.61,3073.61,0,0
19840528,3073.61,3073.61,3073.61,3073.61,0,0
19840604,3094.71,3094.71,3094.71,3094.71,0,0
19840611,2941.91,2941.91,2941.91,2941.91,0,0
19840618,3007.16,3007.16,3007.16,3007.16,0,0
19840625,2944.63,2944.63,2944.63,2944.63,0,0
19840702,2929.23,2929.23,2929.23,2929.23,0,0
19840709,2811.83,2811.83,2811.83,2811.83,0,0
19840716,2750.66,2750.66,2750.66,2750.66,0,0
19840723,2615.48,2615.48,2615.48,2615.48,0,0
19840730,2595.86,2595.86,2595.86,2595.86,0,0
19840806,2636.67,2636.67,2636.67,2636.67,0,0
19840813,2636.67,2636.67,2636.67,2636.67,0,0
19840820,2635.88,2635.88,2635.88,2635.88,0,0
19840827,2662.56,2662.56,2662.56,2662.56,0,0
19840901,2658.21,2658.21,2658.21,2658.21,0,0
19840910,2537.29,2537.29,2537.29,2537.29,0,0
19840917,2470.13,2470.13,2470.13,2470.13,0,0
19840924,2561.48,2561.48,2561.48,2561.48,0,0
19841001,2542.7,2542.7,2542.7,2542.7,0,0
19841008,2521.09,2521.09,2521.09,2521.09,0,0
19841015,2574,2574,2574,2574,0,0
19841022,2543.14,2543.14,2543.14,2543.14,0,0
19841029,2480.87,2480.87,2480.87,2480.87,0,0
19841105,2624.87,2624.87,2624.87,2624.87,0,0
19841112,2598.54,2598.54,2598.54,2598.54,0,0
19841119,2527.87,2527.87,2527.87,2527.87,0,0
19841126,2463.28,2463.28,2463.28,2463.28,0,0
19841201,2467.57,2467.57,2467.57,2467.57,0,0
19841210,2445.65,2445.65,2445.65,2445.65,0,0
19841217,2324.35,2324.35,2324.35,2324.35,0,0
19841224,2324.35,2324.35,2324.35,2324.35,0,0
19850101,2328.75,2328.75,2328.75,2328.75,0,0
19850107,2152.94,2152.94,2152.94,2152.94,0,0
19850114,2095.73,2095.73,2095.73,2095.73,0,0
19850121,2162.31,2162.31,2162.31,2162.31,0,0
19850128,2127.17,2127.17,2127.17,2127.17,0,0
19850204,2142.79,2142.79,2142.79,2142.79,0,0
19850211,2146.93,2146.93,2146.93,2146.93,0,0
19850218,2138.37,2138.37,2138.37,2138.37,0,0
19850225,1894.54,1894.54,1894.54,1894.54,0,0
19850304,1962.31,1962.31,1962.31,1962.31,0,0
19850311,1873.07,1873.07,1873.07,1873.07,0,0
19850318,2000.49,2000.49,2000.49,2000.49,0,0
19850325,2069.67,2069.67,2069.67,2069.67,0,0
19850329,2209.56,2209.56,2209.56,2209.56,0,0
19850401,2085.59,2085.59,2085.59,2085.59,0,0
19850409,2232.48,2232.48,2232.48,2232.48,0,0
19850415,2310.92,2310.92,2310.92,2310.92,0,0
19850422,2206.31,2206.31,2206.31,2206.31,0,0
19850429,2213.3,2213.3,2213.3,2213.3,0,0
19850506,2006.74,2006.74,2006.74,2006.74,0,0
19850513,2196.82,2196.82,2196.82,2196.82,0,0
19850520,2079.63,2079.63,2079.63,2079.63,0,0
19850527,2079.63,2079.63,2079.63,2079.63,0,0
19850601,2075.53,2075.53,2075.53,2075.53,0,0
19850610,2025.2,2025.2,2025.2,2025.2,0,0
19850617,2057.69,2057.69,2057.69,2057.69,0,0
19850624,2090.58,2090.58,2090.58,2090.58,0,0
19850701,1920.01,1920.01,1920.01,1920.01,0,0
19850708,2038.51,2038.51,2038.51,2038.51,0,0
19850715,2061.88,2061.88,2061.88,2061.88,0,0
19850723,2083.2,2083.2,2083.2,2083.2,0,0
19850729,2150.58,2150.58,2150.58,2150.58,0,0
19850805,2180.11,2180.11,2180.11,2180.11,0,0
19850812,2264.25,2264.25,2264.25,2264.25,0,0
19850819,2606.46,2606.46,2606.46,2606.46,0,0
19850826,2564.31,2564.31,2564.31,2564.31,0,0
19850902,2564.31,2564.31,2564.31,2564.31,0,0
19850909,2435.08,2435.08,2435.08,2435.08,0,0
19850916,2398.79,2398.79,2398.79,2398.79,0,0
19850923,2440.48,2440.48,2440.48,2440.48,0,0
19850930,2342.04,2342.04,2342.04,2342.04,0,0
19851007,2475.93,2475.93,2475.93,2475.93,0,0
19851014,2501.04,2501.04,2501.04,2501.04,0,0
19851021,2531.2,2531.2,2531.2,2531.2,0,0
19851028,2608.59,2608.59,2608.59,2608.59,0,0
19851104,2530.47,2530.47,2530.47,2530.47,0,0
19851111,2539.06,2539.06,2539.06,2539.06,0,0
19851118,2580.47,2580.47,2580.47,2580.47,0,0
19851125,2749.22,2749.22,2749.22,2749.22,0,0
19851202,2703.84,2703.84,2703.84,2703.84,0,0
19851209,2489.52,2489.52,2489.52,2489.52,0,0
19851216,2609.47,2609.47,2609.47,2609.47,0,0
19851223,2606.36,2606.36,2606.36,2606.36,0,0
19860101,2606.36,2606.36,2606.36,2606.36,0,0
19860106,2802.38,2802.38,2802.38,2802.38,0,0
