Date,Open,High,Low,Close,Volume,OpenInt
19840109,1.0076,1.0076,1.0076,1.0076,0,0
19840116,1.0027,1.0027,1.0027,1.0027,0,0
19840123,1.0087,1.0087,1.0087,1.0087,0,0
19840130,1.0202,1.0202,1.0202,1.0202,0,0
19840206,0.9959,0.9959,0.9959,0.9959,0,0
19840213,0.9927,0.9927,0.9927,0.9927,0,0
19840220,0.9927,0.9927,0.9927,0.9927,0,0
19840301,1.0038,1.0038,1.0038,1.0038,0,0
19840305,1.0032,1.0032,1.0032,1.0032,0,0
19840312,0.996,0.996,0.996,0.996,0,0
19840319,0.9992,0.9992,0.9992,0.9992,0,0
19840326,1.0252,1.0252,1.0252,1.0252,0,0
19840402,1.0086,1.0086,1.0086,1.0086,0,0
19840409,1.0173,1.0173,1.0173,1.0173,0,0
19840416,1.0213,1.0213,1.0213,1.0213,0,0
19840424,1.0487,1.0487,1.0487,1.0487,0,0
19840502,1.0184,1.0184,1.0184,1.0184,0,0
19840507,1.0214,1.0214,1.0214,1.0214,0,0
19840514,1.0304,1.0304,1.0304,1.0304,0,0
19840521,1.0342,1.0342,1.0342,1.0342,0,0
19840528,1.0342,1.0342,1.0342,1.0342,0,0
19840604,0.9843,0.9843,0.9843,0.9843,0,0
19840611,0.9953,0.9953,0.9953,0.9953,0,0
19840618,1.024,1.024,1.024,1.024,0,0
19840625,1.0113,1.0113,1.0113,1.0113,0,0
19840702,1.0011,1.0011,1.0011,1.0011,0,0
19840709,1.0192,1.0192,1.0192,1.0192,0,0
19840716,1.004,1.004,1.004,1.004,0,0
19840723,0.9867,0.9867,0.9867,0.9867,0,0
19840730,0.9316,0.9316,0.9316,0.9316,0,0
19840806,0.9295,0.9295,0.9295,0.9295,0,0
19840813,0.9264,0.9264,0.9264,0.9264,0,0
19840820,0.9467,0.9467,0.9467,0.9467,0,0
19840827,0.9454,0.9454,0.9454,0.9454,0,0
19840901,0.9454,0.9454,0.9454,0.9454,0,0
19840910,0.9312,0.9312,0.9312,0.9312,0,0
19840917,0.9147,0.9147,0.9147,0.9147,0,0
19840924,0.929,0.929,0.929,0.929,0,0
19841001,0.9259,0.9259,0.9259,0.9259,0,0
19841008,0.9278,0.9278,0.9278,0.9278,0,0
19841015,0.9528,0.9528,0.9528,0.9528,0,0
19841022,0.9485,0.9485,0.9485,0.9485,0,0
19841029,0.9379,0.9379,0.9379,0.9379,0,0
19841105,0.9588,0.9588,0.9588,0.9588,0,0
19841112,0.9542,0.9542,0.9542,0.9542,0,0
19841119,0.9383,0.9383,0.9383,0.9383,0,0
19841126,0.9511,0.9511,0.9511,0.9511,0,0
19841201,0.9511,0.9511,0.9511,0.9511,0,0
19841210,0.9487,0.9487,0.9487,0.9487,0,0
19841217,0.9372,0.9372,0.9372,0.9372,0,0
19841224,0.9372,0.9372,0.9372,0.9372,0,0
19850101,0.9372,0.9372,0.9372,0.9372,0,0
19850107,0.9078,0.9078,0.9078,0.9078,0,0
19850114,0.8845,0.8845,0.8845,0.8845,0,0
19850121,0.8979,0.8979,0.8979,0.8979,0,0
19850128,0.8893,0.8893,0.8893,0.8893,0,0
19850204,0.8985,0.8985,0.8985,0.8985,0,0
19850211,0.8927,0.8927,0.8927,0.8927,0,0
19850218,0.8927,0.8927,0.8927,0.8927,0,0
19850225,0.856,0.856,0.856,0.856,0,0
19850304,0.863,0.863,0.863,0.863,0,0
19850311,0.8263,0.8263,0.8263,0.8263,0,0
19850318,0.8453,0.8453,0.8453,0.8453,0,0
19850325,0.8292,0.8292,0.8292,0.8292,0,0
19850329,0.8483,0.8483,0.8483,0.8483,0,0
19850401,0.8289,0.8289,0.8289,0.8289,0,0
19850409,0.8747,0.8747,0.8747,0.8747,0,0
19850415,0.8896,0.8896,0.8896,0.8896,0,0
19850422,0.86,0.86,0.86,0.86,0,0
19850429,0.8704,0.8704,0.8704,0.8704,0,0
19850506,0.8303,0.8303,0.8303,0.8303,0,0
19850513,0.867,0.867,0.867,0.867,0,0
19850520,0.8522,0.8522,0.8522,0.8522,0,0
19850527,0.8522,0.8522,0.8522,0.8522,0,0
19850601,0.8522,0.8522,0.8522,0.8522,0,0
19850610,0.8203,0.8203,0.8203,0.8203,0,0
19850617,0.8244,0.8244,0.8244,0.8244,0,0
19850624,0.8449,0.8449,0.8449,0.8449,0,0
19850701,0.7976,0.7976,0.7976,0.7976,0,0
19850708,0.8313,0.8313,0.8313,0.8313,0,0
19850715,0.8373,0.8373,0.8373,0.8373,0,0
19850723,0.8445,0.8445,0.8445,0.8445,0,0
19850729,0.8572,0.8572,0.8572,0.8572,0,0
19850805,0.8479,0.8479,0.8479,0.8479,0,0
19850812,0.8685,0.8685,0.8685,0.8685,0,0
19850819,0.9656,0.9656,0.9656,0.9656,0,0
19850826,0.958,0.958,0.958,0.958,0,0
19850902,0.958,0.958,0.958,0.958,0,0
19850909,0.9579,0.9579,0.9579,0.9579,0,0
19850916,0.943,0.943,0.943,0.943,0,0
19850923,0.9437,0.9437,0.9437,0.9437,0,0
19850930,0.9233,0.9233,0.9233,0.9233,0,0
19851007,0.9625,0.9625,0.9625,0.9625,0,0
19851014,0.9757,0.9757,0.9757,0.9757,0,0
19851021,0.9873,0.9873,0.9873,0.9873,0,0
19851028,1.0152,1.0152,1.0152,1.0152,0,0
19851104,0.9902,0.9902,0.9902,0.9902,0,0
19851111,1.0015,1.0015,1.0015,1.0015,0,0
19851118,1.0173,1.0173,1.0173,1.0173,0,0
19851125,1.0577,1.0577,1.0577,1.0577,0,0
19851202,1.0616,1.0616,1.0616,1.0616,0,0
19851209,0.9994,0.9994,0.9994,0.9994,0,0
19851216,1.0311,1.0311,1.0311,1.0311,0,0
19851223,1.0192,1.0192,1.0192,1.0192,0,0
19860101,1.0192,1.0192,1.0192,1.0192,0,0
19860106,1.0838,1.0838,1.0838,1.0838,0,0
19860113,1.0568,1.0568,1.0568,1.0568,0,0
19860120,1.0465,1.0465,1.0465,1.0465,0,0
19860127,1.0562,1.0562,1.0562,1.0562,0,0
19860201,1.0562,1.0562,1.0562,1.0562,0,0
19860210,1.0475,1.0475,1.0475,1.0475,0,0
19860217,1.0475,1.0475,1.0475,1.0475,0,0
19860224,1.1761,1.1761,1.1761,1.1761,0,0
19860301,1.1761,1.1761,1.1761,1.1761,0,0
19860303,1.1621,1.1621,1.1621,1.1621,0,0
19860310,1.15,1.15,1.15,1.15,0,0
19860317,1.1819,1.1819,1.1819,1.1819,0,0
19860318,1.1924,1.1924,1.1924,1.1924,0,0
19860324,1.2095,1.2095,1.2095,1.2095,0,0
19860401,1.1766,1.1766,1.1766,1.1766,0,0
19860407,1.2245,1.2245,1.2245,1.2245,0,0
19860409,1.2428,1.2428,1.2428,1.2428,0,0
19860414,1.2217,1.2217,1.2217,1.2217,0,0
19860421,1.1886,1.1886,1.1886,1.1886,0,0
19860428,1.2149,1.2149,1.2149,1.2149,0,0
19860505,1.1807,1.1807,1.1807,1.1807,0,0
19860512,1.209,1.209,1.209,1.209,0,0
19860519,1.1761,1.1761,1.1761,1.1761,0,0
19860526,1.1761,1.1761,1.1761,1.1761,0,0
19860602,1.2086,1.2086,1.2086,1.2086,0,0
19860609,1.2448,1.2448,1.2448,1.2448,0,0
19860616,1.2536,1.2536,1.2536,1.2536,0,0
19860623,1.2651,1.2651,1.2651,1.2651,0,0
19860630,1.2373,1.2373,1.2373,1.2373,0,0
19860707,1.2489,1.2489,1.2489,1.2489,0,0
19860714,1.2437,1.2437,1.2437,1.2437,0,0
