Date,Open,High,Low,Close,Volume,OpenInt
19840924,82.008,82.008,82.008,82.008,0,0
19841001,80.068,80.068,80.068,80.068,0,0
19841008,80.799,80.799,80.799,80.799,0,0
19841015,76.574,76.574,76.574,76.574,0,0
19841022,78.156,78.156,78.156,78.156,0,0
19841029,71.374,71.374,71.374,71.374,0,0
19841105,76.209,76.209,76.209,76.209,0,0
19841112,73,73,73,73,0,0
19841119,73.69,73.69,73.69,73.69,0,0
19841126,73.676,73.676,73.676,73.676,0,0
19841201,75.117,75.117,75.117,75.117,0,0
19841210,75.716,75.716,75.716,75.716,0,0
19841217,72.472,72.472,72.472,72.472,0,0
19841224,70.675,70.675,70.675,70.675,0,0
19850101,71.465,71.465,71.465,71.465,0,0
19850107,67.724,67.724,67.724,67.724,0,0
19850114,62.29,62.29,62.29,62.29,0,0
19850121,63.342,63.342,63.342,63.342,0,0
19850128,66.913,66.913,66.913,66.913,0,0
19850204,70.199,70.199,70.199,70.199,0,0
19850211,76.669,76.669,76.669,76.669,0,0
19850218,78.024,78.024,78.024,78.024,0,0
19850225,68.519,68.519,68.519,68.519,0,0
19850304,72.31,72.31,72.31,72.31,0,0
19850311,77.542,77.542,77.542,77.542,0,0
19850318,75.032,75.032,75.032,75.032,0,0
19850325,74.494,74.494,74.494,74.494,0,0
19850329,78.672,78.672,78.672,78.672,0,0
19850401,72.477,72.477,72.477,72.477,0,0
19850409,70.076,70.076,70.076,70.076,0,0
19850415,74.539,74.539,74.539,74.539,0,0
19850422,70.762,70.762,70.762,70.762,0,0
19850429,69.33,69.33,69.33,69.33,0,0
19850506,67.668,67.668,67.668,67.668,0,0
19850513,73.279,73.279,73.279,73.279,0,0
19850520,68.786,68.786,68.786,68.786,0,0
19850527,68.456,68.456,68.456,68.456,0,0
19850601,69.6,69.6,69.6,69.6,0,0
19850610,67.529,67.529,67.529,67.529,0,0
19850617,69.632,69.632,69.632,69.632,0,0
19850624,68.746,68.746,68.746,68.746,0,0
19850701,68.82,68.82,68.82,68.82,0,0
19850708,69.27,69.27,69.27,69.27,0,0
19850715,69.309,69.309,69.309,69.309,0,0
19850723,67.819,67.819,67.819,67.819,0,0
19850729,62.073,62.073,62.073,62.073,0,0
19850805,56.965,56.965,56.965,56.965,0,0
19850812,61.613,61.613,61.613,61.613,0,0
19850819,51.508,51.508,51.508,51.508,0,0
19850826,48.967,48.967,48.967,48.967,0,0
19850902,49.195,49.195,49.195,49.195,0,0
19850909,48.847,48.847,48.847,48.847,0,0
19850916,54.525,54.525,54.525,54.525,0,0
19850923,51.293,51.293,51.293,51.293,0,0
19850930,47.753,47.753,47.753,47.753,0,0
19851007,45.858,45.858,45.858,45.858,0,0
19851014,45.296,45.296,45.296,45.296,0,0
19851021,46.424,46.424,46.424,46.424,0,0
19851028,45.697,45.697,45.697,45.697,0,0
19851104,44.605,44.605,44.605,44.605,0,0
19851111,45.968,45.968,45.968,45.968,0,0
19851118,44.14,44.14,44.14,44.14,0,0
19851125,44.336,44.336,44.336,44.336,0,0
19851202,41.351,41.351,41.351,41.351,0,0
19851209,43.093,43.093,43.093,43.093,0,0
19851216,43.553,43.553,43.553,43.553,0,0
19851223,42.734,42.734,42.734,42.734,0,0
