Date,Open,High,Low,Close,Volume,OpenInt
17890501,0.51,0.51,0.51,0.51,0,0
17890601,0.51,0.51,0.51,0.51,0,0
17890701,0.5,0.5,0.5,0.5,0,0
17890801,0.5,0.51,0.5,0.51,0,0
17890901,0.51,0.51,0.5,0.51,0,0
17891001,0.51,0.51,0.51,0.51,0,0
17891101,0.51,0.51,0.5,0.5,0,0
17891201,0.5,0.5,0.5,0.5,0,0
17900101,0.5,0.5,0.49,0.49,0,0
17900201,0.49,0.49,0.49,0.49,0,0
17900301,0.49,0.51,0.49,0.5,0,0
17900401,0.5,0.5,0.49,0.5,0,0
17900501,0.51,0.52,0.51,0.52,0,0
17900601,0.52,0.53,0.52,0.53,0,0
17900701,0.53,0.53,0.53,0.53,0,0
17900801,0.53,0.54,0.53,0.54,0,0
17900901,0.54,0.55,0.54,0.55,0,0
17901001,0.55,0.57,0.55,0.56,0,0
17901101,0.56,0.57,0.55,0.55,0,0
17901201,0.57,0.57,0.57,0.57,0,0
17910101,0.57,0.58,0.57,0.58,0,0
17910201,0.58,0.59,0.58,0.59,0,0
17910301,0.59,0.59,0.59,0.59,0,0
17910401,0.6,0.6,0.6,0.6,0,0
17910501,0.6,0.6,0.6,0.6,0,0
17910601,0.6,0.6,0.6,0.6,0,0
17910701,0.6,0.6,0.6,0.6,0,0
17910801,0.6,0.61,0.6,0.61,0,0
17910901,0.61,0.62,0.61,0.62,0,0
17911001,0.62,0.62,0.62,0.62,0,0
17911101,0.62,0.62,0.62,0.62,0,0
17911201,0.63,0.63,0.63,0.63,0,0
17920101,0.63,0.64,0.63,0.63,0,0
17920201,0.63,0.63,0.62,0.62,0,0
17920301,0.63,0.63,0.62,0.62,0,0
17920401,0.62,0.62,0.62,0.62,0,0
17920501,0.61,0.61,0.59,0.59,0,0
17920601,0.59,0.59,0.58,0.58,0,0
17920701,0.58,0.58,0.57,0.57,0,0
17920801,0.57,0.57,0.57,0.57,0,0
17920901,0.56,0.61,0.56,0.56,0,0
17921001,0.56,0.56,0.52,0.54,0,0
17921101,0.53,0.54,0.53,0.54,0,0
17921201,0.54,0.54,0.54,0.54,0,0
17930101,0.54,0.55,0.54,0.55,0,0
17930201,0.55,0.57,0.55,0.57,0,0
17930301,0.57,0.58,0.57,0.58,0,0
17930401,0.58,0.61,0.58,0.59,0,0
17930501,0.59,0.59,0.58,0.59,0,0
17930601,0.59,0.6,0.59,0.6,0,0
17930701,0.6,0.6,0.6,0.6,0,0
17930801,0.6,0.6,0.6,0.6,0,0
17930901,0.6,0.6,0.6,0.6,0,0
17931001,0.6,0.61,0.6,0.61,0,0
17931101,0.61,0.61,0.61,0.61,0,0
17931201,0.62,0.62,0.61,0.62,0,0
17940101,0.62,0.63,0.62,0.63,0,0
17940201,0.63,0.64,0.63,0.64,0,0
17940301,0.64,0.66,0.64,0.66,0,0
17940401,0.66,0.66,0.66,0.66,0,0
17940501,0.67,0.68,0.67,0.68,0,0
17940601,0.68,0.7,0.68,0.7,0,0
17940701,0.7,0.76,0.7,0.71,0,0
17940801,0.72,0.73,0.68,0.73,0,0
17940901,0.73,0.74,0.73,0.74,0,0
17941001,0.74,0.74,0.74,0.74,0,0
17941101,0.75,0.76,0.75,0.76,0,0
17941201,0.76,0.76,0.76,0.76,0,0
17950101,0.76,0.76,0.76,0.76,0,0
17950201,0.76,0.78,0.76,0.78,0,0
17950301,0.76,0.77,0.76,0.77,0,0
17950401,0.76,0.78,0.76,0.78,0,0
17950501,0.78,0.78,0.78,0.78,0,0
17950601,0.78,0.78,0.78,0.78,0,0
17950701,0.78,0.78,0.77,0.77,0,0
17950801,0.77,0.77,0.77,0.77,0,0
17950901,0.77,0.77,0.75,0.75,0,0
17951001,0.75,0.77,0.75,0.75,0,0
17951101,0.75,0.75,0.73,0.74,0,0
17951201,0.74,0.74,0.73,0.73,0,0
17960101,0.73,0.73,0.73,0.73,0,0
17960201,0.73,0.73,0.72,0.72,0,0
17960301,0.72,0.72,0.71,0.71,0,0
17960401,0.71,0.71,0.71,0.71,0,0
17960501,0.7,0.72,0.7,0.7,0,0
17960601,0.7,0.7,0.67,0.67,0,0
17960701,0.68,0.68,0.67,0.67,0,0
17960801,0.67,0.67,0.66,0.66,0,0
17960901,0.66,0.66,0.65,0.65,0,0
17961001,0.65,0.65,0.65,0.65,0,0
